radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
235.986576,0.325,-34.31337,0.261,17.106,0.146,1,17.947,0.163,1,NA,NA,0,17.827,0.184,2,16.532,0.07,2,16.031,0.064,2,NA,NA,0,NA,NA,0
235.989559,0.435,-34.398918,0.307,NA,NA,0,NA,NA,0,NA,NA,0,18.328,0.07,2,17.242,0.036,2,NA,NA,0,NA,NA,0,NA,NA,0
235.991219,0.136,-34.389077,0.134,15.035,0.094,3,16.316,0.077,3,NA,NA,0,15.68,0.038,3,14.521,0.135,3,13.966,0.166,3,NA,NA,0,NA,NA,0
235.99915,0.246,-34.329994,0.268,NA,NA,0,NA,NA,0,NA,NA,0,18.782,0.231,1,17.121,0.146,1,16.086,0.168,1,NA,NA,0,NA,NA,0
236.001908,0.593,-34.411976,0.403,NA,NA,0,NA,NA,0,NA,NA,0,17.777,0.04,2,16.795,0.002,2,16.875,0.314,1,NA,NA,0,NA,NA,0
236.001958,0.497,-34.194387,0.413,16.002,0.175,3,17.309,0.231,3,NA,NA,0,16.736,0.032,3,15.597,0.116,3,15.023,0.191,3,NA,NA,0,NA,NA,0
236.002165,0.627,-34.303038,0.287,NA,NA,0,NA,NA,0,NA,NA,0,17.928,0.026,2,17.009,0.005,2,NA,NA,0,NA,NA,0,NA,NA,0
236.006328,0.446,-34.422316,0.397,16.765,0.117,2,17.951,0.061,2,NA,NA,0,17.327,0.014,2,16.261,0.087,2,15.845,0.188,2,NA,NA,0,NA,NA,0
236.007381,0.373,-34.251515,0.507,NA,NA,0,NA,NA,0,NA,NA,0,17.729,0.081,3,16.556,0.145,3,16.073,0.103,2,NA,NA,0,NA,NA,0
236.008134,0.583,-34.191247,0.603,NA,NA,0,NA,NA,0,NA,NA,0,17.841,0.106,1,16.837,0.117,1,16.317,0.201,1,NA,NA,0,NA,NA,0
236.01291,0.513,-34.408569,0.14,15.947,0.008,2,17.738,0.074,2,NA,NA,0,16.826,0.077,3,15.207,0.086,3,14.385,0.168,3,NA,NA,0,NA,NA,0
236.013536,0.38,-34.208114,0.453,NA,NA,0,NA,NA,0,NA,NA,0,17.804,0.165,3,15.841,0.175,3,14.89,0.219,3,NA,NA,0,NA,NA,0
236.013561,0.163,-34.37863,0.037,NA,NA,0,NA,NA,0,NA,NA,0,18.285,0.152,1,17.639,0.231,1,NA,NA,0,NA,NA,0,NA,NA,0
236.013652,0.265,-34.292818,0.125,15.283,0.139,3,16.595,0.203,3,NA,NA,0,16.055,0.015,3,14.771,0.103,3,14.166,0.137,3,NA,NA,0,NA,NA,0
236.01528,0.43,-34.356944,0.929,14.987,0.214,2,16.832,0.174,2,NA,NA,0,15.867,0.046,1,14.119,0.022,1,13.18,0.026,1,NA,NA,0,NA,NA,0
236.015367,0.471,-34.317985,0.325,NA,NA,0,NA,NA,0,NA,NA,0,17.509,0.045,3,16.636,0.131,3,15.979,0.093,2,NA,NA,0,NA,NA,0
236.018913,0.347,-34.408696,0.223,NA,NA,0,NA,NA,0,NA,NA,0,18.149,0.003,2,16.927,0.096,2,NA,NA,0,NA,NA,0,NA,NA,0
236.019779,0.345,-34.223678,0.265,15.847,0.137,2,17.14,0.034,2,NA,NA,0,16.522,0.036,3,15.295,0.108,3,14.802,0.159,3,NA,NA,0,NA,NA,0
236.020515,0.265,-34.430586,0.496,16.919,0.121,1,18.309,0.228,1,NA,NA,0,17.356,0.079,3,16.165,0.177,3,15.505,0.341,3,NA,NA,0,NA,NA,0
236.022531,0.461,-34.414841,0.26,16.727,0.05,2,18.078,0.061,2,NA,NA,0,17.418,0.238,3,16.266,0.198,3,15.607,0.046,3,NA,NA,0,NA,NA,0
236.025973,0.261,-34.320575,0.409,NA,NA,0,NA,NA,0,NA,NA,0,18.178,0.131,1,17.195,0.155,1,16.263,0.176,1,NA,NA,0,NA,NA,0
236.026969,0.168,-34.371049,0.12,NA,NA,0,NA,NA,0,NA,NA,0,18.174,0.156,1,16.62,0.101,1,15.236,0.083,1,NA,NA,0,NA,NA,0
236.030006,0.701,-34.373861,0.41,16.604,0.037,2,18.074,0.051,2,NA,NA,0,17.317,0.028,2,15.928,0.15,2,15.219,0.1,2,NA,NA,0,NA,NA,0
236.030506,0.488,-34.449168,0.287,16.777,0.083,2,18.094,0.151,2,NA,NA,0,17.42,0.045,3,16.33,0.138,3,15.819,0.186,3,NA,NA,0,NA,NA,0
236.030808,0.311,-34.191699,0.196,14.525,0.093,3,16.145,0.097,3,NA,NA,0,15.348,0.05,3,13.87,0.079,3,13.124,0.11,3,NA,NA,0,NA,NA,0
236.031168,1.146,-34.415163,0.411,16.306,0.144,3,17.275,0.129,3,NA,NA,0,16.982,0.068,3,15.965,0.12,3,15.552,0.186,3,NA,NA,0,NA,NA,0
236.034412,0.26,-34.249392,0.354,17.274,0.164,1,NA,NA,0,NA,NA,0,18.107,0.042,2,16.753,0.117,2,16.123,0.091,2,NA,NA,0,NA,NA,0
236.035676,0.431,-34.421716,0.314,NA,NA,0,NA,NA,0,NA,NA,0,17.541,0.051,3,16.641,0.189,3,16.247,0.066,2,NA,NA,0,NA,NA,0
236.037077,0.469,-34.436532,0.376,16.755,0.118,2,17.787,0.365,2,NA,NA,0,17.385,0.026,3,16.486,0.127,3,16.042,0.016,2,NA,NA,0,NA,NA,0
236.039041,0.051,-34.384339,0.468,NA,NA,0,NA,NA,0,NA,NA,0,18.422,0.175,1,17.191,0.162,1,NA,NA,0,NA,NA,0,NA,NA,0
236.039072,0.365,-34.2856,0.245,16.142,0.136,3,17.297,0.152,3,NA,NA,0,16.721,0.032,3,15.715,0.117,3,15.262,0.078,3,NA,NA,0,NA,NA,0
236.041203,0.262,-34.410618,0.197,15.514,0.093,3,16.582,0.155,3,NA,NA,0,16.018,0.062,3,15.045,0.102,3,14.643,0.145,3,NA,NA,0,NA,NA,0
236.041279,0.283,-34.45976,0.163,NA,NA,0,NA,NA,0,NA,NA,0,17.81,0.004,2,16.543,0.099,2,15.87,0.055,2,NA,NA,0,NA,NA,0
236.043057,0.76,-34.238911,0.394,NA,NA,0,NA,NA,0,NA,NA,0,18.453,0.186,1,17.34,0.186,1,NA,NA,0,NA,NA,0,NA,NA,0
236.044116,0.899,-34.202593,0.179,NA,NA,0,NA,NA,0,NA,NA,0,18.286,0.153,1,17.114,0.155,1,NA,NA,0,NA,NA,0,NA,NA,0
236.044465,0.485,-34.474116,0.248,NA,NA,0,NA,NA,0,NA,NA,0,17.584,0.05,3,16.389,0.052,3,15.766,0.008,2,NA,NA,0,NA,NA,0
236.045631,0.323,-34.220747,0.229,15.535,0.119,3,16.84,0.045,3,NA,NA,0,16.204,0.077,3,15.047,0.108,3,14.37,0.103,3,NA,NA,0,NA,NA,0
236.046065,0.16,-34.467013,0.646,NA,NA,0,NA,NA,0,NA,NA,0,18.32,0.013,2,17.039,0.028,2,NA,NA,0,NA,NA,0,NA,NA,0
236.048727,0.249,-34.373853,0.101,15.619,0.026,2,17.591,0.014,2,NA,NA,0,16.51,0.091,3,14.801,0.113,3,13.863,0.083,3,NA,NA,0,NA,NA,0
236.049895,0.405,-34.417742,0.208,16.494,0.041,2,18.114,0.183,2,NA,NA,0,17.269,0.05,3,15.814,0.147,3,15.103,0.15,3,NA,NA,0,NA,NA,0
236.0503,0.228,-34.422784,0.494,NA,NA,0,NA,NA,0,NA,NA,0,18.43,0.094,2,17.888,0.312,1,NA,NA,0,NA,NA,0,NA,NA,0
236.050612,0.236,-34.283469,0.223,15.82,0.107,3,16.99,0.039,3,NA,NA,0,16.448,0.133,3,15.37,0.167,3,14.844,0.224,3,NA,NA,0,NA,NA,0
236.050631,0.287,-34.476216,0.158,15.935,0.053,1,18.473,0.299,1,NA,NA,0,16.897,0.145,3,15.062,0.152,3,14.024,0.196,3,NA,NA,0,NA,NA,0
236.050732,0.157,-34.396758,0.113,14.604,0.111,3,16.287,0.112,3,NA,NA,0,15.474,0.044,3,13.966,0.12,3,13.187,0.166,3,NA,NA,0,NA,NA,0
236.051387,0.146,-34.430914,0.071,14.987,0.139,3,16.347,0.133,3,NA,NA,0,15.717,0.03,3,14.487,0.135,3,13.944,0.169,3,NA,NA,0,NA,NA,0
236.051736,0.24,-34.234628,0.169,16.207,0.013,2,17.578,0.133,2,NA,NA,0,16.848,0.038,3,15.669,0.165,3,15.076,0.17,3,NA,NA,0,NA,NA,0
236.053494,0.12,-34.246641,0.15,14.787,0.081,3,15.879,0.037,3,NA,NA,0,15.344,0.036,3,14.352,0.137,3,13.838,0.162,3,NA,NA,0,NA,NA,0
236.056742,0.359,-34.44915,0.196,16.44,0.083,2,17.481,0.048,2,NA,NA,0,17.058,0.034,3,15.808,0.114,3,15.297,0.059,3,NA,NA,0,NA,NA,0
236.059381,0.128,-34.332582,0.096,NA,NA,0,NA,NA,0,NA,NA,0,18.278,0.164,1,17.41,0.19,1,NA,NA,0,NA,NA,0,NA,NA,0
236.060574,0.177,-34.497125,0.19,NA,NA,0,NA,NA,0,NA,NA,0,18.221,0.16,1,16.768,0.121,1,16.317,0.209,1,NA,NA,0,NA,NA,0
236.063625,0.331,-34.279708,0.441,NA,NA,0,NA,NA,0,NA,NA,0,17.528,0.146,3,16.553,0.158,3,16.047,0.109,2,NA,NA,0,NA,NA,0
236.064094,0.006,-34.494537,0.113,NA,NA,0,NA,NA,0,NA,NA,0,18.414,0.191,1,17.232,0.173,1,NA,NA,0,NA,NA,0,NA,NA,0
236.066264,0.174,-34.119222,0.241,15.099,0.105,2,16.513,0.015,2,NA,NA,0,15.822,0.056,2,14.583,0.139,2,14.02,0.126,2,NA,NA,0,NA,NA,0
236.071554,0.349,-34.226489,0.332,16.781,0.11,1,18.009,0.178,1,NA,NA,0,17.274,0.073,3,16.274,0.112,3,15.717,0.202,3,NA,NA,0,NA,NA,0
236.072949,0.175,-34.405599,0.127,15.421,0.076,3,16.979,0.104,3,NA,NA,0,16.234,0.013,3,14.745,0.121,3,14.001,0.129,3,NA,NA,0,NA,NA,0
236.07358,0.475,-34.199185,0.436,16.63,0.019,2,17.681,0.203,2,NA,NA,0,17.245,0.178,3,16.217,0.174,3,15.666,0.041,2,NA,NA,0,NA,NA,0
236.074057,0.405,-34.481392,0.463,16.762,0.053,2,18.095,0.11,2,NA,NA,0,17.546,0.048,3,16.453,0.064,3,15.743,0.157,3,NA,NA,0,NA,NA,0
