PID,group,target,stis_assignee,cos_assignee,prim_assignee,sec_assignee,prim_ins,sec_ins,cos_int_reviewer,stis_int_reviewer,wfc3_int_reviewer,cs
16364,2,SK-67D166,tsohn,,tsohn,,STIS,,,dwelty,,kwduong
16364,2,SK-67D167,tsohn,,tsohn,,STIS,,,dwelty,,kwduong
16364,2,SK-67D69,tsohn,,tsohn,,STIS,,,dwelty,,kwduong
16364,2,SK-70D60,tsohn,,tsohn,,STIS,,,dwelty,,kwduong
16365,5,SK-66D171,dwelty,,dwelty,,STIS,,,proffitt,,amjones
16365,5,SK-68D41,dwelty,,dwelty,,STIS,,,proffitt,,amjones
16365,5,SK-69D43,dwelty,,dwelty,,STIS,,,proffitt,,amjones
16365,5,SK-70D32,dwelty,,dwelty,,STIS,,,proffitt,,amjones
16365,5,SK-71D8,dwelty,,dwelty,,STIS,,,proffitt,,amjones
16366,6,BI128,tmonroe,,tmonroe,,STIS,,,,,sveash
16366,6,SK-65D2,tmonroe,,tmonroe,,STIS,,,,,sveash
16366,6,SK-67D216,tmonroe,,tmonroe,,STIS,,,,,sveash
16366,6,SK-70D13,tmonroe,,tmonroe,,STIS,,,,,sveash
16367,8,HD269927C,dwelty,,dwelty,,STIS,,,proffitt,,sveash
16367,8,SK-65D55,dwelty,,dwelty,,STIS,,,proffitt,,sveash
16367,8,SK-67D266,dwelty,,dwelty,,STIS,,,proffitt,,sveash
16367,8,SK-71D21,dwelty,,dwelty,,STIS,,,proffitt,,sveash
16368,28,AV261,dwelty,,dwelty,,STIS,,,,,sveash
16368,28,AV264,dwelty,,dwelty,,STIS,,,,,sveash
16368,28,AV85,dwelty,,dwelty,,STIS,,,,,sveash
16368,28,AV96,dwelty,,dwelty,,STIS,,,,,sveash
16369,11,N11-ELS-060,,fuller,fuller,,COS,,rsankrit,,,drs
16369,11,ST92-5-27,,fuller,fuller,,COS,,rsankrit,,,drs
16369,11,VFTS-267,,fuller,fuller,,COS,,rsankrit,,,drs
16369,11,VFTS-404,,fuller,fuller,,COS,,rsankrit,,,drs
16369,11,W61-28-23,,fuller,fuller,,COS,,rsankrit,,,drs
16370,31,2DFS-2266,,fuller,fuller,,COS,,rsankrit,,,drs
16370,31,2DFS-3954,,fuller,fuller,,COS,,rsankrit,,,drs
16370,31,2DFS-999,,fuller,fuller,,COS,,rsankrit,,,drs
16370,31,AV251,,fuller,fuller,,COS,,rsankrit,,,drs
16371,34,AV186,,fuller,fuller,,COS,,,,,
16371,34,M2002-SMC-81469,,fuller,fuller,,COS,,,,,
16371,34,NGC346-ELS-13,,fuller,fuller,,COS,,,,,
16371,34,NGC346-ELS-25,,fuller,fuller,,COS,,,,,
16372,42,AV148,,rsankrit,rsankrit,,COS,,proffitt,,,drs
16372,42,AV468,,rsankrit,rsankrit,,COS,,proffitt,,,drs
16372,42,NGC346-ELS-31,,rsankrit,rsankrit,,COS,,proffitt,,,drs
16372,42,NGC346-ELS-46,,rsankrit,rsankrit,,COS,,proffitt,,,drs
16373,37,2DFS-3689,,sahnow,sahnow,,COS,,rsankrit,,,
16373,37,2DFS-3947,,sahnow,sahnow,,COS,,rsankrit,,,
16373,37,AV374,,sahnow,sahnow,,COS,,rsankrit,,,
16373,37,AV472,,sahnow,sahnow,,COS,,rsankrit,,,
16374,19,SK-66D50,dwelty,rsankrit,rsankrit,,COS,STIS,,,,sveash
16374,19,SK-67D195,dwelty,rsankrit,rsankrit,,COS,STIS,,,,sveash
16374,19,SK-67D197,dwelty,rsankrit,rsankrit,,COS,STIS,,,,sveash
16374,19,SK-67D207,dwelty,rsankrit,rsankrit,,COS,STIS,,,,sveash
16375,40,AV200,proffitt,proffitt,proffitt,,COS,STIS,,,,amjones
16375,40,AV314,proffitt,proffitt,proffitt,,COS,STIS,,,,amjones
16375,40,AV343,proffitt,proffitt,proffitt,,COS,STIS,,,,amjones
16375,40,AV445,proffitt,proffitt,proffitt,,COS,STIS,,,,amjones
16375,40,SK179,proffitt,proffitt,proffitt,,COS,STIS,,,,amjones
16113,,CVSO-146,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,rsankrit
16113,,V-TX-ORI,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,rsankrit
16113,,V505-ORI,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,rsankrit
16113,,V510-ORI,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,rsankrit
16114,,CVSO-107,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,krowlands
16114,,CVSO-165,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,krowlands
16114,,CVSO-58,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,krowlands
16114,,CVSO-90,proffitt,proffitt,proffitt,,COS,STIS,sahnow,dwelty,,krowlands
16115,,CVSO-104,proffitt,proffitt,proffitt,,COS,STIS,sahnow,,,drs
16115,,CVSO-109,proffitt,proffitt,proffitt,,COS,STIS,sahnow,,,drs
16115,,CVSO-17,proffitt,proffitt,proffitt,,COS,STIS,sahnow,,,drs
16115,,CVSO-176,proffitt,proffitt,proffitt,,COS,STIS,sahnow,,,drs
16115,,CVSO-36,proffitt,proffitt,proffitt,,COS,STIS,sahnow,,,drs
16109,,V-TW-HYA,proffitt,proffitt,proffitt,,COS,STIS,wfischer,,,drs
16104,,NGC-3109-V01,proffitt,proffitt,proffitt,,WFC3,,,,tsohn,ksahu
16104,,NGC-3109-V02,proffitt,proffitt,proffitt,,WFC3,,,,tsohn,ksahu
16104,,SEXTANS-A,proffitt,proffitt,proffitt,,WFC3,,,,tsohn,ksahu
16110,,V-RU-LUP,dsom,dsom,dsom,,COS,,,,,
16476,,SZ71,duval,duval,duval,,COS,STIS,rsankrit,dwelty,,wfischer
16476,,SZ75,duval,duval,duval,,COS,STIS,rsankrit,dwelty,,wfischer
16476,,SZ77,duval,duval,duval,,COS,STIS,rsankrit,dwelty,,wfischer
16477,,SZ66,dsom,dsom,dsom,,COS,STIS,proffitt,proffitt,,wfischer
16477,,SZ69,dsom,dsom,dsom,,COS,STIS,proffitt,proffitt,,wfischer
16477,,SZ72,dsom,dsom,dsom,,COS,STIS,proffitt,proffitt,,wfischer
16477,,SZ76,dsom,dsom,dsom,,COS,STIS,proffitt,proffitt,,wfischer
16478,,HN5,ahirschauer,ahirschauer,ahirschauer,,COS,STIS,,,,jcarlberg
16478,,V-IN-CHA,ahirschauer,ahirschauer,ahirschauer,,COS,STIS,,,,jcarlberg
16479,,Sz111,dsom,dsom,dsom,,COS,STIS,,,,jcarlberg
16479,,Sz130,dsom,dsom,dsom,,COS,STIS,,,,jcarlberg
16479,,SSTc2dJ160000.6-422158,dsom,dsom,dsom,,COS,STIS,,,,jcarlberg
16479,,SSTc2dJ161344.1-373646,dsom,dsom,dsom,,COS,STIS,,,,jcarlberg
16480,,ECHA-J0844.2-7833,dsom,dsom,dsom,,COS,STIS,proffitt,proffitt,,drs
16480,,RECX-7,dsom,dsom,dsom,,COS,STIS,proffitt,proffitt,,drs
16481,,2MASSJ11432669-7804454,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16481,,SZ10,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16481,,V-XX-CHA,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16482,,CHX18N,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16482,,V-TW-CHA,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16482,,V-SZ-CHA,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16482,,Sz45,wfischer,wfischer,wfischer,,COS,STIS,proffitt,proffitt,,drs
16107,,V-BP-TAU,sahnow,sahnow,sahnow,,COS,STIS,fuller,,,
16511,,NGC-3109-EBU-07,,duval,duval,,COS,,fuller,,,
16511,,NGC-3109-EBU-20,,duval,duval,,COS,,fuller,,,
16511,,NGC-3109-EBU-34,,duval,duval,,COS,,fuller,,,
