dataset_name,target_name,target_name_hlsp,from where?,comments
lb4p07010,0255035-470050,0255035-470050,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p07esq,0255035-470050,0255035-470050,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p04x6q,1507476-162738,1507476-162738,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p05010,1507476-162738,1507476-162738,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p05qeq,1507476-162738,1507476-162738,commented low_mass_stars_archive_CJK_JRD_COS,
lea21cjbq,2DFS-163,2DFS-163,tech team spreadsheet,"Fainter than expected, HOPR filed, visit AC pending"
lea21cjhq,2DFS-163,2DFS-163,tech team spreadsheet,"Fainter than expected, HOPR filed, visit AC pending"
lea21cjlq,2DFS-163,2DFS-163,tech team spreadsheet,
lea21cjsq,2DFS-163,2DFS-163,tech team spreadsheet,
lea21cjzq,2DFS-163,2DFS-163,tech team spreadsheet,
lea21ck5q,2DFS-163,2DFS-163,tech team spreadsheet,
oec631010,2DFS-163,2DFS-163,SNAP data quality check,GSFAIL
oec631020,2DFS-163,2DFS-163,SNAP data quality check,GSFAIL
lehg1crhq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crkq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crnq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crrq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crvq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crxq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1cs0q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1cs4q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgaci5q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgaci7q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgaci9q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgacibq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgacidq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgacifq,2DFS-2266,2DFS-2266,tech team spreadsheet,"Shutter open, data suspect"
lehgacihq,2DFS-2266,2DFS-2266,tech team spreadsheet,"Shutter open, data suspect"
lehgacijq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgfcnyq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgfco0q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgfco2q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
letw1dnaq,2DFS-2553,2DFS-2553,tech team spreadsheet,Shutter closed; but decided not to submit HOPR
leey1ca1q,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1ca4q,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1ca6q,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1cabq,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1cafq,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1cahq,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1czwq,2DFS-3694,2DFS-3694,tech team spreadsheet,"No exception report, but Shutter was closed for TA and flux much lower than expectations"
lehg2ceeq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cegq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cejq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cepq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cevq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cf0q,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cf3q,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
ldmp30u2q,2MASS-J15580815M2405529,2MASS-J15580815M2405529,Not in vetted directories,Not full coverage. Only COS/1222
ldmp30u9q,2MASS-J15580815M2405529,2MASS-J15580815M2405529,Not in vetted directories,Not full coverage. Only COS/1222
ldmp08kaq,2MASS-J15584772M1757595,2MASS-J15584772M1757595,Not in vetted directories,Not full coverage. Only COS/1222
ldmp08khq,2MASS-J15584772M1757595,2MASS-J15584772M1757595,Not in vetted directories,Not full coverage. Only COS/1222
ldmp21e3q,2MASS-J16004277M2127380,2MASS-J16004277M2127380,Not in vetted directories,Not full coverage. Only COS/1222
ldmp21eaq,2MASS-J16004277M2127380,2MASS-J16004277M2127380,Not in vetted directories,Not full coverage. Only COS/1222
ldmp22ciq,2MASS-J16010801M2113184,2MASS-J16010801M2113184,Not in vetted directories,Not full coverage. Only COS/1222
ldmp22cpq,2MASS-J16010801M2113184,2MASS-J16010801M2113184,Not in vetted directories,Not full coverage. Only COS/1222
ldmp25ngq,2MASS-J16023910M2542078,2MASS-J16023910M2542078,Not in vetted directories,Not full coverage. Only COS/1222
ldmp25nnq,2MASS-J16023910M2542078,2MASS-J16023910M2542078,Not in vetted directories,Not full coverage. Only COS/1222
ldmp26paq,2MASS-J16025123M2401574,2MASS-J16025123M2401574,Not in vetted directories,Not full coverage. Only COS/1222
ldmp26pqq,2MASS-J16025123M2401574,2MASS-J16025123M2401574,Not in vetted directories,Not full coverage. Only COS/1222
ldmp02lvq,2MASS-J16025243M2402226,2MASS-J16025243M2402226,Not in vetted directories,Not full coverage. Only COS/1222
ldmp02m2q,2MASS-J16025243M2402226,2MASS-J16025243M2402226,Not in vetted directories,Not full coverage. Only COS/1222
ldmp17dpq,2MASS-J16025396M2022480,2MASS-J16025396M2022480,Not in vetted directories,Not full coverage. Only COS/1222
ldmp17dwq,2MASS-J16025396M2022480,2MASS-J16025396M2022480,Not in vetted directories,Not full coverage. Only COS/1222
ldmp20p6q,2MASS-J16061254M2036472,2MASS-J16061254M2036472,Not in vetted directories,Not full coverage. Only COS/1222
ldmp20pdq,2MASS-J16061254M2036472,2MASS-J16061254M2036472,Not in vetted directories,Not full coverage. Only COS/1222
ldmp09dyq,2MASS-J16081474M1908327,2MASS-J16081474M1908327,Not in vetted directories,Not full coverage. Only COS/1222
ldmp09e5q,2MASS-J16081474M1908327,2MASS-J16081474M1908327,Not in vetted directories,Not full coverage. Only COS/1222
ldmp18irq,2MASS-J16085673M2033460,2MASS-J16085673M2033460,Not in vetted directories,Not full coverage. Only COS/1222
ldmp18iyq,2MASS-J16085673M2033460,2MASS-J16085673M2033460,Not in vetted directories,Not full coverage. Only COS/1222
ldmp15z8q,2MASS-J16130271M2257446,2MASS-J16130271M2257446,Not in vetted directories,Not full coverage. Only COS/1222
ldmp15zfq,2MASS-J16130271M2257446,2MASS-J16130271M2257446,Not in vetted directories,Not full coverage. Only COS/1222
ldmp10n5q,2MASS-J16132929M2311075,2MASS-J16132929M2311075,Not in vetted directories,Not full coverage. Only COS/1222
ldmp10ndq,2MASS-J16132929M2311075,2MASS-J16132929M2311075,Not in vetted directories,Not full coverage. Only COS/1222
ldmp13kmq,2MASS-J16193396M2228294,2MASS-J16193396M2228294,Not in vetted directories,Not full coverage. Only COS/1222
ldmp13ktq,2MASS-J16193396M2228294,2MASS-J16193396M2228294,Not in vetted directories,Not full coverage. Only COS/1222
ldmp29brq,2MASS-J16230783M2300596,2MASS-J16230783M2300596,Not in vetted directories,Not full coverage. Only COS/1222
ldmp29byq,2MASS-J16230783M2300596,2MASS-J16230783M2300596,Not in vetted directories,Not full coverage. Only COS/1222
oec655020,AV104,AV-104,SNAP data quality check,Ok data. We are not using the dataset due to a small velocity offset between the G430L exposures that would affect the coadd
c002010100000,[M2002]_38024,AV-177,Initial FUSE data search,Unvetted extra FUSE data
lek61dl6q,AV186,AV-186,tech team spreadsheet,
lek61dl9q,AV186,AV-186,tech team spreadsheet,
lek61dlfq,AV186,AV-186,tech team spreadsheet,
lek61dliq,AV186,AV-186,tech team spreadsheet,
lek6adnoq,AV186,AV-186,tech team spreadsheet,
lek6adnqq,AV186,AV-186,tech team spreadsheet,Shutter closed
oec670020,AV210,AV-210,SNAP data quality check,Ok data. We are not using the dataset due to a small velocity offset between the G430L exposures that would affect the coadd
oec654020,AV215,AV-215,SNAP data quality check,Ok data. We are not using the dataset due to a small velocity offset between the G430L exposures that would affect the coadd
d162070100000,AV22,AV-22,Failed FUSE data check,do not know the pointing well enough to recover
oec693010,AV22,AV-22,SNAP data quality check,GSFAIL
oec693020,AV22,AV-22,SNAP data quality check,GSFAIL
i801080100000,NGC346_1,AV-232,Initial FUSE data search,Unvetted extra FUSE data
i812050100000,NGC346_1,AV-232,Initial FUSE data search,Unvetted extra FUSE data
i812060100000,NGC346_1,AV-232,Initial FUSE data search,Unvetted extra FUSE data
i812090100000,NGC346_1,AV-232,Initial FUSE data search,Unvetted extra FUSE data
x020020100000,NGC346_1,AV-232,Initial FUSE data search,Unvetted extra FUSE data
of2c1s010,AV-238,AV-238,Discovered when trying to create HLSPs,Exposure time is 0s
of2c1s020,AV238,AV-238,tech team spreadsheet,flux ~20% low (target off-center?)
of2c1s030,AV238,AV-238,tech team spreadsheet,essentially no flux
lehg4cr5q,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4cr8q,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4crbq,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4crdq,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4crgq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4criq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crlq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crqq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crvq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crzq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4cs2q,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehgdcctq,AV251,AV-251,tech team spreadsheet,Shutter closed
lehgdccwq,AV251,AV-251,tech team spreadsheet,Shutter closed
e511050100000,AV255,AV-255,Initial FUSE data search,Unvetted extra FUSE data
oejv2s010,AV-264,AV-264,Discovered when trying to create HLSPs,Exposure time is 0s
oejv2s020,AV264,AV-264,tech team spreadsheet,acq failed; no stellar signal
oejv2s030,AV264,AV-264,tech team spreadsheet,acq failed; spectrum present but possible velocity offset
b090070100000,Sk101,AV-287,Failed FUSE data check,failed observation
lemu2cf2q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cf4q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cf6q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cf8q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfaq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfcq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfeq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfgq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemubcelq,AV314,AV-314,tech team spreadsheet,"Exception report issued, but data are OK"
oemu2s010,AV-314,AV-314,Discovered when trying to create HLSPs,Exposure time is 0s
x015010200000,AV_332,AV-332,Initial FUSE data search,Unvetted extra FUSE data
oemu3s010,AV-343,AV-343,Discovered when trying to create HLSPs,Exposure time is 0s
oec689010,AV362,AV-362,SNAP data quality check,GSFAIL
oec689020,AV362,AV-362,SNAP data quality check,GSFAIL
le4x02awq,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02ayq,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b0q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b2q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b4q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b6q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
q107010100000,[M2002]_71614,AV-456,Initial FUSE data search,Unvetted extra FUSE data
q107010200000,[M2002]_71614,AV-456,Initial FUSE data search,Unvetted extra FUSE data
q107010300000,[M2002]_71614,AV-456,Initial FUSE data search,Unvetted extra FUSE data
q107010400000,[M2002]_71614,AV-456,Initial FUSE data search,Unvetted extra FUSE data
q107010600000,[M2002]_71614,AV-456,Initial FUSE data search,Unvetted extra FUSE data
e511120100000,AV480,AV-480,Initial FUSE data search,Unvetted extra FUSE data
p117680100000,Sk_159,AV-488,Initial FUSE data search,Unvetted extra FUSE data
p117680200000,Sk_159,AV-488,Initial FUSE data search,Unvetted extra FUSE data
p117680300000,Sk_159,AV-488,Initial FUSE data search,Unvetted extra FUSE data
d175010200000,[M2002]_77458,AV-490,Initial FUSE data search,Unvetted extra FUSE data
d175020100000,[M2002]_77458,AV-490,Initial FUSE data search,Unvetted extra FUSE data
oec643010,AV6,AV-6,SNAP data quality check,GSFAIL
oec643020,AV6,AV-6,SNAP data quality check,GSFAIL
a118020300000,AV_70,AV-70,Initial FUSE data search,Unvetted extra FUSE data
g036010100000,[M2002]_17438,AV-81,Initial FUSE data search,Unvetted extra FUSE data
g036010300000,[M2002]_17438,AV-81,Initial FUSE data search,Unvetted extra FUSE data
f907010100000,OGLE_-9999,AV-85,Initial FUSE data search,Unvetted extra FUSE data
f907020100000,OGLE_-9999,AV-85,Initial FUSE data search,Unvetted extra FUSE data
