radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
174.469851,0.513,-78.089295,0.322,16.428,0.09,1,17.413,0.136,1,NA,NA,0,16.904,0.102,5,16.167,0.031,5,15.948,0.123,4,NA,NA,0,NA,NA,0
174.47327,0.423,-78.075639,0.341,15.932,0.059,4,16.869,0.196,4,NA,NA,0,16.308,0.028,5,15.783,0.083,5,15.467,0.128,5,NA,NA,0,NA,NA,0
174.47694,0.437,-78.129137,0.291,16.841,0.126,1,17.566,0.158,1,NA,NA,0,17.227,0.05,2,16.505,0.06,2,NA,NA,0,NA,NA,0,NA,NA,0
174.488739,0.421,-78.139431,0.256,15.781,0.121,4,16.571,0.071,4,NA,NA,0,16.18,0.021,5,15.549,0.033,5,15.257,0.108,5,NA,NA,0,NA,NA,0
174.494795,0.307,-78.065799,0.797,14.835,0.048,4,15.663,0.037,4,NA,NA,0,15.297,0.063,2,14.606,0.035,2,14.36,0.055,2,NA,NA,0,NA,NA,0
174.501648,0.726,-78.048352,0.408,16.775,0.116,1,17.732,0.175,1,NA,NA,0,17.069,0.164,5,16.348,0.11,5,15.971,0.222,2,NA,NA,0,NA,NA,0
174.509305,0.393,-78.01086,0.315,15.741,0.061,5,16.441,0.094,5,NA,NA,0,16.105,0.051,5,15.584,0.044,5,15.334,0.198,5,NA,NA,0,NA,NA,0
174.510932,0.543,-78.03722,0.357,16.534,0.096,1,17.293,0.117,1,NA,NA,0,16.862,0.13,5,16.321,0.06,5,16.059,0.101,4,NA,NA,0,NA,NA,0
174.523225,0.219,-78.029359,0.209,15.185,0.038,5,15.884,0.066,5,NA,NA,0,15.528,0.06,5,14.966,0.041,5,14.702,0.071,5,NA,NA,0,NA,NA,0
174.523892,0.278,-78.042792,0.568,NA,NA,0,NA,NA,0,NA,NA,0,17.311,0.082,2,16.72,0.103,3,15.946,0.232,1,NA,NA,0,NA,NA,0
174.532746,0.463,-77.997053,0.391,15.189,0.033,5,16.342,0.109,5,NA,NA,0,15.742,0.056,5,14.813,0.045,5,14.368,0.088,5,NA,NA,0,NA,NA,0
174.540691,0.348,-78.105446,0.29,16.091,0.134,4,16.812,0.165,4,NA,NA,0,16.525,0.082,5,15.83,0.109,5,15.645,0.158,5,NA,NA,0,NA,NA,0
174.541402,0.536,-78.079292,0.42,16.698,0.134,2,17.368,0.22,2,NA,NA,0,17.119,0.074,5,16.175,0.078,5,15.917,0.209,3,NA,NA,0,NA,NA,0
174.548853,0.213,-78.06416,0.203,15.363,0.048,4,15.958,0.033,4,NA,NA,0,15.647,0.033,5,15.2,0.068,5,14.993,0.046,5,NA,NA,0,NA,NA,0
174.553275,0.423,-77.991209,0.324,15.953,0.088,3,16.899,0.025,3,NA,NA,0,16.535,0.125,4,15.704,0.073,4,15.462,0.111,3,NA,NA,0,NA,NA,0
174.557358,0.54,-78.132773,0.266,16.536,0.102,1,17.36,0.133,1,NA,NA,0,16.971,0.059,4,16.445,0.124,4,16.026,0.077,2,NA,NA,0,NA,NA,0
174.559478,0.048,-78.074401,0.204,NA,NA,0,NA,NA,0,NA,NA,0,17.994,0.156,1,17.316,0.231,1,NA,NA,0,NA,NA,0,NA,NA,0
174.569311,0.551,-78.091647,0.192,16.039,0.049,3,16.758,0.104,3,NA,NA,0,16.458,0.179,4,15.722,0.043,4,15.443,0.114,4,NA,NA,0,NA,NA,0
174.570137,0.864,-78.015698,0.324,NA,NA,0,NA,NA,0,NA,NA,0,17.459,0.089,1,16.754,0.134,1,NA,NA,0,NA,NA,0,NA,NA,0
174.574441,0.561,-78.117587,0.384,16.304,0.105,4,16.971,0.166,4,NA,NA,0,16.669,0.069,5,16.088,0.02,5,15.733,0.114,5,NA,NA,0,NA,NA,0
174.574487,0.398,-78.179644,0.382,16.695,0.117,1,17.394,0.131,1,NA,NA,0,17.236,0.08,1,16.948,0.169,1,NA,NA,0,NA,NA,0,NA,NA,0
174.577855,0.223,-78.080539,0.16,15.051,0.044,5,15.94,0.104,5,NA,NA,0,15.471,0.048,5,14.789,0.025,5,14.53,0.069,5,NA,NA,0,NA,NA,0
174.582403,0.445,-78.163609,0.285,NA,NA,0,NA,NA,0,NA,NA,0,18.023,0.157,1,16.761,0.145,1,NA,NA,0,NA,NA,0,NA,NA,0
174.582671,0.235,-78.048339,0.22,14.27,0.02,5,15.089,0.038,5,NA,NA,0,14.699,0.027,5,14.028,0.033,5,13.73,0.06,5,13.673,0.208,1,NA,NA,0
174.584257,0.431,-78.018003,0.509,15.206,0.026,4,15.987,0.053,4,NA,NA,0,15.636,0.068,5,14.94,0.04,5,14.67,0.102,5,NA,NA,0,NA,NA,0
174.584331,0.157,-77.964752,0.194,14.838,0.03,5,16.107,0.06,5,NA,NA,0,15.452,0.043,5,14.431,0.03,5,14.066,0.072,5,NA,NA,0,NA,NA,0
174.584388,0.247,-77.970129,0.196,13.41,0.019,5,14.821,0.058,5,NA,NA,0,14.099,0.022,5,12.939,0.023,5,12.494,0.058,5,12.327,0.037,3,NA,NA,0
174.586379,0.222,-78.152642,0.216,14.945,0.04,5,15.677,0.027,5,NA,NA,0,15.307,0.044,5,14.773,0.012,5,14.647,0.108,5,NA,NA,0,NA,NA,0
174.587605,0.403,-78.039455,0.413,NA,NA,0,NA,NA,0,NA,NA,0,18.126,0.162,1,17.086,0.191,1,NA,NA,0,NA,NA,0,NA,NA,0
174.594972,0.398,-78.166001,0.488,NA,NA,0,NA,NA,0,NA,NA,0,17.944,0.153,1,17.135,0.197,1,NA,NA,0,NA,NA,0,NA,NA,0
174.598488,0.249,-78.093193,0.074,NA,NA,0,NA,NA,0,NA,NA,0,17.706,0.118,1,17.092,0.195,1,NA,NA,0,NA,NA,0,NA,NA,0
174.604638,1.197,-78.193219,0.655,16.954,0.14,1,17.83,0.196,1,NA,NA,0,17.549,0.107,2,16.88,0.018,2,NA,NA,0,NA,NA,0,NA,NA,0
174.607232,0.401,-78.046882,0.232,15.812,0.133,4,16.616,0.088,4,NA,NA,0,16.191,0.024,4,15.659,0.035,4,15.414,0.142,3,NA,NA,0,NA,NA,0
174.611948,0.089,-78.179107,0.01,NA,NA,0,NA,NA,0,NA,NA,0,18.014,0.156,1,16.661,0.135,1,NA,NA,0,NA,NA,0,NA,NA,0
174.612292,0.267,-78.12185,0.185,15.204,0.058,3,16.225,0.028,3,NA,NA,0,15.724,0.064,5,14.993,0.024,5,14.685,0.044,5,NA,NA,0,NA,NA,0
174.613098,0.526,-78.128754,0.314,NA,NA,0,NA,NA,0,NA,NA,0,17.743,0.126,1,16.576,0.124,1,NA,NA,0,NA,NA,0,NA,NA,0
174.618046,0.879,-78.053249,0.133,NA,NA,0,NA,NA,0,NA,NA,0,17.816,0.127,1,17.082,0.169,1,NA,NA,0,NA,NA,0,NA,NA,0
174.619896,0.27,-78.078596,0.296,15.622,0.054,5,16.436,0.112,5,NA,NA,0,16.001,0.082,4,15.394,0.043,4,15.157,0.092,3,NA,NA,0,NA,NA,0
174.627062,0.213,-78.140945,0.192,13.112,0.019,5,13.782,0.035,5,NA,NA,0,13.437,0.025,5,12.904,0.017,5,12.686,0.056,5,12.758,0.11,3,NA,NA,0
174.629558,0.546,-77.952668,0.269,16.501,0.097,1,17.708,0.175,1,NA,NA,0,16.939,0.14,4,16.266,0.171,4,15.982,0.049,3,NA,NA,0,NA,NA,0
174.631235,0.477,-78.213649,0.27,16.265,0.132,3,16.803,0.198,3,NA,NA,0,16.621,0.125,5,15.953,0.108,5,15.894,0.137,5,NA,NA,0,NA,NA,0
174.631798,0.402,-78.16156,0.465,15.153,0.032,5,16.065,0.053,5,NA,NA,0,15.59,0.057,5,14.881,0.049,5,14.651,0.073,5,NA,NA,0,NA,NA,0
174.632314,0.463,-78.186666,0.32,16.191,0.048,2,17.093,0.077,2,NA,NA,0,16.687,0.114,5,15.915,0.073,5,15.579,0.07,4,NA,NA,0,NA,NA,0
174.640272,0.451,-77.998669,0.308,16.654,0.107,1,17.416,0.125,1,NA,NA,0,17.152,0.093,5,16.517,0.059,5,16.08,0.048,5,NA,NA,0,NA,NA,0
174.64038,0.248,-78.033786,0.112,NA,NA,0,NA,NA,0,NA,NA,0,18.052,0.177,1,17.527,0.284,1,NA,NA,0,NA,NA,0,NA,NA,0
174.642849,0.409,-77.94417,0.363,16.454,0.109,2,17.313,0.314,2,NA,NA,0,16.935,0.114,5,16.175,0.122,5,15.813,0.111,3,NA,NA,0,NA,NA,0
174.644765,0.21,-77.985833,0.242,13.51,0.012,5,14.23,0.031,5,NA,NA,0,13.882,0.043,5,13.298,0.034,5,13.067,0.051,5,13.049,0.081,3,NA,NA,0
174.65064,0.169,-78.079562,0.089,11.472,0.011,5,12.287,0.027,5,NA,NA,0,11.87,0.025,5,11.231,0.03,5,11.003,0.065,5,10.997,0.004,3,NA,NA,0
174.652869,0.553,-78.028275,0.384,17.31,0.196,1,18.063,0.231,1,NA,NA,0,17.815,0.127,1,17.106,0.192,1,NA,NA,0,NA,NA,0,NA,NA,0
174.658565,0.326,-78.115263,0.399,NA,NA,0,NA,NA,0,NA,NA,0,17.513,0.02,2,17.074,0.145,2,NA,NA,0,NA,NA,0,NA,NA,0
174.661455,0.339,-77.93859,0.229,15.878,0.014,3,16.786,0.233,3,NA,NA,0,16.389,0.067,5,15.618,0.119,5,15.122,0.057,5,NA,NA,0,NA,NA,0
174.671407,0.122,-77.950444,0.297,NA,NA,0,NA,NA,0,NA,NA,0,18.22,0.185,1,16.843,0.158,1,NA,NA,0,NA,NA,0,NA,NA,0
174.678069,0.734,-78.232878,0.326,16.556,0.172,2,17.409,0.043,2,NA,NA,0,16.845,0.043,4,16.332,0.12,4,15.942,0.105,2,NA,NA,0,NA,NA,0
174.678071,0.138,-78.024086,0.048,NA,NA,0,NA,NA,0,NA,NA,0,17.831,0.141,1,17.203,0.217,1,NA,NA,0,NA,NA,0,NA,NA,0
174.680225,0.273,-77.957676,0.293,13.755,0.006,5,14.757,0.018,5,NA,NA,0,14.237,0.026,5,13.439,0.031,5,13.109,0.052,5,13.098,0.131,3,NA,NA,0
174.681928,0.414,-78.032482,0.226,15.457,0.043,5,16.378,0.122,5,NA,NA,0,16.006,0.11,5,15.215,0.047,5,14.866,0.09,5,NA,NA,0,NA,NA,0
174.690662,0.27,-78.081297,0.307,13.808,0.01,5,14.78,0.042,5,NA,NA,0,14.289,0.021,5,13.514,0.02,5,13.245,0.051,5,13.317,0.14,3,NA,NA,0
174.696175,0.953,-78.243387,0.42,12.756,0.015,4,13.803,0.089,4,NA,NA,0,13.343,0.129,5,12.441,0.019,5,12.089,0.05,5,11.933,0.051,1,NA,NA,0
174.702009,0.289,-78.009302,0.365,14.333,0.033,5,15.128,0.046,5,NA,NA,0,14.713,0.022,5,14.108,0.024,5,13.866,0.059,5,NA,NA,0,NA,NA,0
174.706286,0.747,-78.208845,0.346,16.678,0.113,1,17.614,0.169,1,NA,NA,0,17.218,0.075,2,17.02,0.187,2,16.054,0.22,1,NA,NA,0,NA,NA,0
174.707022,0.912,-78.018477,0.301,NA,NA,0,NA,NA,0,NA,NA,0,17.482,0.186,4,16.651,0.196,3,15.997,0.202,1,NA,NA,0,NA,NA,0
174.708501,0.5,-78.12819,0.287,16.195,0.045,3,17.126,0.259,3,NA,NA,0,16.711,0.179,5,15.854,0.069,5,15.455,0.107,5,NA,NA,0,NA,NA,0
174.713368,0.198,-78.060971,0.278,13.549,0.005,5,14.177,0.026,5,NA,NA,0,13.854,0.028,5,13.364,0.024,5,13.17,0.068,5,13.244,0.078,2,NA,NA,0
174.718503,0.252,-78.214966,0.245,15.815,0.076,4,16.611,0.063,4,NA,NA,0,16.259,0.127,5,15.602,0.095,5,15.335,0.144,5,NA,NA,0,NA,NA,0
174.719743,0.178,-78.025942,0.208,15.559,0.045,4,16.512,0.032,4,NA,NA,0,15.978,0.047,5,15.341,0.03,5,15.133,0.066,5,NA,NA,0,NA,NA,0
174.720052,0.154,-78.135183,0.308,NA,NA,0,NA,NA,0,NA,NA,0,17.998,0.15,1,17.076,0.183,1,NA,NA,0,NA,NA,0,NA,NA,0
174.722594,0.355,-78.147591,0.269,15.679,0.021,5,16.608,0.148,5,NA,NA,0,16.115,0.032,5,15.448,0.063,5,15.103,0.109,5,NA,NA,0,NA,NA,0
174.72421,0.53,-77.992771,0.34,16.894,0.07,2,17.455,0.215,2,NA,NA,0,17.298,0.119,4,16.766,0.076,4,15.928,0.18,1,NA,NA,0,NA,NA,0
174.728641,0.543,-77.922842,0.287,16.45,0.09,1,17.29,0.117,1,NA,NA,0,16.941,0.119,4,16.267,0.11,4,16.119,0.299,4,NA,NA,0,NA,NA,0
174.728795,0.511,-78.15244,0.22,15.66,0.062,5,16.392,0.115,5,NA,NA,0,16.018,0.08,5,15.423,0.076,5,15.173,0.108,4,NA,NA,0,NA,NA,0
174.736229,0.852,-78.104522,0.224,16.622,0.104,1,17.852,0.196,1,NA,NA,0,17.149,0.051,2,16.547,0.13,2,16.051,0.196,1,NA,NA,0,NA,NA,0
174.736458,0.504,-78.165901,0.264,16.385,0.033,2,17.177,0.024,2,NA,NA,0,16.74,0.105,5,16.265,0.041,5,15.875,0.187,5,NA,NA,0,NA,NA,0
174.736486,0.392,-78.109697,0.011,NA,NA,0,NA,NA,0,NA,NA,0,17.635,0.104,1,16.935,0.163,1,NA,NA,0,NA,NA,0,NA,NA,0
174.737087,0.384,-78.232278,0.114,NA,NA,0,NA,NA,0,NA,NA,0,17.89,0.151,1,17.249,0.236,1,NA,NA,0,NA,NA,0,NA,NA,0
174.738722,0.455,-78.041654,0.276,16.201,0.058,4,16.841,0.072,4,NA,NA,0,16.65,0.122,5,15.932,0.124,5,15.64,0.116,5,NA,NA,0,NA,NA,0
174.739481,0.523,-77.936368,0.407,16.662,0.111,2,17.455,0.194,2,NA,NA,0,17.023,0.161,4,16.36,0.093,4,16.58,0.212,2,NA,NA,0,NA,NA,0
174.740649,0.549,-78.096527,0.21,NA,NA,0,NA,NA,0,NA,NA,0,18.109,0.177,1,17.004,0.174,1,NA,NA,0,NA,NA,0,NA,NA,0
174.746409,0.606,-77.986018,0.015,NA,NA,0,NA,NA,0,NA,NA,0,17.77,0.127,1,17.053,0.175,1,NA,NA,0,NA,NA,0,NA,NA,0
174.746749,0.497,-78.00108,0.263,NA,NA,0,NA,NA,0,NA,NA,0,17.741,0.005,2,16.639,0.131,2,NA,NA,0,NA,NA,0,NA,NA,0
174.747634,0.372,-78.200264,1.108,16.626,0.106,2,17.357,0.277,2,NA,NA,0,16.997,0.231,2,16.596,0.182,1,16.012,0.192,1,NA,NA,0,NA,NA,0
174.748693,0.293,-78.119782,0.275,15.989,0.021,2,17.018,0.117,2,NA,NA,0,16.503,0.074,5,15.702,0.077,5,15.301,0.059,5,NA,NA,0,NA,NA,0
174.75033,0.334,-77.947374,0.297,15.835,0.073,4,16.684,0.15,4,NA,NA,0,16.225,0.023,3,15.551,0.056,3,15.333,0.217,3,NA,NA,0,NA,NA,0
174.751145,0.506,-78.064517,0.211,NA,NA,0,NA,NA,0,NA,NA,0,17.401,0.042,2,16.276,0.023,2,15.803,0.174,1,NA,NA,0,NA,NA,0
174.752489,0.463,-78.157814,0.262,15.994,0.039,3,16.984,0.025,3,NA,NA,0,16.521,0.088,5,15.611,0.052,5,15.279,0.125,4,NA,NA,0,NA,NA,0
174.757794,0.245,-78.247344,0.221,15.716,0.022,2,17.224,0.196,2,NA,NA,0,16.638,0.016,4,15.074,0.086,4,14.262,0.079,4,NA,NA,0,NA,NA,0
174.758971,0.267,-77.955664,0.291,15.759,0.043,4,16.619,0.084,4,NA,NA,0,16.162,0.029,5,15.571,0.054,5,15.261,0.067,5,NA,NA,0,NA,NA,0
