radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
80.484322,0.57,1.60776,0.464,15.951,0.03,3,16.537,0.061,3,NA,NA,0,16.136,0.072,3,15.752,0.039,3,15.816,0.162,3,NA,NA,0,NA,NA,0
80.485453,0.37,1.643683,0.513,15.073,0.168,4,15.857,0.064,4,NA,NA,0,15.434,0.049,4,14.9,0.18,4,14.744,0.35,4,NA,NA,0,NA,NA,0
80.491159,0.64,1.664848,0.464,16.585,0.058,2,17.462,0.163,2,NA,NA,0,17.02,0.034,3,16.352,0.041,3,15.943,0.128,3,NA,NA,0,NA,NA,0
80.491889,0.65,1.594166,0.325,16.934,0.098,2,17.602,0.236,2,NA,NA,0,17.326,0.007,2,17.079,0.031,2,NA,NA,0,NA,NA,0,NA,NA,0
80.492697,0.797,1.694413,0.404,17.4,0.071,2,17.833,0.165,2,NA,NA,0,17.613,0.082,2,17.138,0.044,2,NA,NA,0,NA,NA,0,NA,NA,0
80.496927,0.571,1.549918,0.575,15.086,0.017,3,16.002,0.047,3,NA,NA,0,15.521,0.056,3,14.81,0.016,3,14.509,0.025,3,NA,NA,0,NA,NA,0
80.502629,0.515,1.721312,0.414,17.693,0.267,1,18.441,0.402,1,NA,NA,0,17.68,0.094,2,16.849,0.038,2,NA,NA,0,NA,NA,0,NA,NA,0
80.505424,0.347,1.6986,0.144,17.47,0.226,1,18.12,0.287,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
80.505777,0.52,1.717027,0.378,15.494,0.165,4,16.088,0.043,4,NA,NA,0,15.729,0.075,4,15.374,0.108,4,15.345,0.078,3,NA,NA,0,NA,NA,0
80.505827,0.49,1.655114,0.439,15.607,0.051,3,16.272,0.07,3,NA,NA,0,15.904,0.065,3,15.473,0.047,3,15.319,0.051,3,NA,NA,0,NA,NA,0
80.507615,0.456,1.738797,0.193,NA,NA,0,NA,NA,0,NA,NA,0,18.243,0.199,1,16.827,0.137,1,16.378,0.265,1,NA,NA,0,NA,NA,0
80.508689,0.41,1.680628,0.47,16.255,0.026,3,16.997,0.066,3,NA,NA,0,16.68,0.096,3,16.036,0.014,3,15.865,0.24,3,NA,NA,0,NA,NA,0
80.50903,0.636,1.67416,0.632,NA,NA,0,NA,NA,0,NA,NA,0,17.791,0.143,1,17.414,0.214,1,NA,NA,0,NA,NA,0,NA,NA,0
80.511198,0.441,1.612024,0.366,16.96,0.141,1,17.488,0.168,1,NA,NA,0,17.204,0.156,3,17.172,0.179,3,NA,NA,0,NA,NA,0,NA,NA,0
80.511599,0.523,1.708471,0.136,NA,NA,0,NA,NA,0,NA,NA,0,17.87,0.043,2,16.873,0.032,2,NA,NA,0,NA,NA,0,NA,NA,0
80.51473,0.82,1.574223,0.274,17.698,0.268,1,17.638,0.198,1,NA,NA,0,17.524,0.046,2,17.422,0.126,2,NA,NA,0,NA,NA,0,NA,NA,0
80.517095,0.685,1.668631,0.726,16.74,0.008,2,17.306,0.035,2,NA,NA,0,17.023,0.045,3,16.737,0.141,3,NA,NA,0,NA,NA,0,NA,NA,0
80.518209,0.473,1.630005,0.523,15.722,0.12,4,16.449,0.09,4,NA,NA,0,15.957,0.07,4,15.493,0.174,4,15.129,0.08,3,NA,NA,0,NA,NA,0
80.518416,0.611,1.757818,0.353,17.058,0.152,1,18.018,0.282,1,NA,NA,0,17.804,0.051,2,17.328,0.189,2,NA,NA,0,NA,NA,0,NA,NA,0
80.518924,0.678,1.594824,0.664,16.131,0.037,3,16.679,0.094,3,NA,NA,0,16.319,0.081,2,15.936,0.039,2,NA,NA,0,NA,NA,0,NA,NA,0
80.519962,0.481,1.674623,0.322,17.08,0.089,2,17.773,0.219,1,NA,NA,0,17.386,0.121,3,17.279,0.139,3,NA,NA,0,NA,NA,0,NA,NA,0
80.520088,1.151,1.592517,0.922,15.859,0.036,2,16.487,0.028,2,NA,NA,0,16.171,0.11,3,15.771,0.136,3,15.367,0.122,2,NA,NA,0,NA,NA,0
80.520484,0.77,1.504872,0.45,17.533,0.164,2,17.776,0.043,2,NA,NA,0,17.617,0.134,4,17.309,0.432,4,16.934,0.341,1,NA,NA,0,NA,NA,0
80.521033,0.394,1.747793,0.228,14.145,0.15,4,15.325,0.063,4,NA,NA,0,14.746,0.042,4,13.687,0.115,4,13.107,0.073,4,12.58,0.05,4,NA,NA,0
80.523615,0.904,1.476315,0.47,16.886,0.11,4,17.346,0.222,4,NA,NA,0,17.154,0.055,5,16.736,0.049,5,16.544,0.217,1,NA,NA,0,NA,NA,0
80.523643,0.367,1.640741,0.32,16.966,0.148,1,17.704,0.206,1,NA,NA,0,17.493,0.035,2,16.675,0.087,2,16.082,0.176,1,NA,NA,0,NA,NA,0
80.523949,0.169,1.556863,0.198,12.975,0.194,4,13.48,0.054,4,NA,NA,0,13.178,0.06,4,12.843,0.176,4,12.787,0.13,4,12.702,0.052,4,NA,NA,0
80.524641,0.253,1.573865,0.445,NA,NA,0,NA,NA,0,NA,NA,0,18.024,0.173,1,17.107,0.165,1,NA,NA,0,NA,NA,0,NA,NA,0
80.525697,0.525,1.686894,0.392,17.34,0.178,1,17.534,0.166,1,NA,NA,0,17.412,0.001,2,16.817,0.021,2,NA,NA,0,NA,NA,0,NA,NA,0
80.526638,0.637,1.495513,0.465,16.144,0.096,5,16.631,0.135,5,NA,NA,0,16.441,0.088,5,16.041,0.079,5,15.767,0.083,5,NA,NA,0,NA,NA,0
80.526868,0.287,1.511197,0.44,15.238,0.02,5,15.908,0.054,5,NA,NA,0,15.566,0.061,5,15.099,0.023,5,14.977,0.075,5,NA,NA,0,NA,NA,0
80.52814,0.219,1.590509,0.211,13.648,0.183,4,14.768,0.075,4,NA,NA,0,14.181,0.06,4,13.319,0.172,4,13.002,0.122,4,12.751,0.104,4,NA,NA,0
80.530366,0.354,1.765533,0.395,15.207,0.003,3,15.465,0.067,3,NA,NA,0,15.317,0.097,3,15.191,0.032,3,15.197,0.148,3,NA,NA,0,NA,NA,0
80.530366,0.584,1.563554,0.248,NA,NA,0,NA,NA,0,NA,NA,0,17.588,0.241,2,16.727,0.002,2,16.287,0.11,2,NA,NA,0,NA,NA,0
80.530871,0.371,1.618685,0.301,16.741,0.118,1,17.579,0.18,1,NA,NA,0,17.215,0.058,2,16.704,0.022,2,16.218,0.034,2,NA,NA,0,NA,NA,0
80.531817,0.389,1.520613,0.426,15.761,0.057,5,16.42,0.098,5,NA,NA,0,16.095,0.078,5,15.74,0.047,5,15.613,0.106,5,NA,NA,0,NA,NA,0
80.532142,0.488,1.730572,0.338,15.884,0.077,3,16.554,0.007,3,NA,NA,0,16.212,0.062,3,15.761,0.043,3,15.561,0.059,3,NA,NA,0,NA,NA,0
80.534173,0.269,1.758405,0.366,15.18,0.026,3,16.185,0.079,3,NA,NA,0,15.719,0.109,3,14.928,0.02,3,14.771,0.076,3,NA,NA,0,NA,NA,0
80.534847,0.21,1.709115,0.164,13.257,0.15,4,13.815,0.028,4,NA,NA,0,13.492,0.069,4,13.077,0.132,4,12.932,0.116,4,12.807,0.114,4,NA,NA,0
80.537284,0.7,1.548267,0.464,16.382,0.009,2,17.542,0.276,2,NA,NA,0,17.051,0.112,3,16.09,0.054,3,15.559,0.01,3,NA,NA,0,NA,NA,0
80.538001,0.348,1.53179,0.616,NA,NA,0,NA,NA,0,NA,NA,0,17.854,0.278,3,17.115,0.067,3,NA,NA,0,NA,NA,0,NA,NA,0
80.538979,0.419,1.793189,0.176,NA,NA,0,NA,NA,0,NA,NA,0,18.128,0.179,1,17.104,0.163,1,NA,NA,0,NA,NA,0,NA,NA,0
80.539283,0.708,1.586972,0.434,16.739,0.13,1,17.906,0.251,1,NA,NA,0,17.406,0.079,2,16.32,0.029,2,15.998,0.195,2,NA,NA,0,NA,NA,0
80.542235,0.731,1.445592,0.618,17.571,0.129,2,18.043,0.025,2,NA,NA,0,18.245,0.146,2,17.667,0.301,2,NA,NA,0,NA,NA,0,NA,NA,0
80.544152,0.452,1.74362,0.469,15.277,0.099,4,16.319,0.078,4,NA,NA,0,15.825,0.05,4,14.841,0.148,4,14.458,0.061,4,NA,NA,0,NA,NA,0
80.544418,0.623,1.664998,0.084,NA,NA,0,NA,NA,0,NA,NA,0,17.991,0.051,2,17.173,0.178,2,NA,NA,0,NA,NA,0,NA,NA,0
80.54444,0.129,1.668916,0.099,NA,NA,0,NA,NA,0,NA,NA,0,18.334,0.225,1,17.269,0.195,1,NA,NA,0,NA,NA,0,NA,NA,0
80.544982,0.622,1.437902,0.366,17.309,0.163,1,17.801,0.178,1,NA,NA,0,17.857,0.123,1,17.417,0.171,1,NA,NA,0,NA,NA,0,NA,NA,0
80.545023,0.288,1.5138,0.158,11.912,0.174,6,12.976,0.06,6,NA,NA,0,12.425,0.053,6,11.613,0.144,6,11.323,0.123,6,11.143,0.062,4,NA,NA,0
80.546041,0.417,1.70574,0.484,16.723,0.014,2,17.439,0.061,2,NA,NA,0,17.097,0.011,3,16.574,0.09,3,16.208,0.088,2,NA,NA,0,NA,NA,0
80.546437,0.489,1.778109,0.662,NA,NA,0,NA,NA,0,NA,NA,0,17.858,0.171,2,17.412,0.009,2,NA,NA,0,NA,NA,0,NA,NA,0
80.547008,0.263,1.800064,0.234,15.237,0.027,3,15.846,0.039,3,NA,NA,0,15.479,0.068,3,15.11,0.033,3,15.022,0.085,3,NA,NA,0,NA,NA,0
80.547492,0.336,1.734499,0.347,14.666,0.178,4,15.303,0.053,4,NA,NA,0,14.942,0.061,4,14.499,0.15,4,14.307,0.169,4,NA,NA,0,NA,NA,0
80.548067,0.614,1.452914,0.427,16.378,0.079,5,16.853,0.094,5,NA,NA,0,16.56,0.087,5,16.236,0.029,5,15.965,0.118,5,NA,NA,0,NA,NA,0
80.549112,0.436,1.648467,0.394,16.626,0.104,2,17.307,0.198,2,NA,NA,0,16.936,0.104,3,16.315,0.067,3,16.246,0.23,2,NA,NA,0,NA,NA,0
80.549821,0.342,1.614426,0.361,16.6,0.034,2,17.581,0.087,2,NA,NA,0,17.002,0.057,3,16.348,0.12,3,16.123,0.214,1,NA,NA,0,NA,NA,0
80.550567,0.34,1.512513,0.352,15.123,0.045,4,16.047,0.06,4,NA,NA,0,15.547,0.084,4,14.834,0.021,4,14.576,0.048,4,NA,NA,0,NA,NA,0
80.551313,0.641,1.689813,0.36,17.537,0.24,1,18.046,0.277,1,NA,NA,0,17.584,0.167,2,17.235,0.188,2,NA,NA,0,NA,NA,0,NA,NA,0
80.551575,0.313,1.506243,0.274,13.731,0.179,6,14.584,0.049,6,NA,NA,0,14.141,0.05,6,13.486,0.146,6,13.252,0.118,6,13.135,0.017,3,NA,NA,0
80.553884,0.811,1.567074,0.331,16.987,0.142,1,17.725,0.214,1,NA,NA,0,17.453,0.064,2,16.961,0.047,2,16.541,0.101,2,NA,NA,0,NA,NA,0
80.555145,0.176,1.530794,0.167,12.919,0.173,6,13.64,0.052,6,NA,NA,0,13.264,0.055,6,12.743,0.139,6,12.589,0.117,6,12.432,0.114,4,NA,NA,0
80.556112,0.451,1.703701,0.43,NA,NA,0,NA,NA,0,NA,NA,0,17.949,0.122,2,17.089,0.122,2,NA,NA,0,NA,NA,0,NA,NA,0
80.557566,0.619,1.714525,0.303,16.666,0.125,1,17.259,0.139,1,NA,NA,0,17.077,0.041,3,16.547,0.053,3,NA,NA,0,NA,NA,0,NA,NA,0
80.557617,0.148,1.599482,0.153,9.105,0.038,4,10.002,0.028,6,NA,NA,0,9.638,0.227,5,8.836,0.029,4,8.592,0.024,4,8.395,0.043,4,NA,NA,0
80.558083,0.145,1.724872,0.159,11.772,0.153,4,12.795,0.049,4,NA,NA,0,12.244,0.061,4,11.448,0.138,4,11.174,0.097,4,10.988,0.033,4,NA,NA,0
80.559402,0.298,1.535756,0.085,NA,NA,0,NA,NA,0,NA,NA,0,17.59,0.122,1,17.226,0.171,1,NA,NA,0,NA,NA,0,NA,NA,0
