radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
280.387458,1.034,-35.563508,0.466,15.684,0.023,3,16.373,0.094,3,NA,NA,0,15.926,0.052,3,15.474,0.092,3,15.519,0.112,3,NA,NA,0,NA,NA,0
280.388374,0.16,-35.521072,0.322,15.537,0.08,3,16.267,0.05,3,NA,NA,0,15.851,0.025,3,15.483,0.017,3,15.536,0.098,3,NA,NA,0,NA,NA,0
280.389166,0.27,-35.57598,0.17,13.724,0.043,3,14.98,0.018,3,NA,NA,0,14.329,0.005,3,13.328,0.036,3,13.094,0.07,3,NA,NA,0,NA,NA,0
280.389942,0.37,-35.553324,0.511,16.502,0.075,3,17.447,0.027,3,NA,NA,0,16.818,0.022,2,16.067,0.135,2,15.859,0.236,1,NA,NA,0,NA,NA,0
280.390358,0.517,-35.541196,0.356,16.238,0.128,2,17.05,0.018,2,NA,NA,0,16.512,0.048,2,16.103,0.073,2,NA,NA,0,NA,NA,0,NA,NA,0
280.391642,0.227,-35.546355,0.194,16.345,0.06,3,16.931,0.118,3,NA,NA,0,16.508,0.02,3,16.293,0.046,3,NA,NA,0,NA,NA,0,NA,NA,0
280.392529,0.546,-35.564005,0,NA,NA,0,NA,NA,0,NA,NA,0,17.163,0.151,1,16.736,0.224,1,NA,NA,0,NA,NA,0,NA,NA,0
280.394188,0.067,-35.585174,0.066,12.155,0.004,2,12.626,0.01,2,NA,NA,0,12.361,0.008,2,12.071,0.007,2,12.114,0.018,2,NA,NA,0,NA,NA,0
280.395283,0.344,-35.49194,0.221,16.394,0.138,1,17.537,0.232,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
280.395372,0.354,-35.533881,0.167,12.953,0.043,3,14.481,0.042,3,NA,NA,0,13.72,0.008,3,12.431,0.026,3,11.994,0.099,3,NA,NA,0,NA,NA,0
280.397772,0.335,-35.560645,0.584,15.431,0.009,3,16.377,0.038,3,NA,NA,0,15.891,0.017,3,15.275,0.106,3,14.952,0.099,1,NA,NA,0,NA,NA,0
280.398299,0.326,-35.55472,0.288,15.725,0.074,3,16.979,0.015,3,NA,NA,0,16.304,0.063,3,15.398,0.138,3,15.24,0.146,3,NA,NA,0,NA,NA,0
280.400856,0.392,-35.592238,0.283,16.683,0.123,3,17.706,0.112,3,NA,NA,0,17.082,0.059,2,16.452,0.043,2,NA,NA,0,NA,NA,0,NA,NA,0
280.401243,0.397,-35.499679,0.207,15.619,0.02,3,16.249,0.069,3,NA,NA,0,15.954,0.019,3,15.401,0.035,2,15.461,0.239,3,NA,NA,0,NA,NA,0
280.401391,0.299,-35.518987,0.332,16.573,0.039,2,17.315,0.112,2,NA,NA,0,16.847,0.057,3,16.338,0.155,3,NA,NA,0,NA,NA,0,NA,NA,0
280.401477,0.475,-35.605699,0.139,14.491,0.012,3,15.711,0.028,3,NA,NA,0,15.061,0.016,3,14.104,0.032,3,13.817,0.089,3,NA,NA,0,NA,NA,0
280.4018,0.403,-35.566021,0.066,NA,NA,0,NA,NA,0,NA,NA,0,17.287,0.167,1,16.779,0.215,1,NA,NA,0,NA,NA,0,NA,NA,0
280.40188,0.454,-35.623344,0.029,16.752,0.171,1,17.683,0.186,1,NA,NA,0,17.399,0.154,1,16.991,0.226,1,NA,NA,0,NA,NA,0,NA,NA,0
280.402211,0.323,-35.536311,0.117,15.893,0.088,1,16.628,0.101,1,NA,NA,0,16.186,0.057,1,NA,NA,0,15.724,0.191,1,NA,NA,0,NA,NA,0
280.402288,0.298,-35.548586,0.161,15.179,0.038,3,16.252,0.022,3,NA,NA,0,15.698,0.003,2,14.841,0.029,2,14.477,0.069,1,NA,NA,0,NA,NA,0
