radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
239.618107,0.352,-42.342413,0.29,16.162,0.065,1,17.722,0.186,1,NA,NA,0,17.141,0.133,5,15.626,0.159,5,15.052,0.155,5,NA,NA,0,NA,NA,0
239.619524,0.179,-42.332813,0.194,NA,NA,0,NA,NA,0,NA,NA,0,17.858,0.139,1,16.936,0.133,1,16.444,0.212,1,NA,NA,0,NA,NA,0
239.629067,0.191,-42.337235,0.18,13.946,0.013,5,15.633,0.056,5,NA,NA,0,14.765,0.035,6,13.249,0.122,6,12.558,0.095,6,NA,NA,0,NA,NA,0
239.631013,0.338,-42.385915,0.296,15.925,0.087,1,17.296,0.17,1,NA,NA,0,16.578,0.07,4,15.002,0.159,4,14.352,0.107,4,NA,NA,0,NA,NA,0
239.632919,0.515,-42.286611,0.417,17.462,0.198,1,18.92,0.488,1,NA,NA,0,18.202,0.167,1,17.131,0.156,1,16.572,0.255,1,NA,NA,0,NA,NA,0
239.635439,0.393,-42.298594,0.217,NA,NA,0,NA,NA,0,NA,NA,0,17.359,0.124,4,15.458,0.132,4,14.548,0.185,4,NA,NA,0,NA,NA,0
239.636142,0.588,-42.305791,0.167,14.669,0.033,3,15.489,0.047,3,NA,NA,0,15.11,0.024,4,14.301,0.12,4,13.96,0.1,4,NA,NA,0,NA,NA,0
239.636827,0.247,-42.322216,0.212,16.775,0.108,1,17.819,0.188,1,NA,NA,0,17.587,0.105,1,16.281,0.074,1,NA,NA,0,NA,NA,0,NA,NA,0
239.63714,0.329,-42.335323,0.167,NA,NA,0,NA,NA,0,NA,NA,0,17.87,0.138,1,16.557,0.099,1,15.938,0.149,1,NA,NA,0,NA,NA,0
239.637212,0.927,-42.27657,0.126,17.522,0.21,1,18.238,0.256,1,NA,NA,0,18.679,0.275,1,17.384,0.22,1,NA,NA,0,NA,NA,0,NA,NA,0
239.64043,0.134,-42.314497,0.165,15.437,0.019,3,16.492,0.019,3,NA,NA,0,15.944,0.065,4,14.912,0.143,4,14.433,0.139,4,NA,NA,0,NA,NA,0
239.640938,0.725,-42.353885,0.593,NA,NA,0,NA,NA,0,NA,NA,0,17.048,0.137,1,15.768,0.136,1,NA,NA,0,NA,NA,0,NA,NA,0
239.645611,0.058,-42.275897,0.132,NA,NA,0,NA,NA,0,NA,NA,0,18.25,0.18,1,16.987,0.147,1,NA,NA,0,NA,NA,0,NA,NA,0
239.646505,0.331,-42.304963,0.169,NA,NA,0,NA,NA,0,NA,NA,0,18.022,0.153,1,16.399,0.082,1,15.751,0.113,1,NA,NA,0,NA,NA,0
239.646827,0.421,-42.438565,0.236,16.281,0.097,2,17.098,0.167,2,NA,NA,0,16.607,0.1,4,15.573,0.114,4,15.062,0.232,4,NA,NA,0,NA,NA,0
239.648519,0.026,-42.326159,0.199,NA,NA,0,NA,NA,0,NA,NA,0,18.531,0.264,1,16.871,0.143,1,16.519,0.248,1,NA,NA,0,NA,NA,0
239.648568,0.39,-42.255568,0.329,10.831,0.023,4,12.549,0.038,4,NA,NA,0,11.702,0.023,6,10.194,0.044,3,NA,NA,0,NA,NA,0,NA,NA,0
