radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
165.603551,0.267,-77.559869,0.228,11.522,0.098,5,12.708,0.081,5,NA,NA,0,12.16,0.041,5,11.076,0.042,5,10.602,0.089,5,NA,NA,0,NA,NA,0
165.647809,0.433,-77.644675,0.412,15.709,0.018,2,17.275,0.114,2,NA,NA,0,16.499,0.052,5,15.065,0.065,5,14.216,0.086,5,NA,NA,0,NA,NA,0
165.834863,0.548,-77.734112,0.217,NA,NA,0,NA,NA,0,NA,NA,0,18.084,0.103,3,16.277,0.037,2,15.338,0.025,3,NA,NA,0,NA,NA,0
165.845464,0.523,-77.691713,0.371,15.347,0.069,4,17.777,0.133,4,NA,NA,0,16.586,0.088,7,14.269,0.09,7,13.065,0.093,7,NA,NA,0,NA,NA,0
165.868574,0.267,-77.457457,0.209,17.236,0.157,1,17.937,0.205,1,NA,NA,0,17.618,0.095,1,16.569,0.094,1,15.773,0.118,1,NA,NA,0,NA,NA,0
165.870251,0.388,-77.681031,0.307,14.708,0.02,3,17.421,0.337,3,NA,NA,0,16.152,0.053,6,13.431,0.069,6,11.959,0.128,6,NA,NA,0,NA,NA,0
165.934886,0.351,-77.769744,0.266,10.929,0.038,8,11.822,0.055,6,NA,NA,0,11.387,0.019,4,10.629,0.067,6,10.577,0.112,6,10.357,0.022,2,NA,NA,0
165.995843,0.353,-77.72639,0.189,14.961,0.04,5,16.458,0.121,5,NA,NA,0,15.79,0.052,6,14.242,0.061,6,13.221,0.125,6,12.368,0.083,1,NA,NA,0
166.092998,0.138,-77.692133,0.082,12.719,0.036,6,13.968,0.05,6,NA,NA,0,13.378,0.027,6,12.203,0.059,6,11.634,0.122,6,NA,NA,0,NA,NA,0
166.10078,0.217,-77.430253,0.263,16.155,0.06,1,17.532,0.139,1,NA,NA,0,16.909,0.056,5,15.242,0.067,5,14.125,0.122,5,NA,NA,0,NA,NA,0
166.177069,0.313,-77.69918,0.355,NA,NA,0,NA,NA,0,NA,NA,0,17.842,0.076,4,16.157,0.102,4,14.535,0.134,4,NA,NA,0,NA,NA,0
166.428626,0.5,-77.447647,0.212,NA,NA,0,NA,NA,0,NA,NA,0,18.165,0.018,2,16.332,0.067,2,14.319,0.066,2,NA,NA,0,NA,NA,0
166.429847,0.294,-77.755947,0.171,NA,NA,0,NA,NA,0,NA,NA,0,18.164,0.158,1,16.424,0.088,1,15.066,0.07,1,NA,NA,0,NA,NA,0
166.563872,0.339,-77.365983,1.222,11.318,0.003,1,12.743,0.007,1,NA,NA,0,12.106,0.034,4,10.699,0.036,3,9.897,0.01,1,9.27,0.008,1,NA,NA,0
166.646903,0.265,-77.900703,0.323,NA,NA,0,NA,NA,0,NA,NA,0,17.677,0.036,3,16.01,0.051,2,15.136,0.179,3,NA,NA,0,NA,NA,0
166.680846,0.421,-77.442905,0.215,15.942,0.05,1,17.82,0.181,1,NA,NA,0,17.036,0.074,4,15.063,0.047,4,13.696,0.049,4,NA,NA,0,NA,NA,0
166.687676,0.324,-77.450658,0.406,14.425,0.651,6,16.305,0.748,6,NA,NA,0,15.635,0.796,7,13.825,0.641,7,12.662,0.684,7,11.9,0.065,1,NA,NA,0
166.692039,0.547,-77.84279,0.257,NA,NA,0,NA,NA,0,NA,NA,0,18.345,0.073,2,16.192,0.05,2,15.068,0.073,1,NA,NA,0,NA,NA,0
166.7214,0.523,-77.830087,0.537,NA,NA,0,NA,NA,0,NA,NA,0,18.498,0.106,2,16.484,0.158,2,15.526,0.049,2,NA,NA,0,NA,NA,0
166.738523,0.37,-77.70295,0.225,NA,NA,0,NA,NA,0,NA,NA,0,17.804,0.234,4,16.162,0.109,4,14.428,0.031,3,NA,NA,0,NA,NA,0
166.77253,0.367,-77.810384,0.231,NA,NA,0,NA,NA,0,NA,NA,0,17.526,0.066,5,15.871,0.06,5,15.053,0.12,5,NA,NA,0,NA,NA,0
166.774315,0.284,-77.8941,0.24,14.603,0.026,5,16.389,0.134,5,NA,NA,0,15.542,0.048,5,13.872,0.054,5,13.089,0.102,5,12.454,0.105,3,NA,NA,0
166.797503,0.218,-77.777622,0.151,NA,NA,0,NA,NA,0,NA,NA,0,17.734,0.178,4,15.699,0.053,4,14.207,0.048,4,NA,NA,0,NA,NA,0
166.813196,0.236,-77.901648,0.247,14.007,0.04,5,15.399,0.041,5,NA,NA,0,14.758,0.04,5,13.438,0.052,5,12.822,0.081,5,12.175,0.05,3,NA,NA,0
166.818772,0.21,-77.439319,0.185,15.028,0.041,2,17.805,0.102,2,NA,NA,0,16.426,0.064,7,13.825,0.05,7,12.246,0.085,7,11.205,0.037,1,NA,NA,0
166.83097,0.252,-77.908935,0.361,NA,NA,0,NA,NA,0,NA,NA,0,17.999,0.205,2,16.67,0.11,2,16.147,0.032,2,NA,NA,0,NA,NA,0
166.834728,0.362,-77.494535,0.287,16.131,0.061,1,17.694,0.161,1,NA,NA,0,16.934,0.115,7,15.578,0.087,7,13.808,0.086,6,NA,NA,0,NA,NA,0
166.836236,0.148,-77.635298,0.145,10.702,0.062,8,11.978,0.07,7,NA,NA,0,11.397,0.032,7,10.224,0.029,8,9.656,0.008,1,9.316,0.008,1,NA,NA,0
166.849999,0.243,-77.6905,0.183,NA,NA,0,NA,NA,0,NA,NA,0,17.122,0.085,5,14.461,0.095,5,13.037,0.057,5,NA,NA,0,NA,NA,0
