radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
236.946768,0.041,-35.614682,0.376,NA,NA,0,NA,NA,0,NA,NA,0,18.049,0.124,1,16.759,0.103,1,16.541,0.237,1,NA,NA,0,NA,NA,0
236.9473,0.359,-35.651377,0.015,NA,NA,0,NA,NA,0,NA,NA,0,18.824,0.28,1,17.314,0.197,1,NA,NA,0,NA,NA,0,NA,NA,0
236.949791,0.421,-35.632703,0.225,16.526,0.026,2,17.749,0.107,2,NA,NA,0,17.131,0.064,4,15.983,0.131,4,15.749,0.08,2,NA,NA,0,NA,NA,0
236.949925,0.307,-35.621281,0.22,16.55,0.022,2,18.286,0.107,2,NA,NA,0,17.313,0.03,3,15.887,0.099,3,15.503,0.018,2,NA,NA,0,NA,NA,0
236.950814,0.284,-35.709534,0.174,15.971,0.008,2,17.184,0.278,3,NA,NA,0,16.497,0.083,3,15.555,0.127,3,15.105,0.025,2,NA,NA,0,NA,NA,0
236.954571,0.138,-35.656891,0.191,16.183,0.013,2,17.305,0.091,2,NA,NA,0,16.731,0.022,3,15.749,0.041,3,15.353,0.1,2,NA,NA,0,NA,NA,0
236.95963,0.257,-35.707394,0.341,16.537,0.07,2,17.75,0.003,2,NA,NA,0,17.091,0.098,1,16.096,0.105,1,NA,NA,0,NA,NA,0,NA,NA,0
236.959983,0.211,-35.643567,0.126,15.013,0.094,3,16.336,0.017,3,NA,NA,0,15.582,0.019,4,14.44,0.147,4,13.906,0.213,3,NA,NA,0,NA,NA,0
236.960573,0.697,-35.566262,0.52,NA,NA,0,NA,NA,0,NA,NA,0,18.355,0.051,2,16.727,0.075,2,15.969,0.025,2,NA,NA,0,NA,NA,0
236.960715,0.399,-35.673892,0.197,NA,NA,0,NA,NA,0,NA,NA,0,18.006,0.072,3,16.381,0.139,3,15.856,0.019,2,NA,NA,0,NA,NA,0
236.961282,0.483,-35.652404,0.293,17.12,0.037,2,18.115,0.116,2,NA,NA,0,17.406,0.082,3,16.537,0.194,3,16.18,0.078,2,NA,NA,0,NA,NA,0
236.962117,0.514,-35.611003,0.197,17.68,0.222,1,18.258,0.247,1,NA,NA,0,18.095,0.107,3,17.023,0.105,3,16.158,0.18,1,NA,NA,0,NA,NA,0
236.962188,0.212,-35.630041,0.097,11.697,0.13,3,13.413,0.009,3,NA,NA,0,12.479,0.012,4,10.935,0.152,4,10.214,0.135,3,NA,NA,0,NA,NA,0
236.96245,0.168,-35.638382,0.184,15.314,0.112,3,16.394,0.014,3,NA,NA,0,15.777,0.028,4,14.85,0.152,4,14.322,0.001,2,NA,NA,0,NA,NA,0
236.964186,0.16,-35.738334,0.299,16.559,0.118,2,18.098,0.115,2,NA,NA,0,17.294,0.061,3,15.844,0.146,2,15.33,0.09,2,NA,NA,0,NA,NA,0
236.9652,0.738,-35.598132,0.019,NA,NA,0,NA,NA,0,NA,NA,0,18.693,0.213,1,17.209,0.155,1,NA,NA,0,NA,NA,0,NA,NA,0
236.965943,0.349,-35.674227,0.229,16.754,0.082,2,18.023,0.034,2,NA,NA,0,17.27,0.025,3,16.226,0.09,3,15.909,0.157,2,NA,NA,0,NA,NA,0
236.967427,0.495,-35.655365,0.312,16.795,0.077,2,17.908,0.07,2,NA,NA,0,17.371,0.072,3,16.388,0.096,3,15.99,0.062,2,NA,NA,0,NA,NA,0
