radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
64.488806,0.327,29.065869,0.193,14.832,0.059,7,16.195,0.069,7,NA,NA,0,15.457,0.068,7,14.354,0.042,7,13.762,0.065,7,13.241,0.166,1,NA,NA,0
64.50016,0.297,29.108982,0.338,14.692,0.067,7,15.865,0.055,7,NA,NA,0,15.245,0.284,8,14.298,0.082,8,13.741,0.091,8,NA,NA,0,NA,NA,0
64.503814,0.523,29.126735,0.473,16.66,0.064,2,17.956,0.017,2,NA,NA,0,17.292,0.184,5,16.187,0.092,5,15.509,0.058,5,NA,NA,0,NA,NA,0
64.504319,0.538,29.171318,0.397,16.491,0.051,3,17.477,0.148,3,NA,NA,0,17.023,0.083,7,16.086,0.084,7,15.621,0.095,7,NA,NA,0,NA,NA,0
64.513602,0.372,29.12781,0.276,15.698,0.084,7,16.949,0.12,7,NA,NA,0,16.302,0.071,7,15.324,0.05,7,14.7,0.09,7,NA,NA,0,NA,NA,0
64.515911,0.551,29.196281,0.484,16.621,0.125,1,17.639,0.187,1,NA,NA,0,17.114,0.077,1,16.43,0.101,1,NA,NA,0,NA,NA,0,NA,NA,0
64.519829,0.467,29.119765,0.483,17.59,0.299,1,17.913,0.251,1,NA,NA,0,17.714,0.197,4,16.938,0.084,4,16.458,0.003,2,NA,NA,0,NA,NA,0
64.520705,0.26,29.194499,0.319,13.586,0.069,8,15.032,0.213,8,NA,NA,0,14.26,0.259,8,13.081,0.079,8,12.448,0.1,8,12.124,0.057,1,NA,NA,0
64.522475,0.391,29.182064,0.445,16.48,0.074,3,17.585,0.195,3,NA,NA,0,17.009,0.133,6,16.25,0.153,6,15.75,0.095,6,NA,NA,0,NA,NA,0
64.523972,0.388,29.061875,0.368,16.106,0.063,5,17.241,0.101,5,NA,NA,0,16.67,0.079,7,15.73,0.079,7,15.113,0.104,7,NA,NA,0,NA,NA,0
64.526167,0.283,29.140257,0.319,14.876,0.067,7,16.505,0.122,7,NA,NA,0,15.627,0.072,7,14.268,0.08,8,13.484,0.111,8,13.024,0.134,1,NA,NA,0
