radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
166.827436,0.447,-76.51464,0.373,16.674,0.039,2,17.988,0.107,2,NA,NA,0,17.151,0.121,5,16.249,0.047,5,15.74,0.177,5,NA,NA,0,NA,NA,0
166.838238,0.426,-76.529843,0.242,16.239,0.058,3,17.483,0.074,3,NA,NA,0,16.817,0.073,5,15.82,0.048,5,15.253,0.146,5,NA,NA,0,NA,NA,0
166.862406,0.074,-76.607603,0.212,NA,NA,0,NA,NA,0,NA,NA,0,18.205,0.153,1,17.371,0.172,1,NA,NA,0,NA,NA,0,NA,NA,0
166.877331,0.264,-76.561907,0.282,15.75,0.049,3,16.982,0.091,3,NA,NA,0,16.326,0.041,6,15.239,0.046,6,14.61,0.09,6,NA,NA,0,NA,NA,0
166.883071,0.098,-76.509817,0.612,NA,NA,0,NA,NA,0,NA,NA,0,17.785,0.183,2,16.401,0.016,2,16.199,0.26,1,NA,NA,0,NA,NA,0
166.884121,0.284,-76.516437,0.336,16.482,0.077,1,17.594,0.129,1,NA,NA,0,17.188,0.07,4,16.078,0.131,4,15.294,0.095,4,NA,NA,0,NA,NA,0
166.887631,0.404,-76.67478,0.252,17.052,0.076,2,17.874,0.143,2,NA,NA,0,17.425,0.057,3,16.58,0.036,3,16.167,0.29,3,NA,NA,0,NA,NA,0
166.931563,0.241,-76.583471,0.167,14.861,0.068,7,16.426,0.107,7,NA,NA,0,15.638,0.039,7,14.28,0.028,7,13.606,0.095,7,NA,NA,0,NA,NA,0
166.93259,0.468,-76.526514,0.364,NA,NA,0,NA,NA,0,NA,NA,0,18.461,0.046,2,16.645,0.164,1,16.336,0.18,1,NA,NA,0,NA,NA,0
166.940467,0.438,-76.63223,0.23,16.56,0.085,1,18.494,0.283,1,NA,NA,0,17.311,0.119,5,16.011,0.129,5,15.534,0.075,5,NA,NA,0,NA,NA,0
166.944376,0.042,-76.558512,0.406,NA,NA,0,NA,NA,0,NA,NA,0,17.448,0.078,1,16.388,0.076,1,NA,NA,0,NA,NA,0,NA,NA,0
166.946265,0.275,-76.659858,0.345,NA,NA,0,NA,NA,0,NA,NA,0,17.618,0.089,1,16.239,0.067,1,15.556,0.094,1,NA,NA,0,NA,NA,0
166.948624,0.452,-76.654167,0.361,16.01,0.06,6,16.968,0.179,6,NA,NA,0,16.527,0.108,7,15.697,0.057,7,15.184,0.203,7,NA,NA,0,NA,NA,0
166.951738,0.357,-76.556413,0.368,16.488,0.049,2,17.692,0.047,2,NA,NA,0,17.062,0.121,4,16.232,0.105,4,15.459,0.316,2,NA,NA,0,NA,NA,0
166.959763,0.415,-76.661289,0.211,15.769,0.081,5,16.799,0.057,5,NA,NA,0,16.328,0.061,7,15.444,0.04,7,14.965,0.15,7,NA,NA,0,NA,NA,0
166.962253,0.176,-76.578535,0.384,NA,NA,0,NA,NA,0,NA,NA,0,17.902,0.021,2,16.892,0.009,2,15.965,0.132,1,NA,NA,0,NA,NA,0
166.977927,0.639,-76.65475,0.158,NA,NA,0,NA,NA,0,NA,NA,0,18.145,0.13,2,17.033,0.094,2,16.379,0.186,1,NA,NA,0,NA,NA,0
166.985328,0.395,-76.695417,0.352,16.663,0.015,2,17.894,0.085,2,NA,NA,0,17.309,0.108,3,16.257,0.166,3,15.767,0.156,1,NA,NA,0,NA,NA,0
167.004685,0.727,-76.485772,0.121,NA,NA,0,NA,NA,0,NA,NA,0,18.033,0.127,1,17.086,0.143,1,16.079,0.151,1,NA,NA,0,NA,NA,0
167.009839,0.384,-76.614567,0.25,16.246,0.059,5,17.128,0.155,5,NA,NA,0,16.729,0.124,7,15.857,0.138,7,15.401,0.229,7,NA,NA,0,NA,NA,0
167.015068,0.225,-76.624832,0.292,NA,NA,0,NA,NA,0,NA,NA,0,17.797,0.076,3,16.662,0.051,3,15.836,0.066,2,NA,NA,0,NA,NA,0
167.021253,0.313,-76.47729,0.247,15.993,0.093,4,16.967,0.061,4,NA,NA,0,16.561,0.091,7,15.669,0.065,7,15.264,0.091,7,NA,NA,0,NA,NA,0
167.029569,0.454,-76.604241,0.284,16.665,0.183,2,17.773,0.121,2,NA,NA,0,17.119,0.065,5,16.23,0.108,5,16.035,0.171,5,NA,NA,0,NA,NA,0
167.034653,0.39,-76.425935,0.239,16.367,0.005,2,17.427,0.136,2,NA,NA,0,16.952,0.077,6,16.07,0.101,6,15.603,0.139,5,NA,NA,0,NA,NA,0
