;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
lsc0m409-kb29-20220131-0077-e91.fits.fz  59611.379686262  59611.379920996  5450  2.4201e-14  3.9742e-16
lsc0m409-kb29-20220201-0180-e91.fits.fz  59612.312666100  59612.312900811  5450  2.7367e-14  4.7734e-16
lsc0m412-kb26-20220204-0344-e91.fits.fz  59615.302099978  59615.302334792  5450  1.9137e-14  5.6742e-16
cpt0m407-kb87-20220205-0177-e91.fits.fz  59616.053905938  59616.054140706  5450  1.9268e-14  2.0650e-16
cpt0m407-kb87-20220206-0147-e91.fits.fz  59617.048035915  59617.048270718  5450  1.9527e-14  2.3962e-16
lsc0m409-kb29-20220207-0162-e91.fits.fz  59618.293536204  59618.293770961  5450  2.5408e-14  4.7224e-16
cpt0m407-kb87-20220208-0155-e91.fits.fz  59619.044779341  59619.045014109  5450  2.5759e-14  2.3173e-16
cpt0m407-kb87-20220209-0148-e91.fits.fz  59620.039841783  59620.040076551  5450  1.7768e-14  1.9511e-16
lsc0m412-kb26-20220418-0132-e91.fits.fz  59688.112705186  59688.112939954  5450  2.2187e-14  4.4738e-16
lsc0m409-kb29-20220420-0096-e91.fits.fz  59690.111396112  59690.111630845  5450  2.6158e-14  2.9646e-16
lsc0m412-kb26-20220421-0146-e91.fits.fz  59691.104523334  59691.104758044  5450  2.2390e-14  3.5089e-16
lsc0m409-kb29-20220422-0170-e91.fits.fz  59692.101801933  59692.102036771  5450  1.6604e-14  2.1642e-16
lsc0m409-kb29-20220423-0150-e91.fits.fz  59693.099128519  59693.099363276  5450  1.9134e-14  2.3351e-16
lsc0m409-kb29-20220424-0167-e91.fits.fz  59694.103771227  59694.104006077  5450  2.2696e-14  2.7525e-16
lsc0m412-kb26-20220425-0155-e91.fits.fz  59695.199588160  59695.199822929  5450  1.5556e-14  3.1941e-16
lsc0m409-kb29-20220426-0057-e91.fits.fz  59696.232775475  59696.233010220  5450  1.9186e-14  2.3111e-16
cpt0m407-kb87-20220427-0185-e91.fits.fz  59697.083525359  59697.083760151  5450  1.9488e-14  1.9403e-16
lsc0m409-kb29-20220429-0141-e91.fits.fz  59699.100974966  59699.101209723  5450  2.3033e-14  2.4174e-16
lsc0m412-kb26-20220429-0191-e91.fits.fz  59699.341534121  59699.341768924  5450  2.0734e-14  5.1656e-16
coj0m405-kb88-20220430-0051-e91.fits.fz  59699.625166007  59699.625400787  5450  2.0305e-14  2.3206e-16
coj0m403-kb24-20220430-0079-e91.fits.fz  59699.711995880  59699.712230024  5450  2.0074e-14  2.4149e-16
coj0m403-kb24-20220430-0081-e91.fits.fz  59699.718166123  59699.718400359  5450  1.9988e-14  2.0699e-16
coj0m405-kb88-20220430-0117-e91.fits.fz  59699.812450568  59699.812685336  5450  1.8837e-14  3.5553e-16
