target_name_std,target_name_simbad,simbad_link,target_classification,gaia_dr2_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref
2dFS 163,2dFS 163,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+163,Late O Supergiant,Gaia DR2 4688838203919272832,9.242666804,-73.39255191,2015.5,SMC,None,O8 Ib(f),2004MNRAS.353..601E,O,8,I,13.84,2002AJ....123..855Z,14.95,2002AJ....123..855Z,15.11,2002AJ....123..855Z,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
AV 6,AzV 6,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+6,Late O Giant,Gaia DR2 4685852102139246976,11.32586344,-73.25638696,2015.5,SMC,None,O9 III,1997A&A...317..871L,O,9,III,12.45,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.31,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.31,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,2017MNRAS.472.2241Z
AV 14,AzV 14,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14,Early O Dwarf,Gaia DR2 4688857372328703488,11.63597778,-73.10155081,2015.5,SMC,None,O5 V,2004ApJ...608.1001M,O,5,V,12.38,2002ApJS..141...81M,13.38,2002ApJS..141...81M,13.55,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,44000,2004ApJ...608.1001M,4,2004ApJ...608.1001M,5.82,2004ApJ...608.1001M,14.2,2004ApJ...608.1001M,74,2004ApJ...608.1001M,261,2009ApJ...700..844P,2000,2004ApJ...608.1001M,1.00E-07,2004ApJ...608.1001M,FALSE,None
AV 15,AzV 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+15,Mid O Bright Giant,Gaia DR2 4685835403303046784,11.67567042,-73.4154202,2015.5,SMC,None,O6.5 II(f),2000PASP..112.1243W,O,6.5,II,11.9,2002ApJS..141...81M,12.93,2002ApJS..141...81M,13.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.1,2021A&A...647A.134B,39000,2021A&A...647A.134B,3.61,2021A&A...647A.134B,5.83,2021A&A...647A.134B,18,"Derived from L,Teff",47.2,2021A&A...647A.134B,120,2021A&A...647A.134B,2050,2021A&A...647A.134B,1.10E-06,2021A&A...647A.134B,FALSE,None
AV 16,AzV 16,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+16,Early B Dwarf,Gaia DR2 4685854571724688768,11.72930113,-73.14282157,2015.5,SMC,None,sgB0[e|,1998A&A...340..117L,B,0,I,12.29,2002ApJS..141...81M,13.1,2002ApJS..141...81M,12.97,2002ApJS..141...81M,,None,0.07,1996A&A...309..505Z,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,1996A&A...309..505Z
AV 18,AzV 18,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+18,Early B Supergiant,Gaia DR2 4688950933906863488,11.8009131,-73.10920338,2015.5,SMC,None,B2 Ia,1997A&A...317..871L,B,2,I,11.7,1977A&AS...30..261A,12.49,1977A&AS...30..261A,12.46,1977A&AS...30..261A,-0.17,1970A&A.....4..234F,0.2,Derived from (B-V)0,19000,2004A&A...417..217T,2.3,2004A&A...417..217T,5.44,2004A&A...417..217T,49,2004A&A...417..217T,28,2004A&A...417..217T,49,2004A&A...417..217T,325,2004ApJ...607..451E,2.30E-07,2004A&A...417..217T,FALSE,None
AV 22,AzV 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+22,Mid B Supergiant,Gaia DR2 4685948275085827328,11.91143027,-73.13024188,2015.5,SMC,None,B5 Ia,1997A&A...317..871L,B,5,I,11.53,1980A&AS...42....1A,12.19,1980A&AS...42....1A,12.2,1980A&AS...42....1A,-0.09,1970A&A.....4..234F,0.08,Derived from (B-V)0,14500,2004A&A...417..217T,1.9,2004A&A...417..217T,5.04,2004A&A...417..217T,53,2004A&A...417..217T,19,2004A&A...417..217T,46,2004A&A...417..217T,280,2004A&A...417..217T,2.30E-07,2004A&A...417..217T,FALSE,None
AV 39a,AzV 39a,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+39a,Mid WN Star,Gaia DR2 4685931438808874496,12.12852969,-73.26273594,2015.5,SMC,None,WN5ha,2003MNRAS.338..360F,WN,5,none,13.08,2002ApJS..141...81M,14.08,2002ApJS..141...81M,14.26,2002ApJS..141...81M,,None,0.1,2015A&A...581A..21H,47000,2015A&A...581A..21H,,None,5.57,2015A&A...581A..21H,9.1,2015A&A...581A..21H,43,2015A&A...581A..21H,,None,900,2015A&A...581A..21H,1.80E-06,2015A&A...581A..21H,FALSE,None
AV 43,AzV 43,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+43,Early B Dwarf,Gaia DR2 4688971141771555072,12.19958476,-72.77358644,2015.5,SMC,None,B0.5 III,2013ApJ...763..101L,B,0.2,V,12.8,2002ApJS..141...81M,13.76,2002ApJS..141...81M,13.88,2002ApJS..141...81M,-0.3,1970A&A.....4..234F,0.08,2021A&A...647A.134B,28500,2021A&A...647A.134B,3.37,2021A&A...647A.134B,5.13,2021A&A...647A.134B,15.1,"Derived from L,Teff",22.4,2021A&A...647A.134B,200,2021A&A...647A.134B,1200,2021A&A...647A.134B,2.20E-08,2021A&A...647A.134B,FALSE,None
AV 47,AzV 47,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+47,Late O Giant,Gaia DR2 4685925666371896576,12.2145433,-73.4329332,2015.5,SMC,None,O8 III((f)),2000PASP..112.1243W,O,8,III,12.26,2002ApJS..141...81M,13.26,2002ApJS..141...81M,13.44,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.05,2021A&A...647A.134B,35000,2021A&A...647A.134B,3.75,2021A&A...647A.134B,5.44,2021A&A...647A.134B,14.3,2021A&A...647A.134B,42.2,2021A&A...647A.134B,60,2021A&A...647A.134B,2000,2021A&A...647A.134B,2.10E-08,2021A&A...647A.134B,FALSE,None
