target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag,gaia_parallax,gaia_parallax_err,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,radial_velocity,radial_velocity_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag
WLM BPU A 11,[BPU2006] A 11,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BPU2006]+A+11,Late O Supergiant,Gaia DR3 2415883472953242880,0.499811616650550,-15.472105511184841,2016.0,WLM,None,O9.7 Ia,2008ApJ...684..118U,O,9.7,I,18.330635,18.239504,18.555702,0.204166,0.156663,17.23,2007AJ....133.2393M,18.27,2007AJ....133.2393M,18.38,2007AJ....133.2393M,-0.26,2006A&A...457..637M,0.15,Derived from (B-V)0,-135.0,2011ApJ...741L...8T,29000.0,2015MNRAS.449.1545B,3.25,2015MNRAS.449.1545B,5.69,2015MNRAS.449.1545B,28.0,"Derived from L,Teff",53.0,2015MNRAS.449.1545B,,None,1400.0,2015MNRAS.449.1545B,1.10e-08,2015MNRAS.449.1545B,False,None,True,,,,,
WLM BPU A 15,[BPU2006] A 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BPU2006]+A+15,Mid O Dwarf,Gaia DR3 2415883374167570688,0.502221832946291,-15.497892566333610,2016.0,WLM,None,O7 V((f)),2006ApJ...648.1007B,O,7,V,20.213810,20.114845,20.520899,-1.302391,0.670884,18.99,2007AJ....133.2393M,19.97,2007AJ....133.2393M,20.25,2007AJ....133.2393M,-0.27,2006A&A...457..637M,0.00,Derived from (B-V)0,-115.0,2006ApJ...648.1007B,37500.0,2021ApJ...922..191T,4.00,2021ApJ...922..191T,5.30,2021ApJ...922..191T,9.5,2021ApJ...922..191T,29.0,2021ApJ...922..191T,80.0,2021ApJ...922..191T,,None,,None,False,None,True,,,,,
2dFS 163,2dFS 163,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+163,Late O Supergiant,Gaia DR3 4688838203919272832,9.242667048667034,-73.392552072442015,2016.0,SMC,None,O8 Ib(f),2004MNRAS.353..601E,O,8.0,I,14.990089,14.905592,15.111668,-0.016112,0.024421,13.84,2002AJ....123..855Z,14.95,2002AJ....123..855Z,15.11,2002AJ....123..855Z,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,145.0,2008MNRAS.386..826E,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
AV 6,AzV 6,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+6,Late O Giant,Gaia DR3 4685852102139246976,11.325863900372660,-73.256387112521779,2016.0,SMC,None,O9 III,1997A&A...317..871L,O,9.0,III,13.760374,13.615991,13.781809,-0.046380,0.027302,12.45,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.31,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.31,Derived from (B-V)0,192.0,2008MNRAS.386..826E,,None,,None,,None,,None,,None,,None,,None,,None,True,2017MNRAS.472.2241Z,False,,,,,
AV 14,AzV 14,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14,Early O Dwarf,Gaia DR3 4688857372328703488,11.635977948468552,-73.101550982175112,2016.0,SMC,None,O5 V,2004ApJ...608.1001M,O,5.0,V,13.822063,13.675428,13.964358,-0.094482,0.043245,12.38,2002ApJS..141...81M,13.38,2002ApJS..141...81M,13.55,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,135.0,2023A&A...673A..40P,42800.0,2023A&A...673A..40P,4.00,2023A&A...673A..40P,5.41,2023A&A...673A..40P,9.3,2023A&A...673A..40P,32.0,2023A&A...673A..40P,90.0,2023A&A...673A..40P,1600.0,2023A&A...673A..40P,2.00e-08,2023A&A...673A..40P,True,2023A&A...673A..40P,False,,,,,
AV 15,AzV 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+15,Mid O Bright Giant,Gaia DR3 4685835403303046784,11.675670802649428,-73.415420325682604,2016.0,SMC,None,O6.5 II(f),2000PASP..112.1243W,O,6.5,II,13.120701,12.992791,13.262927,-0.029807,0.030394,11.90,2002ApJS..141...81M,12.93,2002ApJS..141...81M,13.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.10,2021A&A...647A.134B,151.0,2016ApJ...817..113L,39000.0,2021A&A...647A.134B,3.61,2021A&A...647A.134B,5.83,2021A&A...647A.134B,18.0,"Derived from L,Teff",47.2,2021A&A...647A.134B,120.0,2021A&A...647A.134B,2050.0,2021A&A...647A.134B,1.10e-06,2021A&A...647A.134B,False,None,False,,,,,
AV 16,AzV 16,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+16,Early B Dwarf,Gaia DR3 4685854571724688768,11.729301610182635,-73.142821738891143,2016.0,SMC,None,sgB0[e],1998A&A...340..117L,B,0.0,I,12.845348,12.967813,12.530721,-0.039346,0.014488,12.29,2002ApJS..141...81M,13.10,2002ApJS..141...81M,12.97,2002ApJS..141...81M,,None,0.07,1996A&A...309..505Z,147.0,1996A&A...309..505Z,,None,,None,,None,,None,,None,,None,,None,,None,True,1996A&A...309..505Z,False,,,,,
AV 18,AzV 18,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+18,Early B Supergiant,Gaia DR3 4688950933906863488,11.800913755285549,-73.109203563056425,2016.0,SMC,None,B2 Ia,1997A&A...317..871L,B,2.0,I,12.393767,12.398276,12.345975,0.009630,0.020790,11.70,1977A&AS...30..261A,12.49,1977A&AS...30..261A,12.46,1977A&AS...30..261A,-0.17,1970A&A.....4..234F,0.20,Derived from (B-V)0,148.0,2004A&A...417..217T,19000.0,2004A&A...417..217T,2.30,2004A&A...417..217T,5.44,2004A&A...417..217T,49.0,2004A&A...417..217T,28.0,2004A&A...417..217T,49.0,2004A&A...417..217T,325.0,2004ApJ...607..451E,2.30e-07,2004A&A...417..217T,False,None,False,,,,,
AV 22,AzV 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+22,Mid B Supergiant,Gaia DR3 4685948275085827328,11.911430857978619,-73.130242073664974,2016.0,SMC,None,B5 Ia,1997A&A...317..871L,B,5.0,I,12.165033,12.160010,12.139441,0.002775,0.022311,11.53,1980A&AS...42....1A,12.19,1980A&AS...42....1A,12.20,1980A&AS...42....1A,-0.09,1970A&A.....4..234F,0.08,Derived from (B-V)0,143.7,2018AJ....155..207N,14500.0,2004A&A...417..217T,1.90,2004A&A...417..217T,5.04,2004A&A...417..217T,53.0,2004A&A...417..217T,19.0,2004A&A...417..217T,46.0,2004A&A...417..217T,280.0,2004A&A...417..217T,2.30e-07,2004A&A...417..217T,False,None,False,,,,,
AV 26,AzV 26,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+26,Mid O Supergiant,Gaia DR3 4685947553531340800,11.958547730318070,-73.139187305468084,2016.0,SMC,None,O6 I(f),2004ApJ...608.1001M,O,6,I,12.415907,12.321815,12.575917,-0.027831,0.033606,11.29,2002ApJS..141...81M,12.29,2002ApJS..141...81M,12.46,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.10,Derived from (B-V)0,154.0,2013ApJ...768....6M,38000.0,2005ApJ...627..477M,3.52,2005ApJ...627..477M,6.14,2005ApJ...627..477M,27.5,2005ApJ...627..477M,81.0,2005ApJ...627..477M,150.0,2005ApJ...627..477M,2150.0,2005ApJ...627..477M,2.50e-06,2005ApJ...627..477M,False,None,True,,,,,
