target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
BI 237,BI-237,BI 237,,BI237,[M2002]_164942,,,,,,,,,,,,,,,,,,
VFTS 72,VFTS-72,VFTS 72,,BI 253,BI253,VFTS72,VFTS_72,[M2002]_168644,,,,,,,,,,,,,,,
SK -68 155,SK-68D155,SK -68 155,,SK-68155,SK-68 155,SK_-68155,,,,,,,,,,,,,,,,,
BI 184,BI-184,BI 184,,BI184,BI_184,,,,,,,,,,,,,,,,,,
SK -69 279,SK-69D279,SK -69 279,,SK-69279,SK-69 279,SK-69-279,SK_-69279,,,,,,,,,,,,,,,,
SK -68 26,SK-68D26,SK -68 26,,SK-6826,SK-68 26,SK-68-26,SK_-6826,,,,,,,,,,,,,,,,
SK -68 73,SK-68D73,SK -68 73,,SK-6873,SK-68 73,HD269445,,,,,,,,,,,,,,,,,
LMCE055-1,LMCE055-1,[MNM2015] LMCE055-1,LMCE055-1,,,,,,,,,,,,,,,,,,,,
SK -69 104,SK-69D104,SK -69 104,,SK-69104,SK-69 104,SK_-69104,,,,,,,,,,,,,,,,,
BI 173,BI-173,BI 173,,BI173,[M2002]_137610,,,,,,,,,,,,,,,,,,
SK -68 52,SK-68D52,SK -68 52,,SK-6852,SK-68 52,SK_-6852,,,,,,,,,,,,,,,,,
SK -70 79,SK-70D79,SK -70 79,,SK-7079,SK-70 79,SK-70-79,[M2002]_69992,,,,,,,,,,,,,,,,
SK -69 50,SK-69D50,SK -69 50,,SK-6950,SK-69 50,[M2002]_33053,,,,,,,,,,,,,,,,,
SK -69 212,SK-69D212,SK -69 212,SK-69D212,SK-69212,SK-69 212,ST2-53,SK -69 212|SK_-69212,SK_-69212,,,,,,,,,,,,,,,
SK -67 101,SK-67D101,SK -67 101,,SK-67101,SK-67 101,SK-67.101,SK-67-101,[M2002]_134666,,,,,,,,,,,,,,,
SK -67 106,SK-67D106,SK -67 106,,SK-67106,SK-67 106,SK-67.106,SK-67-106,SK-67_106,,,,,,,,,,,,,,,
SK -67 107,SK-67D107,SK -67 107,,SK-67107,SK-67 107,SK-67.107,SK-67_107,,,,,,,,,,,,,,,,
SK -67 111,SK-67D111,SK -67 111,,SK-67111,SK-67 111,SK-67.111,SK_-67111,SK-67D111-BKGD,,,,,,,,,,,,,,,
SK -68 135,SK-68D135,SK -68 135,,SK-68135,SK-68 135,SK_-68135,,,,,,,,,,,,,,,,,
