radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
83.653278,0.466,-0.951949,0.756,NA,NA,0,NA,NA,0,NA,NA,0,17.955,0.096,4,17.017,0.152,4,NA,NA,0,NA,NA,0,NA,NA,0
83.65358,0.361,-0.942599,0.97,NA,NA,0,NA,NA,0,NA,NA,0,18.121,0.107,3,16.934,0.023,3,NA,NA,0,NA,NA,0,NA,NA,0
83.654855,0.487,-0.994307,0.696,15.918,0.121,8,16.669,0.204,8,NA,NA,0,16.286,0.075,9,15.614,0.123,9,15.412,0.099,7,NA,NA,0,NA,NA,0
83.656403,0.583,-0.919477,0.428,17.148,0.064,4,17.912,0.084,4,NA,NA,0,17.59,0.126,5,16.909,0.075,5,16.185,0.021,2,NA,NA,0,NA,NA,0
83.658319,0.549,-0.971868,0.676,16.754,0.058,6,17.593,0.109,6,NA,NA,0,17.283,0.092,7,16.353,0.136,7,16.064,0.04,5,NA,NA,0,NA,NA,0
83.658531,0.096,-1.02079,0.118,NA,NA,0,NA,NA,0,NA,NA,0,17.907,0.164,1,16.989,0.154,1,NA,NA,0,NA,NA,0,NA,NA,0
83.665165,0.286,-0.970593,0.228,14.165,0.094,9,15.309,0.112,9,NA,NA,0,14.724,0.116,9,13.774,0.116,9,13.393,0.075,9,13.162,0.084,3,NA,NA,0
83.667643,0.526,-1.046954,0.729,16.42,0.175,6,17.733,0.129,6,NA,NA,0,17.176,0.111,7,15.879,0.135,7,15.345,0.176,7,NA,NA,0,NA,NA,0
83.667895,0.203,-1.019105,0.278,15.035,0.112,9,15.77,0.115,9,NA,NA,0,15.412,0.155,9,14.837,0.116,9,14.659,0.096,9,NA,NA,0,NA,NA,0
83.673003,0.55,-1.04805,0.771,16.823,0.012,2,18.369,0.071,2,NA,NA,0,17.545,0.139,8,16.359,0.159,8,15.861,0.113,7,NA,NA,0,NA,NA,0
83.673213,0.68,-0.946882,0.63,17.257,0.14,6,17.962,0.251,6,NA,NA,0,17.56,0.116,7,16.733,0.131,7,NA,NA,0,NA,NA,0,NA,NA,0
83.677775,0.401,-0.901037,0.645,15.75,0.124,8,16.589,0.084,8,NA,NA,0,16.188,0.096,9,15.534,0.101,9,15.255,0.105,9,NA,NA,0,NA,NA,0
83.678356,0.958,-0.930987,0.85,17.226,0.195,1,17.87,0.231,1,NA,NA,0,17.738,0.117,2,16.966,0.268,2,NA,NA,0,NA,NA,0,NA,NA,0
83.679736,1.049,-1.020952,0.613,NA,NA,0,NA,NA,0,NA,NA,0,18.504,0.196,3,17.273,0.249,3,NA,NA,0,NA,NA,0,NA,NA,0
83.67976,0.516,-0.979242,0.696,16.057,0.101,7,17.156,0.14,7,NA,NA,0,16.639,0.104,4,15.712,0.175,4,15.521,0.163,3,NA,NA,0,NA,NA,0
83.680307,1.098,-1.055153,1.468,16.202,0.219,6,16.815,0.102,6,NA,NA,0,16.635,0.106,4,15.957,0.035,3,15.739,0.211,4,NA,NA,0,NA,NA,0
83.681386,0.625,-1.057724,0.342,16.616,0.136,3,17.429,0.1,3,NA,NA,0,17.23,0.038,3,16.358,0.174,3,16.047,0.261,2,NA,NA,0,NA,NA,0
83.681673,0.122,-1.003465,0.165,10.444,0.086,12,10.749,0.074,12,NA,NA,0,10.64,0.096,8,10.436,0.082,8,10.51,0.066,8,10.54,0.026,3,NA,NA,0
83.681721,0.728,-0.87889,0.596,16.999,0.186,6,17.999,0.086,6,NA,NA,0,17.386,0.101,7,16.653,0.16,7,16.364,0.116,4,NA,NA,0,NA,NA,0
83.682733,0.478,-0.903603,0.812,16.123,0.108,8,16.76,0.083,8,NA,NA,0,16.437,0.09,8,15.973,0.137,8,15.776,0.103,6,NA,NA,0,NA,NA,0
83.682897,0.297,-1.012527,0.42,14.966,0.102,8,15.7,0.084,8,NA,NA,0,15.309,0.151,8,14.718,0.097,8,14.533,0.112,8,NA,NA,0,NA,NA,0
83.685897,0.558,-0.851829,0.664,16.53,0.078,7,17.268,0.085,7,NA,NA,0,16.932,0.079,7,16.301,0.131,7,16.113,0.103,7,NA,NA,0,NA,NA,0
83.6893,0.598,-0.861641,0.756,16.371,0.11,7,17.189,0.117,7,NA,NA,0,16.795,0.106,9,16.083,0.087,9,15.939,0.232,8,NA,NA,0,NA,NA,0
83.691031,0.124,-0.974658,0.717,11.098,0.094,9,11.598,0.105,9,NA,NA,0,11.326,0.136,9,10.96,0.108,10,10.918,0.071,11,10.911,0.038,3,NA,NA,0
83.692965,0.353,-0.879937,0.38,14.848,0.073,9,15.713,0.054,9,NA,NA,0,15.245,0.098,9,14.578,0.118,9,14.309,0.096,9,NA,NA,0,NA,NA,0
83.692975,0.486,-0.830223,0.644,15.953,0.046,7,16.788,0.057,7,NA,NA,0,16.334,0.085,9,15.665,0.113,9,15.386,0.058,8,NA,NA,0,NA,NA,0
83.693427,0.128,-1.04281,0.121,11.937,0.086,9,12.659,0.122,9,NA,NA,0,12.296,0.15,9,11.718,0.114,9,11.534,0.08,9,11.461,0.081,3,NA,NA,0
83.693796,0.746,-1.079886,0.785,17.145,0.104,3,17.902,0.144,3,NA,NA,0,17.585,0.092,5,16.976,0.06,5,16.53,0.275,1,NA,NA,0,NA,NA,0
83.69504,0.333,-1.115584,0.278,13.843,0.102,9,15.751,0.195,9,NA,NA,0,14.822,0.145,9,13.137,0.137,9,12.333,0.101,8,11.869,0.008,3,NA,NA,0
83.695276,0.308,-0.93462,0.422,NA,NA,0,NA,NA,0,NA,NA,0,17.312,0.147,1,16.285,0.162,1,NA,NA,0,NA,NA,0,NA,NA,0
83.695475,0.307,-0.918879,0.36,14.668,0.087,9,15.769,0.072,9,NA,NA,0,15.212,0.106,9,14.302,0.118,9,13.984,0.076,9,13.683,0.12,2,NA,NA,0
83.697599,0.33,-0.817332,0.345,14.497,0.071,9,15.247,0.076,9,NA,NA,0,14.838,0.121,9,14.288,0.088,9,14.123,0.053,9,NA,NA,0,NA,NA,0
83.698146,0.842,-1.019062,1.003,NA,NA,0,NA,NA,0,NA,NA,0,17.897,0.091,3,17.251,0.052,3,NA,NA,0,NA,NA,0,NA,NA,0
83.700518,0.308,-1.083765,0.413,14.992,0.105,9,15.668,0.115,9,NA,NA,0,15.335,0.15,9,14.763,0.106,9,14.577,0.06,9,NA,NA,0,NA,NA,0
83.700791,0.48,-0.953501,0.461,7.054,0.056,2,8.041,0.016,2,NA,NA,0,7.67,0.095,2,6.888,0.001,1,6.266,0.008,2,6.005,0.001,1,NA,NA,0
83.702902,0.125,-1.040964,0.102,10.277,0.095,11,10.706,0.081,11,NA,NA,0,10.556,0.102,8,10.196,0.083,8,10.207,0.07,8,10.249,0.033,3,NA,NA,0
83.703947,0.646,-0.899014,0.562,NA,NA,0,NA,NA,0,NA,NA,0,17.808,0.271,2,17.471,0.015,2,NA,NA,0,NA,NA,0,NA,NA,0
83.704417,0.361,-1.120869,0.335,14.93,0.101,9,15.69,0.115,9,NA,NA,0,15.291,0.145,9,14.683,0.116,9,14.496,0.063,9,NA,NA,0,NA,NA,0
83.706012,0.636,-1.014061,0.569,17.519,0.219,1,18.133,0.27,1,NA,NA,0,18.041,0.159,1,17.301,0.182,1,NA,NA,0,NA,NA,0,NA,NA,0
83.707242,0.117,-1.107546,0.112,11.64,0.104,9,12.321,0.116,9,NA,NA,0,11.983,0.151,9,11.454,0.124,9,11.288,0.09,9,11.245,0.014,3,NA,NA,0
83.710148,0.763,-1.024217,0.516,15.854,0.088,7,17.077,0.193,7,NA,NA,0,16.476,0.202,9,15.328,0.091,9,14.819,0.136,9,NA,NA,0,NA,NA,0
83.710337,0.123,-0.923189,0.046,NA,NA,0,NA,NA,0,NA,NA,0,18.452,0.272,1,17.379,0.255,1,NA,NA,0,NA,NA,0,NA,NA,0
83.71128,0.485,-0.889623,0.835,16.169,0.08,7,16.963,0.056,7,NA,NA,0,16.579,0.154,9,15.933,0.114,9,15.69,0.187,9,NA,NA,0,NA,NA,0
83.711377,0.493,-0.912991,0.791,16.621,0.138,7,17.514,0.149,7,NA,NA,0,17.1,0.124,7,16.16,0.073,7,15.866,0.13,7,NA,NA,0,NA,NA,0
83.711907,0.48,-0.831875,0.26,NA,NA,0,NA,NA,0,NA,NA,0,17.719,0.099,4,16.584,0.095,4,15.718,0.102,4,NA,NA,0,NA,NA,0
83.712539,0.292,-0.836278,0.561,15.098,0.138,9,16,0.095,9,NA,NA,0,15.52,0.076,9,14.84,0.115,9,14.601,0.09,9,NA,NA,0,NA,NA,0
83.713564,0.379,-0.868164,0.255,14.151,0.08,9,14.879,0.076,9,NA,NA,0,14.495,0.107,9,13.937,0.112,9,13.765,0.064,9,13.778,0.033,3,NA,NA,0
83.715519,0.507,-0.832731,0.923,16.2,0.049,7,16.94,0.092,7,NA,NA,0,16.512,0.08,7,16.024,0.093,7,15.707,0.123,6,NA,NA,0,NA,NA,0
