;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
coj0m405-kb56-20200829-0135-e91.fits.fz  59090.763162836  59090.763513368  5450  2.2249e-15  1.4386e-16
coj0m403-kb28-20200830-0194-e91.fits.fz  59091.760344769  59091.760695209  5450  1.8076e-15  1.2412e-16
coj0m403-kb28-20200902-0149-e91.fits.fz  59094.754598184  59094.754948589  5450  1.1447e-15  1.8050e-16
coj0m405-kb56-20200917-0130-e91.fits.fz  59109.714081563  59109.714432095  5450  2.2622e-15  1.3638e-16
coj0m405-kb56-20200922-0175-e91.fits.fz  59114.696542385  59114.696892917  5450  1.2849e-15  1.1077e-16
cpt0m407-kb84-20200924-0109-e91.fits.fz  59117.048711274  59117.049061783  5450  2.2655e-15  1.4661e-16
cpt0m407-kb84-20200929-0196-e91.fits.fz  59122.035042917  59122.035393450  5450  1.6830e-15  1.3331e-16
tfn0m414-kb81-20200930-0172-e91.fits.fz  59123.131120012  59123.131470602  5450  1.6606e-15  2.3667e-16
coj0m405-kb56-20201001-0192-e91.fits.fz  59123.671774063  59123.672124573  5450  1.5855e-15  1.4338e-16
lsc0m412-kb26-20201117-0142-e91.fits.fz  59171.216146320  59171.216496876  5450  1.6309e-15  2.2885e-16
lsc0m412-kb26-20201118-0199-e91.fits.fz  59172.216141968  59172.216492477  5450  2.2894e-15  1.9619e-16
lsc0m412-kb26-20201119-0119-e91.fits.fz  59173.216215244  59173.216565753  5450  2.5603e-15  1.9364e-16
lsc0m412-kb26-20201120-0293-e91.fits.fz  59174.216158531  59174.216509052  5450  2.7236e-15  1.9836e-16
lsc0m409-kb29-20201121-0128-e91.fits.fz  59175.216142917  59175.216493426  5450  2.2755e-15  1.2371e-16
lsc0m412-kb26-20201123-0167-e91.fits.fz  59177.216131320  59177.216481795  5450  1.0631e-15  1.8166e-16
lsc0m412-kb26-20201126-0113-e91.fits.fz  59180.216187454  59180.216537964  5450  2.2477e-15  2.2649e-16
elp0m411-kb92-20201127-0135-e91.fits.fz  59181.266901737  59181.267252246  5450  1.7846e-15  2.0878e-16
ogg0m406-kb27-20201127-0100-e91.fits.fz  59181.487898936  59181.488245556  5450  1.9111e-15  9.7220e-17
cpt0m407-kb84-20201128-0114-e91.fits.fz  59181.855702443  59181.856052952  5450  2.1254e-15  3.1631e-16
tfn0m414-kb81-20201128-0105-e91.fits.fz  59181.951817292  59181.952167848  5450  1.7361e-15  2.2073e-16
lsc0m409-kb29-20201128-0096-e91.fits.fz  59182.121149121  59182.121499619  5450  1.6427e-15  1.9426e-16
lsc0m409-kb29-20201128-0098-e91.fits.fz  59182.126514167  59182.126864780  5450  1.6125e-15  1.9181e-16
lsc0m409-kb29-20201128-0100-e91.fits.fz  59182.127538033  59182.127888484  5450  1.8572e-15  1.8650e-16
lsc0m409-kb29-20201128-0102-e91.fits.fz  59182.136929723  59182.137280267  5450  1.9472e-15  1.7883e-16
lsc0m409-kb29-20201128-0104-e91.fits.fz  59182.147345787  59182.147696308  5450  1.8211e-15  1.7777e-16
lsc0m412-kb26-20201128-0098-e91.fits.fz  59182.157812072  59182.158162616  5450  2.0178e-15  2.8492e-16
lsc0m409-kb29-20201128-0115-e91.fits.fz  59182.173073450  59182.173424028  5450  1.5501e-15  1.7364e-16
lsc0m409-kb29-20201128-0117-e91.fits.fz  59182.178591794  59182.178942269  5450  1.5310e-15  1.7049e-16
lsc0m409-kb29-20201128-0128-e91.fits.fz  59182.194598611  59182.194949074  5450  1.8119e-15  1.6462e-16
lsc0m409-kb29-20201128-0130-e91.fits.fz  59182.199431667  59182.199782165  5450  2.0364e-15  1.7599e-16
lsc0m409-kb29-20201128-0132-e91.fits.fz  59182.209840892  59182.210191401  5450  1.7666e-15  1.6939e-16
lsc0m412-kb26-20201128-0131-e91.fits.fz  59182.257108646  59182.257460591  5450  1.2870e-15  2.0742e-16
cpt0m407-kb84-20201129-0120-e91.fits.fz  59182.850859457  59182.851209954  5450  2.1841e-15  1.8570e-16
cpt0m407-kb84-20201129-0122-e91.fits.fz  59182.857064109  59182.857414607  5450  1.8446e-15  1.7305e-16
cpt0m407-kb84-20201129-0128-e91.fits.fz  59182.867495024  59182.867845544  5450  1.9662e-15  1.7296e-16
cpt0m407-kb84-20201129-0134-e91.fits.fz  59182.877918797  59182.878269294  5450  2.2154e-15  1.8231e-16
cpt0m407-kb84-20201130-0123-e91.fits.fz  59183.865105290  59183.865455811  5450  1.9714e-15  1.9131e-16
lsc0m412-kb26-20201130-0153-e91.fits.fz  59184.198169711  59184.198520220  5450  1.5923e-15  2.8718e-16
lsc0m412-kb26-20201201-0117-e91.fits.fz  59185.113012049  59185.113362547  5450  1.6983e-15  2.7208e-16
cpt0m407-kb84-20201202-0129-e91.fits.fz  59185.859636806  59185.859987304  5450  8.7281e-16  1.3275e-16
cpt0m407-kb84-20201203-0230-e91.fits.fz  59187.041840614  59187.042191123  5450  2.2027e-15  1.2231e-16
cpt0m407-kb84-20201205-0155-e91.fits.fz  59188.944589237  59188.944939746  5450  7.8422e-16  1.4752e-16
tfn0m410-kb98-20201206-0122-e91.fits.fz  59190.073867362  59190.074217824  5450  2.1922e-15  2.8394e-16
cpt0m407-kb84-20201207-0137-e91.fits.fz  59190.885518114  59190.885868612  5450  1.5816e-15  1.1280e-16
cpt0m407-kb84-20201208-0136-e91.fits.fz  59191.885614017  59191.885964491  5450  1.1547e-15  1.1991e-16
lsc0m409-kb29-20201209-0108-e91.fits.fz  59193.093960880  59193.094311332  5450  1.3507e-15  1.1838e-16
cpt0m407-kb84-20201210-0172-e91.fits.fz  59193.931575880  59193.931926390  5450  2.0936e-15  1.4636e-16
lsc0m412-kb26-20210222-0061-e91.fits.fz  59268.020693808  59268.021044318  5450  1.6649e-15  2.8543e-16
lsc0m412-kb26-20210223-0058-e91.fits.fz  59269.011360556  59269.011711019  5450  2.7212e-15  2.5760e-16
lsc0m412-kb26-20210224-0057-e91.fits.fz  59270.010569491  59270.010920001  5450  2.5221e-15  2.9412e-16
lsc0m412-kb26-20210227-0075-e91.fits.fz  59273.024456262  59273.024806783  5450  1.7039e-15  2.7782e-16
lsc0m409-kb29-20210228-0077-e91.fits.fz  59274.019246633  59274.019597084  5450  1.2780e-15  1.4337e-16
lsc0m412-kb26-20210301-0072-e91.fits.fz  59275.018294272  59275.018644781  5450  1.7164e-15  3.1278e-16
