;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
coj0m403-kb24-20210521-0080-e91.fits.fz  59355.363270058  59355.363504190  5450  8.3986e-16  1.2093e-16
coj0m403-kb24-20210522-0067-e91.fits.fz  59356.343918102  59356.344152292  5450  6.7170e-16  1.3314e-16
coj0m405-kb88-20210530-0073-e91.fits.fz  59364.345230834  59364.345465660  5450  9.9926e-16  1.7427e-16
coj0m405-kb88-20210531-0066-e91.fits.fz  59365.340414422  59365.340649144  5450  7.7010e-16  1.5322e-16
lsc0m409-kb29-20210603-0076-e91.fits.fz  59368.963298855  59368.963533647  5450  1.2294e-15  2.2990e-16
coj0m405-kb88-20210607-0072-e91.fits.fz  59372.340349862  59372.340584561  5450  8.1629e-16  1.5207e-16
coj0m405-kb88-20210307-0098-e91.fits.fz  59280.458820324  59280.458939329  7670  3.1607e-15  5.5603e-16
lsc0m409-kb29-20210310-0115-e91.fits.fz  59284.061358878  59284.061477917  7670  3.1600e-15  3.0726e-16
coj0m403-kb24-20210312-0079-e91.fits.fz  59285.475788589  59285.475906991  7670  3.2517e-15  2.3640e-16
lsc0m409-kb29-20210314-0117-e91.fits.fz  59288.052711366  59288.052830417  7670  3.3735e-15  4.3374e-16
coj0m403-kb24-20210315-0118-e91.fits.fz  59288.432378693  59288.432497176  7670  2.0451e-15  3.1883e-16
coj0m403-kb24-20210316-0099-e91.fits.fz  59289.420156494  59289.420274966  7670  4.5086e-15  5.3701e-16
coj0m403-kb24-20210521-0081-e91.fits.fz  59355.363725510  59355.363843924  7670  3.5687e-15  1.8216e-16
coj0m403-kb24-20210522-0068-e91.fits.fz  59356.344372223  59356.344490718  7670  3.3753e-15  1.9310e-16
lsc0m409-kb29-20210524-0076-e91.fits.fz  59358.969367767  59358.969486725  7670  2.2782e-15  2.9559e-16
lsc0m409-kb29-20210525-0063-e91.fits.fz  59359.958534202  59359.958653241  7670  2.9964e-15  3.5056e-16
lsc0m409-kb29-20210526-0061-e91.fits.fz  59360.953000128  59360.953119781  7670  3.4608e-15  3.4032e-16
coj0m403-kb24-20210528-0123-e91.fits.fz  59362.377080811  59362.377199271  7670  2.9769e-15  2.7429e-16
lsc0m409-kb29-20210528-0068-e91.fits.fz  59362.955506690  59362.955625730  7670  3.3441e-15  3.2408e-16
lsc0m409-kb29-20210529-0126-e91.fits.fz  59364.068777327  59364.068896355  7670  3.5005e-15  3.0694e-16
coj0m405-kb88-20210530-0074-e91.fits.fz  59364.345689272  59364.345808241  7670  3.3997e-15  2.4536e-16
lsc0m409-kb29-20210530-0066-e91.fits.fz  59364.958193612  59364.958312697  7670  3.1052e-15  3.2285e-16
lsc0m409-kb29-20210530-0118-e91.fits.fz  59365.090273403  59365.090392489  7670  2.6512e-15  3.1153e-16
lsc0m409-kb29-20210530-0130-e91.fits.fz  59365.101376412  59365.101495429  7670  2.5803e-15  3.1246e-16
lsc0m409-kb29-20210530-0136-e91.fits.fz  59365.111565174  59365.111684202  7670  2.8816e-15  3.1485e-16
lsc0m409-kb29-20210530-0142-e91.fits.fz  59365.118749352  59365.118868415  7670  2.7995e-15  3.0544e-16
lsc0m409-kb29-20210530-0148-e91.fits.fz  59365.131587883  59365.131706899  7670  2.0267e-15  3.0521e-16
lsc0m409-kb29-20210530-0154-e91.fits.fz  59365.138398056  59365.138517142  7670  2.9671e-15  3.0880e-16
lsc0m409-kb29-20210530-0160-e91.fits.fz  59365.148616413  59365.148735556  7670  2.8823e-15  3.0745e-16
coj0m405-kb88-20210531-0067-e91.fits.fz  59365.340873345  59365.340992431  7670  3.0028e-15  2.1301e-16
coj0m405-kb88-20210531-0135-e91.fits.fz  59365.483244607  59365.483363600  7670  2.8102e-15  2.2439e-16
lsc0m409-kb29-20210531-0060-e91.fits.fz  59365.951980302  59365.952099364  7670  3.8197e-15  3.1604e-16
lsc0m409-kb29-20210531-0095-e91.fits.fz  59366.038823392  59366.038942431  7670  3.0155e-15  3.2982e-16
lsc0m409-kb29-20210601-0047-e91.fits.fz  59366.951490035  59366.951609086  7670  2.9410e-15  3.3633e-16
lsc0m409-kb29-20210602-0058-e91.fits.fz  59367.949414873  59367.949533901  7670  2.3359e-15  3.2876e-16
lsc0m409-kb29-20210603-0077-e91.fits.fz  59368.963739665  59368.963858774  7670  2.4019e-15  3.3752e-16
lsc0m409-kb29-20210604-0153-e91.fits.fz  59370.081842199  59370.081961216  7670  4.1070e-15  7.8499e-16
coj0m405-kb88-20210606-0080-e91.fits.fz  59371.353277524  59371.353396574  7670  3.5678e-15  2.5222e-16
coj0m405-kb88-20210607-0073-e91.fits.fz  59372.340808172  59372.340927176  7670  3.8545e-15  2.1737e-16
lsc0m409-kb29-20210607-0062-e91.fits.fz  59372.955086748  59372.955205799  7670  3.6778e-15  3.1069e-16
lsc0m409-kb29-20210721-0058-e91.fits.fz  59416.958494491  59416.958613612  7670  2.1183e-15  3.5444e-16
lsc0m409-kb29-20210722-0062-e91.fits.fz  59417.962988021  59417.963107014  7670  3.5667e-15  3.6855e-16
lsc0m409-kb29-20210723-0081-e91.fits.fz  59418.985470197  59418.985589190  7670  3.0840e-15  3.2851e-16
lsc0m409-kb29-20210724-0058-e91.fits.fz  59419.959499526  59419.959618542  7670  3.0003e-15  3.4588e-16
lsc0m409-kb29-20210725-0068-e91.fits.fz  59420.962266274  59420.962385244  7670  3.3930e-15  3.6918e-16
lsc0m409-kb29-20210727-0058-e91.fits.fz  59422.960527223  59422.960646274  7670  3.8597e-15  5.8855e-16
lsc0m409-kb29-20210728-0066-e91.fits.fz  59423.969246065  59423.969365081  7670  3.2772e-15  3.1579e-16
lsc0m409-kb29-20210729-0073-e91.fits.fz  59424.969343125  59424.969462153  7670  3.0775e-15  3.2163e-16
