;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
coj0m405-kb88-20210307-0160-e91.fits.fz  59280.615965938  59280.616316413  5450  5.4874e-15  3.4554e-16
lsc0m412-kb26-20210307-0321-e91.fits.fz  59281.227607350  59281.227957905  5450  4.7554e-15  2.5872e-16
cpt0m407-kb84-20210308-0630-e91.fits.fz  59281.966310544  59281.966661054  5450  5.4958e-15  2.6881e-16
lsc0m409-kb29-20210308-0173-e91.fits.fz  59282.225279121  59282.225629607  5450  5.0481e-15  3.8141e-16
coj0m405-kb88-20210309-0318-e91.fits.fz  59282.610512987  59282.610863542  5450  5.2826e-15  5.9216e-16
lsc0m409-kb29-20210310-0262-e91.fits.fz  59284.221289422  59284.221639908  5450  3.4396e-15  4.8694e-16
cpt0m407-kb84-20210311-0220-e91.fits.fz  59284.968127304  59284.968477813  5450  5.0857e-15  1.8838e-16
coj0m403-kb24-20210312-0196-e91.fits.fz  59285.603682061  59285.604031957  5450  5.0071e-15  1.3884e-16
cpt0m407-kb84-20210312-0140-e91.fits.fz  59285.955397408  59285.955747952  5450  4.9148e-15  1.7267e-16
lsc0m409-kb29-20210312-0146-e91.fits.fz  59286.213934943  59286.214285533  5450  5.5283e-15  1.8157e-16
lsc0m412-kb26-20210313-0180-e91.fits.fz  59287.212342802  59287.212693311  5450  4.6897e-15  2.7046e-16
lsc0m409-kb29-20210314-0168-e91.fits.fz  59288.208429352  59288.208779954  5450  5.4182e-15  1.8755e-16
coj0m403-kb24-20210315-0231-e91.fits.fz  59288.770284503  59288.770634399  5450  4.8974e-15  1.3901e-16
lsc0m409-kb29-20210316-0149-e91.fits.fz  59290.204277512  59290.204628045  5450  4.3970e-15  1.6806e-16
lsc0m409-kb29-20210607-0097-e91.fits.fz  59373.047066401  59373.047301112  5450  3.9434e-15  2.4438e-16
lsc0m409-kb29-20210608-0088-e91.fits.fz  59374.030550325  59374.030785105  5450  4.0820e-15  2.8072e-16
coj0m403-kb24-20210613-0080-e91.fits.fz  59378.456501528  59378.456735672  5450  3.4363e-15  2.5821e-16
coj0m405-kb88-20210615-0093-e91.fits.fz  59380.432368774  59380.432603623  5450  3.9717e-15  2.0620e-16
lsc0m412-kb26-20210616-0147-e91.fits.fz  59382.206953288  59382.207188056  5450  3.5269e-15  4.0165e-16
lsc0m409-kb29-20210618-0064-e91.fits.fz  59383.949436100  59383.949670857  5450  3.0518e-15  2.9444e-16
coj0m403-kb24-20210619-0039-e91.fits.fz  59384.373637940  59384.373872130  5450  3.6495e-15  1.8215e-16
lsc0m412-kb26-20210619-0160-e91.fits.fz  59385.128313218  59385.128547987  5450  3.5517e-15  3.6774e-16
lsc0m412-kb26-20210620-0157-e91.fits.fz  59386.279442824  59386.279677593  5450  4.1883e-15  3.6609e-16
coj0m403-kb24-20210621-0065-e91.fits.fz  59386.407699561  59386.407933739  5450  4.7892e-15  1.5370e-16
lsc0m412-kb26-20210621-0156-e91.fits.fz  59387.284861019  59387.285095787  5450  9.5323e-15  5.2673e-16
lsc0m409-kb29-20210623-0038-e91.fits.fz  59389.243022338  59389.243257095  5450  4.0743e-15  5.1180e-16
coj0m403-kb24-20210628-0113-e91.fits.fz  59393.439783137  59393.440017316  5450  3.6300e-15  3.6552e-16
lsc0m412-kb26-20210716-0066-e91.fits.fz  59411.958499144  59411.958733890  5450  4.6662e-15  4.4855e-16
lsc0m409-kb29-20210717-0064-e91.fits.fz  59412.956673322  59412.956908056  5450  4.5252e-15  2.7192e-16
lsc0m409-kb29-20210718-0066-e91.fits.fz  59413.959077894  59413.959312605  5450  3.4874e-15  3.0378e-16
lsc0m412-kb26-20210719-0066-e91.fits.fz  59414.959328959  59414.959563762  5450  2.2624e-15  4.3294e-16
lsc0m409-kb29-20210720-0061-e91.fits.fz  59415.961950302  59415.962185116  5450  4.2312e-15  3.6197e-16
lsc0m412-kb26-20210721-0059-e91.fits.fz  59416.960778982  59416.961013774  5450  4.0633e-15  5.5232e-16
lsc0m409-kb29-20210722-0074-e91.fits.fz  59417.995465070  59417.995699827  5450  4.5521e-15  3.1763e-16
lsc0m409-kb29-20210723-0076-e91.fits.fz  59418.979412315  59418.979647119  5450  3.9921e-15  2.7931e-16
lsc0m409-kb29-20210724-0059-e91.fits.fz  59419.962048241  59419.962283091  5450  3.9077e-15  2.5588e-16
lsc0m409-kb29-20210724-0126-e91.fits.fz  59420.071747142  59420.071981841  5450  3.7273e-15  2.5634e-16
lsc0m409-kb29-20210725-0071-e91.fits.fz  59420.965783473  59420.966018206  5450  2.9251e-15  2.6878e-16
coj0m405-kb88-20210726-0048-e91.fits.fz  59421.397240973  59421.397475730  5450  3.7152e-15  1.6285e-16
lsc0m409-kb29-20210726-0120-e91.fits.fz  59422.146339723  59422.146576019  5450  3.4638e-15  2.4899e-16
lsc0m409-kb29-20210727-0113-e91.fits.fz  59423.146048681  59423.146283392  5450  4.2713e-15  2.8744e-16
lsc0m409-kb29-20210728-0186-e91.fits.fz  59424.146102026  59424.146336818  5450  4.6055e-15  2.8485e-16
lsc0m409-kb29-20210729-0129-e91.fits.fz  59425.148103716  59425.148338519  5450  4.7448e-15  2.5730e-16
coj0m405-kb88-20210731-0081-e91.fits.fz  59426.365285834  59426.365520521  5450  3.9730e-15  2.3719e-16
lsc0m409-kb29-20210802-0061-e91.fits.fz  59428.967394086  59428.967628820  5450  3.9300e-15  2.2971e-16
lsc0m412-kb26-20210802-0141-e91.fits.fz  59429.146093345  59429.146328114  5450  4.3900e-15  3.8639e-16
lsc0m412-kb26-20210803-0151-e91.fits.fz  59430.146076968  59430.146311736  5450  3.0979e-15  4.9369e-16
lsc0m409-kb29-20210816-0079-e91.fits.fz  59443.080571691  59443.080806471  5450  4.7213e-15  3.0779e-16
lsc0m409-kb29-20210817-0068-e91.fits.fz  59444.062687906  59444.062922697  5450  3.2600e-15  3.4737e-16
coj0m403-kb24-20210819-0064-e91.fits.fz  59445.356593820  59445.356827986  5450  3.5525e-15  1.2711e-16
lsc0m412-kb26-20210820-0084-e91.fits.fz  59447.062706575  59447.062941332  5450  4.0273e-15  3.9660e-16
lsc0m409-kb29-20210821-0119-e91.fits.fz  59448.082975926  59448.083210776  5450  4.2594e-15  2.9099e-16
lsc0m409-kb29-20210822-0073-e91.fits.fz  59448.977437350  59448.977672037  5450  3.8812e-15  3.1293e-16
lsc0m409-kb29-20210823-0078-e91.fits.fz  59449.983349885  59449.983584607  5450  4.2177e-15  2.6444e-16
lsc0m412-kb26-20210826-0066-e91.fits.fz  59452.978282246  59452.978516980  5450  3.3137e-15  4.4225e-16
coj0m403-kb24-20210827-0071-e91.fits.fz  59453.369070892  59453.369305070  5450  3.7748e-15  1.2125e-16
lsc0m409-kb29-20210827-0086-e91.fits.fz  59454.009291089  59454.009525799  5450  4.3694e-15  6.3393e-16
coj0m405-kb88-20210828-0078-e91.fits.fz  59454.396028137  59454.396262894  5450  4.1282e-15  1.5236e-16
lsc0m409-kb29-20210829-0084-e91.fits.fz  59455.988573704  59455.988808461  5450  3.9467e-15  2.2379e-16
lsc0m409-kb29-20210830-0070-e91.fits.fz  59456.977322720  59456.977557512  5450  3.9602e-15  2.6342e-16
coj0m403-kb24-20210901-0086-e91.fits.fz  59458.398743253  59458.398977396  5450  3.3470e-15  1.3559e-16
