target_name_std,target_id,target_classification,gaia_dr2_id,d_gaia_dr2,d_err_gai_dr2,gaia_parallax,gaia_parallax_err,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,source_catalog,simbad_link,spectral_class,spectral_class_ref,temp_class,temp_class_ref,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,extinction_ebmv,extinction_ebmv_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,age,age_ref,rate_accretion,rate_accretion_ref,metallicity,metallicity_ref,multiplicity,multiplicity_ref,is_variable,is_monitor_targ,extended
SY Cha,?,T Tauri star,5201388292344009984,183.09,0.65,5.46,0.019,164.12662,-77.19428,,Milky Way,Cha I,2017A&A...604A.127M,,K7,2017A&A...604A.127M,,,,4060,2017A&A...604A.127M,-0.37,2017A&A...604A.127M,0.78,2017A&A...604A.127M,4.08,derived,,,14.51,,,,13.80,,,,0.16,2017A&A...604A.127M,,,,,null,null,1.32,derived,6.3,2008hsf2.book..169L,-9.41,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
SZ Cha,?,T Tauri star,5201199348142249216,189.84,1.50,5.27,0.042,164.56979,-77.28811,,Milky Way,Cha I,2017A&A...604A.127M,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V%2A%20SZ%20Cha,K2,2017A&A...604A.127M,,,,4900,2017A&A...604A.127M,0.07,2017A&A...604A.127M,1.31,2017A&A...604A.127M,4.19,derived,,,12.80,,,,12.68,,,,0.42,2017A&A...604A.127M,,,,,null,null,1.51,derived,6.3,2008hsf2.book..169L,-7.82,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
TW Cha,?,T Tauri star,5201196599363180928,185.21,0.65,5.40,0.019,164.75442,-77.37804,,Milky Way,Cha I,2017A&A...604A.127M,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V%2A%20TW%20Cha,K7,2017A&A...604A.127M,,,,4060,2017A&A...604A.127M,-0.42,2017A&A...604A.127M,0.79,2017A&A...604A.127M,4.13,derived,19.21,17.50,13.91,estimated,16.28,2011AJ....142...15G,13.40,2011AJ....142...15G,,,0.26,2017A&A...604A.127M,null,null,8.8,2015A&A...575A...4F,null,null,1.25,derived,6.3,2008hsf2.book..169L,-8.86,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,0,2016ApJ...831..125P,TRUE,FALSE,FALSE
Sz 10,?,T Tauri star,5201206048291386880,182.24,1.52,5.49,0.046,165.72927,-77.36412,,Milky Way,Cha I,2017A&A...604A.127M,,M4.5,2017A&A...604A.127M,,,,3200,2017A&A...604A.127M,-0.82,2017A&A...604A.127M,0.19,2017A&A...604A.127M,3.50,derived,,,16.67,,,,16.25,,,,0.26,2017A&A...604A.127M,,,,,null,null,1.27,derived,6.3,2008hsf2.book..169L,-8.70,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
Hn 5,?,T Tauri star,5201347064956072448,195.28,2.20,5.12,0.058,166.67412,-76.59696,,Milky Way,Cha I,2017A&A...604A.127M,,M5,2017A&A...604A.127M,,,,3125,2017A&A...604A.127M,-1.30,2017A&A...604A.127M,0.16,2017A&A...604A.127M,3.87,derived,,,nan,,,,15.62,,,,0.00,2017A&A...604A.127M,,,,,null,null,0.77,derived,6.3,2008hsf2.book..169L,-9.28,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
Sz 19,?,T Tauri star,5201129121134048768,190.62,1.07,5.25,0.030,166.83636,-77.63536,,Milky Way,Cha I,2017A&A...604A.127M,,K0,2017A&A...604A.127M,,,,5110,2017A&A...604A.127M,0.71,2017A&A...604A.127M,2.08,2017A&A...604A.127M,3.82,derived,,,11.02,,,,10.93,,,,0.48,2017A&A...604A.127M,,,,,null,null,2.90,derived,6.3,2008hsf2.book..169L,-7.63,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
HQ Cha,?,T Tauri star,5201152245237987072,179.33,4.25,5.58,0.132,167.16459,-77.57132,,Milky Way,Cha I,2017A&A...604A.127M,,M6.5,2017A&A...604A.127M,,,,2935,2017A&A...604A.127M,-1.15,2017A&A...604A.127M,0.10,2017A&A...604A.127M,3.40,derived,,,20.78,,,,19.75,,,,0.03,2017A&A...604A.127M,,,,,null,null,1.03,derived,6.3,2008hsf2.book..169L,-10.25,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
VZ Cha,?,T Tauri star,5201353936903777152,192.31,0.83,5.20,0.022,167.34906,-76.38913,,Milky Way,Cha I,2017A&A...604A.127M,,M0.5,2017A&A...604A.127M,,,,3780,2017A&A...604A.127M,-0.26,2017A&A...604A.127M,0.49,2017A&A...604A.127M,3.64,derived,,,12.71,,,,12.94,,,,0.39,2017A&A...604A.127M,,,,,null,null,1.73,derived,6.3,2008hsf2.book..169L,-7.33,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
WZ Cha,?,T Tauri star,5201303325008889856,194.68,1.14,5.14,0.030,167.72217,-76.57557,,Milky Way,Cha I,2017A&A...604A.127M,,M3,2017A&A...604A.127M,,,,3415,2017A&A...604A.127M,-0.80,2017A&A...604A.127M,0.30,2017A&A...604A.127M,3.79,derived,,,15.63,,,,15.48,,,,0.39,2017A&A...604A.127M,,,,,null,null,1.14,derived,6.3,2008hsf2.book..169L,-7.96,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
XX Cha,?,T Tauri star,5225374074083637376,190.51,1.03,5.25,0.029,167.91531,-76.33751,,Milky Way,Cha I,2017A&A...604A.127M,,M3.5,2017A&A...604A.127M,,,,3340,2017A&A...604A.127M,-0.54,2017A&A...604A.127M,0.25,2017A&A...604A.127M,3.42,derived,,,15.00,,,,15.28,,,,0.32,2017A&A...604A.127M,,,,,null,null,1.61,derived,6.3,2008hsf2.book..169L,-7.41,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
CHX 18N,?,T Tauri star,5225327134382282880,192.51,0.89,5.19,0.024,167.94307,-76.33582,,Milky Way,Cha I,2017A&A...604A.127M,,K2,2017A&A...604A.127M,,,,4900,2017A&A...604A.127M,0.01,2017A&A...604A.127M,1.25,2017A&A...604A.127M,4.23,derived,,,12.00,,,,11.96,,,,0.26,2017A&A...604A.127M,,,,,null,null,1.41,derived,6.3,2008hsf2.book..169L,-8.09,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
IN Cha,?,T Tauri star,5201303874764724352,193.23,1.88,5.18,0.050,168.04096,-76.57680,,Milky Way,Cha I,2017A&A...604A.127M,,M5,2017A&A...604A.127M,,,,3125,2017A&A...604A.127M,-0.85,2017A&A...604A.127M,0.17,2017A&A...604A.127M,3.44,derived,,,nan,,,,16.45,,,,0.03,2017A&A...604A.127M,,,,,null,null,1.29,derived,6.3,2008hsf2.book..169L,-9.34,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
Hn 17,?,T Tauri star,5201291951935430144,191.24,2.07,5.23,0.057,168.20255,-76.78517,,Milky Way,Cha I,2017A&A...604A.127M,,M4.5,2017A&A...604A.127M,,,,3200,2017A&A...604A.127M,-0.96,2017A&A...604A.127M,0.20,2017A&A...604A.127M,3.66,derived,,,17.20,,,,16.35,,,,0.13,2017A&A...604A.127M,,,,,null,null,1.08,derived,6.3,2008hsf2.book..169L,-9.71,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
Sz 45,?,T Tauri star,5201272195086070144,188.38,0.85,5.31,0.024,169.40407,-77.07726,,Milky Way,Cha I,2017A&A...604A.127M,,M0.5,2017A&A...604A.127M,,,,3780,2017A&A...604A.127M,-0.38,2017A&A...604A.127M,0.51,2017A&A...604A.127M,3.78,derived,,,13.50,,,,13.50,,,,0.23,2017A&A...604A.127M,,,,,null,null,1.51,derived,6.3,2008hsf2.book..169L,-8.09,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
2MASS J11183572-7935548,?,T Tauri star,5199797745697026560,94.62,1.34,10.57,0.149,169.64883,-79.59858,,Milky Way,Cha I,2017A&A...604A.127M,,M5,2017A&A...604A.127M,,,,3125,2017A&A...604A.127M,-0.59,2017A&A...604A.127M,0.19,2017A&A...604A.127M,3.23,derived,,,nan,,,,14.91,,,,0.00,2017A&A...604A.127M,,,,,null,null,1.73,derived,6.3,2008hsf2.book..169L,-8.95,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
2MASS J11432669-7804454,?,T Tauri star,5200220890172379264,180.63,18.34,5.54,0.562,175.86122,-78.07930,,Milky Way,Cha I,2017A&A...604A.127M,,M5.5,2017A&A...604A.127M,,,,3060,2017A&A...604A.127M,-1.05,2017A&A...604A.127M,0.14,2017A&A...604A.127M,3.52,derived,,,nan,,,,17.33,,,,0.13,2017A&A...604A.127M,,,,,null,null,1.07,derived,6.3,2008hsf2.book..169L,-8.71,2017A&A...604A.127M,-0.08,2014A&A...568A...2S,,,TRUE,FALSE,FALSE
RX J1842.9-3532,?,T Tauri star,6733646363730649856,153.89,1.03,6.50,0.044,280.74159,-35.54523,,Milky Way,CrA,2014A&A...568A..18M,,K2,2014A&A...568A..18M,,,,4900,2014A&A...568A..18M,-0.25,2014A&A...568A..18M,0.93,2014A&A...568A..18M,4.37,derived,,,12.06,,,,11.77,,,,0.13,2014A&A...568A..18M,,,,,null,null,1.03,2014A&A...568A..18M,,,-8.80,2014A&A...568A..18M,,,,,TRUE,FALSE,FALSE
