dataset_name,observatory,instrument,proposid,detector,grating,filter,cenwave,aperture,lifetime_pos,obs_date_mjd,obs_date_isot,target_name,target_name_hlsp,coadd,exp_timeseries,subexp_timeseries,drizzled,custom_cal,star_region,ullyses_obs,archival_obs,qual_comm
lea2acdbq,HST,COS,16100,FUV,G130M,N/A,1291,PSA,4,59131.21593544,2020-10-09T05:10:56.822,2DFS-163,2DFS-163,True,False,False,False,,SMC,True,False,
lea2acdfq,HST,COS,16100,FUV,G130M,N/A,1291,PSA,4,59131.23505581,2020-10-09T05:38:28.822,2DFS-163,2DFS-163,True,False,False,False,,SMC,True,False,
lea2acdhq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.24977803,2020-10-09T05:59:40.822,2DFS-163,2DFS-163,True,False,False,False,,SMC,True,False,
lea2acdjq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.26513655,2020-10-09T06:21:47.798,2DFS-163,2DFS-163,True,False,False,False,,SMC,True,False,
lea2acdlq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.28049544,2020-10-09T06:43:54.806,2DFS-163,2DFS-163,True,False,False,False,,SMC,True,False,
lea2acdnq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.30106248,2020-10-09T07:13:31.798,2DFS-163,2DFS-163,True,False,False,False,,SMC,True,False,
lehg1csgq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59423.91361131,2021-07-28T21:55:36.017,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehg1csxq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59423.97975723,2021-07-28T23:30:51.025,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgfcnoq,HST,COS,16370,FUV,G130M,N/A,1291,PSA,5,59686.39183751,2022-04-17T09:24:14.761,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgfcnqq,HST,COS,16370,FUV,G130M,N/A,1291,PSA,5,59686.39808788,2022-04-17T09:33:14.793,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgfcnsq,HST,COS,16370,FUV,G160M,N/A,1611,PSA,4,59686.40577306,2022-04-17T09:44:18.792,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgfcnuq,HST,COS,16370,FUV,G160M,N/A,1611,PSA,4,59686.41235825,2022-04-17T09:53:47.753,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgfcnwq,HST,COS,16370,FUV,G160M,N/A,1611,PSA,4,59686.41894417,2022-04-17T10:03:16.776,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgkcfcq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59797.7200901,2022-08-06T17:16:55.785,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgkcfeq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59797.78059936,2022-08-06T18:44:03.785,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
lehgkcfgq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59797.78311084,2022-08-06T18:47:40.777,2DFS-2266,2DFS-2266,True,False,False,False,,SMC,True,False,
letw1cx5q,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59761.58724269,2022-07-01T14:05:37.768,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
letw1cxfq,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59761.65330751,2022-07-01T15:40:45.769,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
letw1cxiq,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59761.6634001,2022-07-01T15:55:17.769,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
letw1cxpq,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59761.71940714,2022-07-01T17:15:56.777,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
letw1cxsq,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59761.73414084,2022-07-01T17:37:09.769,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
letw1dnhq,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59744.88459232,2022-06-14T21:13:48.776,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
letw1dnlq,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59744.92949973,2022-06-14T22:18:28.777,2DFS-2553,2DFS-2553,True,False,False,False,,SMC,True,False,
