radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
84.474508,0.468,-1.330967,0.47,NA,NA,0,NA,NA,0,NA,NA,0,17.404,0.148,7,16.771,0.199,7,16.412,0.2,1,NA,NA,0,NA,NA,0
84.474649,0.438,-1.334363,0.77,15.492,0.209,16,16.182,0.1,16,NA,NA,0,15.756,0.148,16,15.178,0.203,15,14.933,0.232,13,NA,NA,0,NA,NA,0
84.477062,0.539,-1.314929,0.259,15.23,0.192,17,16.191,0.126,17,NA,NA,0,15.602,0.138,18,14.781,0.251,17,14.437,0.265,15,NA,NA,0,NA,NA,0
84.477091,0.878,-1.301862,0.437,17.549,0.137,3,17.977,0.064,3,NA,NA,0,18.079,0.15,6,17.219,0.16,6,NA,NA,0,NA,NA,0,NA,NA,0
84.479659,0.423,-1.388162,0.372,NA,NA,0,NA,NA,0,NA,NA,0,18.625,0.255,1,17.644,0.224,1,NA,NA,0,NA,NA,0,NA,NA,0
84.482399,0.466,-1.394322,0.547,NA,NA,0,NA,NA,0,NA,NA,0,18.261,0.083,3,17.489,0.07,3,NA,NA,0,NA,NA,0,NA,NA,0
84.482759,0.457,-1.317581,0.143,NA,NA,0,NA,NA,0,NA,NA,0,18.142,0.234,1,17.526,0.233,1,NA,NA,0,NA,NA,0,NA,NA,0
84.483331,0.778,-1.418842,0.706,NA,NA,0,NA,NA,0,NA,NA,0,18.576,0.166,2,17.568,0.089,2,NA,NA,0,NA,NA,0,NA,NA,0
84.487794,0.274,-1.290161,0.003,NA,NA,0,NA,NA,0,NA,NA,0,18.066,0.167,1,17.592,0.204,1,NA,NA,0,NA,NA,0,NA,NA,0
84.489123,0.592,-1.282405,0.667,16.383,0.131,10,17.466,0.131,10,NA,NA,0,16.9,0.084,8,15.999,0.106,8,15.43,0.073,6,NA,NA,0,NA,NA,0
84.490097,0.4,-1.28538,0.367,16.447,0.006,3,17.98,0.188,3,NA,NA,0,17.235,0.077,8,15.942,0.153,8,14.922,0.208,8,NA,NA,0,NA,NA,0
84.491812,0.749,-1.313701,0.737,NA,NA,0,NA,NA,0,NA,NA,0,18.468,0.039,2,17.649,0.168,2,NA,NA,0,NA,NA,0,NA,NA,0
84.494797,0.578,-1.252556,0.441,16.109,0.142,13,16.245,0.14,13,NA,NA,0,16.072,0.179,14,16.036,0.159,14,16.035,0.07,8,NA,NA,0,NA,NA,0
84.499454,0.599,-1.247958,0.643,16.856,0.238,8,17.476,0.181,8,NA,NA,0,17.235,0.216,8,16.7,0.121,8,16.462,0.203,4,NA,NA,0,NA,NA,0
84.50088,0.184,-1.273931,0.149,NA,NA,0,NA,NA,0,NA,NA,0,17.905,0.165,1,16.976,0.146,1,NA,NA,0,NA,NA,0,NA,NA,0
84.503476,0.855,-1.295883,0.449,NA,NA,0,NA,NA,0,NA,NA,0,18.601,0.337,1,17.331,0.219,1,NA,NA,0,NA,NA,0,NA,NA,0
84.503644,0.907,-1.364303,0.513,16.997,0.124,7,17.866,0.187,7,NA,NA,0,17.391,0.281,12,16.695,0.133,12,16.152,0.128,7,NA,NA,0,NA,NA,0
84.504443,0.716,-1.4142,0.505,16.001,0.08,11,16.693,0.188,11,NA,NA,0,16.309,0.184,11,15.756,0.122,11,15.578,0.173,8,NA,NA,0,NA,NA,0
84.506746,0.43,-1.477847,0.363,17.239,0.155,1,18.218,0.285,1,NA,NA,0,17.973,0.094,5,17.004,0.126,5,NA,NA,0,NA,NA,0,NA,NA,0
84.506859,0.661,-1.216029,0.734,NA,NA,0,NA,NA,0,NA,NA,0,17.967,0.208,7,17.19,0.187,7,NA,NA,0,NA,NA,0,NA,NA,0
84.507435,0.908,-1.360625,0.319,NA,NA,0,NA,NA,0,NA,NA,0,18.354,0.052,3,17.454,0.085,3,NA,NA,0,NA,NA,0,NA,NA,0
84.507509,0.044,-1.415847,0.136,NA,NA,0,NA,NA,0,NA,NA,0,18.001,0.137,1,17.077,0.131,1,NA,NA,0,NA,NA,0,NA,NA,0
84.510463,0.432,-1.34907,0.317,15.555,0.136,18,16.509,0.174,18,NA,NA,0,15.943,0.194,19,15.133,0.208,19,14.82,0.213,16,NA,NA,0,NA,NA,0
84.510897,0.282,-1.271193,0.355,13.957,0.186,19,14.78,0.155,19,NA,NA,0,14.28,0.192,17,13.609,0.248,17,13.341,0.261,17,12.906,0.1,3,NA,NA,0
84.511499,0.696,-1.253367,0.44,16.868,0.181,5,17.459,0.082,5,NA,NA,0,17.149,0.107,4,16.61,0.034,4,NA,NA,0,NA,NA,0,NA,NA,0
84.512569,0.23,-1.420037,0.364,NA,NA,0,NA,NA,0,NA,NA,0,18.212,0.141,4,16.899,0.066,4,15.979,0.026,2,NA,NA,0,NA,NA,0
