radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
238.650548,0.333,-36.965778,0.196,NA,NA,0,NA,NA,0,NA,NA,0,17.671,0.018,2,16.841,0.004,2,16.063,0.211,1,NA,NA,0,NA,NA,0
238.654773,0.309,-36.968962,0.212,15.935,0.036,4,17.02,0.144,4,NA,NA,0,16.444,0.061,4,15.552,0.135,4,15.116,0.133,4,NA,NA,0,NA,NA,0
238.655173,0.225,-36.869103,0.188,14.087,0.016,3,15.551,0.043,3,NA,NA,0,14.78,0.017,3,13.508,0.096,3,13.005,0.113,3,12.969,0.162,1,NA,NA,0
238.657682,0.659,-36.981814,0.608,16.476,0.132,4,17.389,0.166,4,NA,NA,0,16.958,0.149,4,16.081,0.101,4,15.624,0.073,3,NA,NA,0,NA,NA,0
238.657691,0.774,-36.985269,0.534,NA,NA,0,NA,NA,0,NA,NA,0,17.268,0.114,4,16.218,0.105,3,16.19,0.183,1,NA,NA,0,NA,NA,0
238.657895,0.604,-36.998287,0.367,16.874,0.104,3,17.959,0.21,3,NA,NA,0,17.428,0.084,4,16.421,0.188,4,16.25,0.104,4,NA,NA,0,NA,NA,0
238.659782,0.407,-36.938528,0.146,14.738,0.027,4,15.711,0.01,4,NA,NA,0,15.198,0.003,4,14.328,0.105,4,13.982,0.095,4,NA,NA,0,NA,NA,0
238.661136,0.032,-36.932667,0.172,NA,NA,0,NA,NA,0,NA,NA,0,18.594,0.319,1,17.055,0.204,1,NA,NA,0,NA,NA,0,NA,NA,0
238.661888,0.41,-36.87998,0.397,17.189,0.195,2,17.75,0.261,2,NA,NA,0,17.579,0.129,2,16.765,0,2,NA,NA,0,NA,NA,0,NA,NA,0
238.662112,0.5,-36.891821,0.531,16.355,0.014,2,17.553,0.036,2,NA,NA,0,16.951,0.05,4,15.596,0.105,4,15.06,0.127,4,NA,NA,0,NA,NA,0
238.662709,0.347,-36.868972,1.112,16.003,0.055,2,17.406,0.299,2,NA,NA,0,16.907,0.061,2,15.439,0.038,2,15.145,0.329,2,NA,NA,0,NA,NA,0
238.663182,0.173,-36.860881,0.27,12.564,0,2,14.187,0.003,2,NA,NA,0,13.376,0.005,2,11.819,0.016,2,11.202,0.053,2,11.022,0.027,1,NA,NA,0
238.664707,0.841,-36.985508,0.616,NA,NA,0,NA,NA,0,NA,NA,0,16.876,0.024,3,15.607,0.177,2,15.324,0.18,3,NA,NA,0,NA,NA,0
238.665302,0.19,-36.915538,0.295,15.704,0.038,4,16.981,0.146,4,NA,NA,0,16.359,0.019,4,15.202,0.132,4,14.776,0.121,4,NA,NA,0,NA,NA,0
238.665763,0.301,-36.838077,0.163,16.343,0.054,2,17.703,0.05,2,NA,NA,0,16.973,0.168,2,15.71,0.022,2,15.1,0.104,1,NA,NA,0,NA,NA,0
