radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
178.635586,0.275,-78.161563,0.307,15.747,0.042,3,16.46,0.116,3,NA,NA,0,16.151,0.06,4,15.579,0.064,4,15.426,0.101,4,NA,NA,0,NA,NA,0
178.640252,2.451,-78.231955,0.36,16.029,0.206,5,16.475,0.133,5,NA,NA,0,16.402,0.115,4,15.888,0.166,3,15.738,0.146,3,NA,NA,0,NA,NA,0
178.646905,0.719,-78.22202,0.35,NA,NA,0,NA,NA,0,NA,NA,0,17.242,0.114,3,16.098,0.177,2,15.68,0.17,1,NA,NA,0,NA,NA,0
178.655054,0.326,-78.216675,0.352,16.468,0.096,1,17.534,0.175,1,NA,NA,0,17.043,0.165,5,16.284,0.151,5,15.694,0.144,4,NA,NA,0,NA,NA,0
178.660271,0.665,-78.180963,0.312,15.308,0.06,1,16.329,0.131,1,NA,NA,0,15.815,0.024,1,15.117,0.032,1,14.914,0.07,1,NA,NA,0,NA,NA,0
178.661426,0.241,-78.237492,0.275,14.343,0.022,5,15.478,0.07,5,NA,NA,0,14.874,0.026,5,14.002,0.035,5,13.632,0.034,5,13.344,0.114,2,NA,NA,0
178.674147,0.029,-78.179857,0.363,15.144,0.052,1,16.064,0.104,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
178.674902,0.236,-78.187648,0.414,16.643,0.175,1,17.118,0.225,1,NA,NA,0,16.962,0.214,3,16.345,0.023,3,15.852,0.187,1,NA,NA,0,NA,NA,0
178.675574,0.398,-78.151899,0.133,NA,NA,0,NA,NA,0,NA,NA,0,17.916,0.148,1,16.985,0.167,1,15.902,0.196,1,NA,NA,0,NA,NA,0
178.67637,0.64,-78.120116,0.151,NA,NA,0,NA,NA,0,NA,NA,0,17.473,0.043,2,16.426,0.109,1,16.06,0.05,2,NA,NA,0,NA,NA,0
178.678719,0.206,-78.164309,0.187,NA,NA,0,NA,NA,0,NA,NA,0,17.876,0.153,1,17.122,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
178.701003,0.36,-78.237164,0.325,16.148,0.099,3,16.93,0.069,3,NA,NA,0,16.594,0.115,5,15.865,0.066,5,15.654,0.121,5,NA,NA,0,NA,NA,0
