radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
237.023162,0.449,-35.861791,0.41,17.073,0.144,1,18.394,0.296,1,NA,NA,0,17.902,0.094,3,16.845,0.048,3,16.253,0.183,1,NA,NA,0,NA,NA,0
237.023303,0.262,-35.81978,0.091,NA,NA,0,NA,NA,0,NA,NA,0,18.33,0.188,1,17.077,0.161,1,16.388,0.236,1,NA,NA,0,NA,NA,0
237.026941,0.316,-35.810748,0.239,16.751,0.041,2,18.213,0.243,2,NA,NA,0,17.389,0.086,3,16.252,0.045,3,15.691,0.103,2,NA,NA,0,NA,NA,0
237.031248,0.763,-35.822081,0.544,14.857,0.099,3,16.1,0.056,3,NA,NA,0,15.436,0.028,4,14.282,0.149,4,13.807,0.137,3,NA,NA,0,NA,NA,0
237.033826,0.266,-35.852156,0.197,16.784,0.103,1,18.745,0.333,1,NA,NA,0,17.444,0.127,3,16.241,0.194,3,15.892,0.096,2,NA,NA,0,NA,NA,0
237.034357,0.78,-35.898909,0.545,NA,NA,0,NA,NA,0,NA,NA,0,18.346,0.179,1,16.981,0.135,1,NA,NA,0,NA,NA,0,NA,NA,0
237.034769,0.373,-35.830033,0.369,NA,NA,0,NA,NA,0,NA,NA,0,18.545,0.157,2,17.128,0.043,2,NA,NA,0,NA,NA,0,NA,NA,0
237.037255,0.288,-35.825156,0.199,17.133,0.136,1,18.306,0.259,1,NA,NA,0,17.581,0.035,3,16.602,0.097,3,15.932,0.145,1,NA,NA,0,NA,NA,0
237.037664,0.182,-35.900661,0.41,NA,NA,0,NA,NA,0,NA,NA,0,17.989,0.144,1,17.364,0.199,1,NA,NA,0,NA,NA,0,NA,NA,0
237.038817,0.414,-35.858361,0.418,17.211,0.15,1,18.209,0.206,1,NA,NA,0,17.555,0.151,3,16.553,0.116,3,15.97,0.021,2,NA,NA,0,NA,NA,0
237.038854,0.689,-35.909524,0.395,NA,NA,0,NA,NA,0,NA,NA,0,18.41,0.147,2,17.467,0.229,2,NA,NA,0,NA,NA,0,NA,NA,0
237.042479,0.721,-35.806395,0.559,15.632,0.006,2,16.905,0.019,2,NA,NA,0,16.278,0.027,3,15.162,0.152,3,14.751,0.06,2,NA,NA,0,NA,NA,0
237.042536,0.475,-35.918856,0.085,14.592,0.01,2,16.124,0.02,2,NA,NA,0,15.289,0.012,3,13.97,0.1,3,13.427,0.016,2,NA,NA,0,NA,NA,0
237.045092,0.205,-35.911635,0.009,NA,NA,0,NA,NA,0,NA,NA,0,18.729,0.288,1,17.452,0.226,1,NA,NA,0,NA,NA,0,NA,NA,0
237.045832,0.805,-35.739862,0.48,17.204,0.157,1,18.472,0.265,1,NA,NA,0,17.824,0.122,3,16.567,0.198,3,15.945,0.183,2,NA,NA,0,NA,NA,0
237.048471,0.516,-35.792714,0.256,16.974,0.081,2,18.012,0.06,2,NA,NA,0,17.537,0.042,3,16.404,0.198,3,16.173,0.181,2,NA,NA,0,NA,NA,0
