radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
241.855095,0.462,-39.62045,0.482,16.601,0.135,1,17.48,0.184,1,NA,NA,0,16.999,0.132,4,16.136,0.142,4,15.875,0.34,1,NA,NA,0,NA,NA,0
241.856133,0.515,-39.64902,0.468,16.752,0.126,4,17.721,0.216,4,NA,NA,0,17.369,0.17,6,16.374,0.085,5,16.104,0.342,3,NA,NA,0,NA,NA,0
241.856541,0.26,-39.589146,0.16,NA,NA,0,NA,NA,0,NA,NA,0,17.739,0.242,2,16.852,0.36,2,NA,NA,0,NA,NA,0,NA,NA,0
241.856743,0.267,-39.584738,0.315,16.326,0.04,3,17.509,0.048,3,NA,NA,0,16.78,0.065,4,15.918,0.094,4,15.516,0.147,3,NA,NA,0,NA,NA,0
241.857282,0.413,-39.602361,0.551,16.275,0.126,6,17.347,0.18,6,NA,NA,0,16.726,0.13,7,15.919,0.076,7,15.259,0.145,4,NA,NA,0,NA,NA,0
241.857361,0.257,-39.628356,0.444,16.08,0.035,5,17.097,0.177,5,NA,NA,0,16.616,0.024,4,15.742,0.056,4,15.379,0.173,4,NA,NA,0,NA,NA,0
241.858892,0.229,-39.662465,0.487,15.792,0.092,5,17.677,0.27,5,NA,NA,0,16.743,0.129,7,14.999,0.029,7,13.416,0.076,7,NA,NA,0,NA,NA,0
241.862216,0.47,-39.579524,0.437,NA,NA,0,NA,NA,0,NA,NA,0,17.719,0.126,3,16.391,0.122,2,16.105,0.243,1,NA,NA,0,NA,NA,0
241.862805,0.48,-39.599906,0.388,14.324,0.04,5,15.347,0.043,5,NA,NA,0,14.798,0.028,4,13.87,0.038,4,13.457,0.046,4,NA,NA,0,NA,NA,0
241.864193,0.232,-39.66877,0.187,NA,NA,0,NA,NA,0,NA,NA,0,17.652,0.12,1,16.811,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
241.865298,0.212,-39.595655,0.492,15.04,0.064,8,16.431,0.101,8,NA,NA,0,15.72,0.027,5,14.518,0.047,5,14.019,0.049,5,NA,NA,0,NA,NA,0
241.866064,0.333,-39.638717,0.697,16.136,0.017,3,17.192,0.141,3,NA,NA,0,16.69,0.158,4,15.552,0.112,4,15.115,0.113,4,NA,NA,0,NA,NA,0
241.866243,0.405,-39.581302,0.404,NA,NA,0,NA,NA,0,NA,NA,0,17.486,0.113,2,16.719,0.013,2,NA,NA,0,NA,NA,0,NA,NA,0
241.866331,0.244,-39.604103,0.319,13.773,0.02,5,14.291,0.016,5,NA,NA,0,14.002,0.012,4,13.587,0.03,4,13.455,0.06,4,NA,NA,0,NA,NA,0
241.868363,0.501,-39.620344,0.553,NA,NA,0,NA,NA,0,NA,NA,0,17.749,0.205,1,17.169,0.299,1,NA,NA,0,NA,NA,0,NA,NA,0
241.869075,0.411,-39.590831,0.571,13.874,0.013,5,14.844,0.017,5,NA,NA,0,14.326,0.022,4,13.54,0.068,4,13.172,0.049,4,13.087,0.247,2,NA,NA,0
241.869449,0.64,-39.702807,0.55,16.558,0.108,6,17.813,0.292,6,NA,NA,0,17.211,0.157,3,16.319,0.122,3,15.637,0.243,1,NA,NA,0,NA,NA,0
241.869633,0.088,-39.689981,0.625,NA,NA,0,NA,NA,0,NA,NA,0,17.717,0.133,1,16.979,0.187,1,NA,NA,0,NA,NA,0,NA,NA,0
241.870945,0.353,-39.668119,0.18,14.941,0.023,4,15.805,0.04,4,NA,NA,0,15.388,0.036,3,14.589,0.058,3,14.172,0.07,3,NA,NA,0,NA,NA,0
