radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
59.515753,0.609,13.893383,0.442,16.932,0.209,7,17.927,0.253,7,NA,NA,0,17.34,0.086,14,16.697,0.136,14,16.21,0.187,7,NA,NA,0,NA,NA,0
59.52225,0.637,13.9482,0.48,17.479,0.207,1,18.26,0.309,1,NA,NA,0,17.88,0.104,6,17.018,0.076,6,16.802,0.35,1,NA,NA,0,NA,NA,0
59.527093,0.824,13.754345,0.498,16.738,0.237,14,17.505,0.118,14,NA,NA,0,17.093,0.096,23,16.411,0.097,23,15.951,0.134,10,NA,NA,0,NA,NA,0
59.532208,0.909,13.754526,0.542,16.786,0.099,4,17.856,0.143,4,NA,NA,0,17.367,0.107,19,16.429,0.133,18,15.971,0.154,12,NA,NA,0,NA,NA,0
59.53897,0.87,13.760581,0.499,16.72,0.172,26,16.724,0.134,26,NA,NA,0,16.57,0.062,22,16.813,0.18,22,NA,NA,0,NA,NA,0,NA,NA,0
59.540247,0.435,13.736494,0.315,NA,NA,0,NA,NA,0,NA,NA,0,18.116,0.16,5,16.843,0.182,5,15.939,0.103,3,NA,NA,0,NA,NA,0
59.540572,0.33,13.976089,0.282,15.216,0.066,26,16.346,0.105,26,NA,NA,0,15.749,0.065,28,14.773,0.25,28,14.292,0.111,28,NA,NA,0,NA,NA,0
59.541796,0.873,13.730168,0.488,16.683,0.209,20,17.516,0.187,20,NA,NA,0,17.045,0.105,28,16.419,0.155,28,15.937,0.175,12,NA,NA,0,NA,NA,0
59.545816,0.327,13.839104,0.212,13.918,0.068,41,15.35,0.087,41,NA,NA,0,14.538,0.05,44,13.395,0.202,44,12.81,0.068,44,12.429,0.067,1,NA,NA,0
59.548287,0.71,13.905662,0.191,NA,NA,0,NA,NA,0,NA,NA,0,17.894,0.149,4,17.129,0.177,4,NA,NA,0,NA,NA,0,NA,NA,0
59.548633,1.154,13.70171,0.548,NA,NA,0,NA,NA,0,NA,NA,0,18.672,0.1,2,17.492,0.15,2,NA,NA,0,NA,NA,0,NA,NA,0
59.549329,0.583,13.972714,0.694,NA,NA,0,NA,NA,0,NA,NA,0,17.71,0.09,4,17.137,0.32,4,NA,NA,0,NA,NA,0,NA,NA,0
59.549598,0.148,13.6791,0.124,12.871,0.066,50,13.622,0.051,50,NA,NA,0,13.181,0.037,54,12.61,0.205,54,12.318,0.077,53,12.206,0.009,2,NA,NA,0
59.552628,0.281,13.744351,0.152,14.052,0.073,41,14.658,0.05,41,NA,NA,0,14.287,0.04,44,13.856,0.2,44,13.639,0.091,44,NA,NA,0,NA,NA,0
59.553851,0.129,13.734948,0.096,11.808,0.064,41,12.528,0.05,41,NA,NA,0,12.096,0.038,44,11.567,0.205,44,11.3,0.069,44,11.153,0.022,2,NA,NA,0
59.555825,0.264,13.760729,0.199,13.928,0.069,41,14.684,0.06,41,NA,NA,0,14.239,0.042,44,13.669,0.212,44,13.37,0.068,44,12.993,0.107,1,NA,NA,0
59.557367,0.641,13.769495,0.424,16.918,0.122,6,17.789,0.219,6,NA,NA,0,17.37,0.091,19,16.582,0.118,18,16.008,0.161,9,NA,NA,0,NA,NA,0
59.56222,0.999,13.950002,0.673,NA,NA,0,NA,NA,0,NA,NA,0,18.304,0.055,2,16.753,0.036,2,NA,NA,0,NA,NA,0,NA,NA,0
59.563499,1.113,13.88106,1.141,NA,NA,0,NA,NA,0,NA,NA,0,17.564,0.076,3,16.686,0.043,3,NA,NA,0,NA,NA,0,NA,NA,0
59.567266,0.99,13.844005,0.484,16.912,0.23,14,17.671,0.214,14,NA,NA,0,17.272,0.093,21,16.575,0.132,20,16.218,0.31,9,NA,NA,0,NA,NA,0
59.568488,0.251,14.041536,0.258,14.659,0.056,27,15.431,0.073,27,NA,NA,0,15.015,0.048,28,14.424,0.228,28,14.116,0.103,28,13.659,0.198,1,NA,NA,0
59.572738,0.299,13.760947,0.228,14.394,0.06,41,15.245,0.065,41,NA,NA,0,14.763,0.047,44,14.094,0.204,44,13.732,0.074,44,13.79,0.211,1,NA,NA,0
59.579664,0.683,13.825447,0.41,15.711,0.086,30,16.84,0.166,30,NA,NA,0,16.251,0.103,41,15.297,0.248,41,14.822,0.158,36,NA,NA,0,NA,NA,0
59.583428,0.69,13.787898,0.493,NA,NA,0,NA,NA,0,NA,NA,0,18.034,0.156,9,16.763,0.122,9,16.139,0.148,7,NA,NA,0,NA,NA,0
59.585604,0.668,13.715817,0.486,16.567,0.137,16,17.729,0.265,16,NA,NA,0,17.154,0.121,27,16.109,0.128,26,15.604,0.197,26,NA,NA,0,NA,NA,0
59.588117,0.747,14.059339,0.652,NA,NA,0,NA,NA,0,NA,NA,0,17.705,0.068,4,16.671,0.131,4,15.952,0.194,1,NA,NA,0,NA,NA,0
59.592705,0.616,13.859784,0.526,NA,NA,0,NA,NA,0,NA,NA,0,18.184,0.217,1,17.663,0.344,1,NA,NA,0,NA,NA,0,NA,NA,0
59.596381,0.579,14.014162,0.416,NA,NA,0,NA,NA,0,NA,NA,0,17.643,0.119,11,16.731,0.155,11,16.274,0.147,4,NA,NA,0,NA,NA,0
59.600238,0.277,13.885966,0.182,14.5,0.054,27,15.267,0.08,27,NA,NA,0,14.833,0.049,28,14.291,0.251,28,13.986,0.078,27,NA,NA,0,NA,NA,0
59.600436,0.412,14.063437,0.464,NA,NA,0,NA,NA,0,NA,NA,0,18.043,0.132,4,17.151,0.221,4,16.362,0.212,1,NA,NA,0,NA,NA,0
