radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
238.815695,0.202,-37.791626,0.14,15.304,0.06,4,16.587,0.017,4,NA,NA,0,16.023,0.037,4,14.721,0.169,4,14.259,0.058,4,NA,NA,0,NA,NA,0
238.818592,0.121,-37.818912,0.179,NA,NA,0,NA,NA,0,NA,NA,0,18.259,0.052,3,16.232,0.139,3,15.433,0.123,3,NA,NA,0,NA,NA,0
238.820577,0.45,-37.880632,0.351,16.6,0.089,4,17.588,0.132,4,NA,NA,0,17.032,0.095,4,16.129,0.193,4,16.12,0.165,3,NA,NA,0,NA,NA,0
238.822097,0.569,-37.786308,0.847,16.964,0.116,1,18.174,0.197,1,NA,NA,0,17.609,0.141,3,16.351,0.268,2,15.941,0.206,3,NA,NA,0,NA,NA,0
238.824208,0.24,-37.777662,0.231,NA,NA,0,NA,NA,0,NA,NA,0,17.481,0.087,4,15.98,0.234,4,15.485,0.116,4,NA,NA,0,NA,NA,0
238.825118,0.207,-37.88899,0.166,15.403,0.086,5,17.543,0.108,5,NA,NA,0,16.458,0.049,5,14.58,0.159,5,13.495,0.066,5,NA,NA,0,NA,NA,0
238.825192,0.71,-37.900475,0.254,17.393,0.195,1,17.71,0.133,1,NA,NA,0,17.593,0.102,1,16.72,0.125,1,NA,NA,0,NA,NA,0,NA,NA,0
238.825566,1.005,-37.756968,0.309,17.482,0.19,1,18.195,0.202,1,NA,NA,0,17.73,0.104,2,16.898,0.168,3,16.269,0.251,1,NA,NA,0,NA,NA,0
238.826352,0.436,-37.898087,0.67,16.583,0.027,2,18.052,0.214,2,NA,NA,0,17.203,0.096,3,15.954,0.064,1,15.38,0.321,2,NA,NA,0,NA,NA,0
238.829032,0.35,-37.826547,0.253,16.696,0.168,3,18.215,0.222,3,NA,NA,0,17.423,0.034,5,15.884,0.183,5,15.225,0.157,5,NA,NA,0,NA,NA,0
238.830809,0.347,-37.866702,0.382,16.038,0.026,5,17.512,0.115,5,NA,NA,0,16.816,0.061,5,15.371,0.154,5,14.842,0.094,5,NA,NA,0,NA,NA,0
238.832455,0.549,-37.888031,0.402,16.89,0.033,3,18.123,0.243,3,NA,NA,0,17.535,0.085,4,16.491,0.117,4,16.011,0.22,1,NA,NA,0,NA,NA,0
238.833499,0.103,-37.73022,0.345,NA,NA,0,NA,NA,0,NA,NA,0,18.211,0.172,1,17.005,0.153,1,16.441,0.26,1,NA,NA,0,NA,NA,0
238.83429,0.694,-37.763421,0.268,NA,NA,0,NA,NA,0,NA,NA,0,18.28,0.127,2,16.764,0.194,2,15.822,0.104,2,NA,NA,0,NA,NA,0
238.834316,0.223,-37.838905,0.098,12.654,0.061,5,14.823,0.012,5,NA,NA,0,13.754,0.019,5,11.733,0.165,5,10.73,0.064,6,10.131,0.013,1,NA,NA,0
238.835859,0.323,-37.872994,0.223,16.01,0.106,5,17.695,0.188,5,NA,NA,0,16.862,0.049,5,15.255,0.16,5,14.694,0.056,5,NA,NA,0,NA,NA,0
238.836484,0.386,-37.744855,0.237,16.262,0.037,4,17.549,0.139,4,NA,NA,0,17.008,0.079,5,15.677,0.149,5,15.264,0.049,5,NA,NA,0,NA,NA,0
238.837039,0.703,-37.760282,0.392,16.684,0.129,3,18.069,0.1,3,NA,NA,0,17.398,0.04,5,16.184,0.171,4,15.675,0.177,3,NA,NA,0,NA,NA,0
238.838841,0.508,-37.876621,0.667,16.068,0.098,4,17.396,0.095,4,NA,NA,0,16.78,0.059,4,15.553,0.151,4,15.152,0.046,4,NA,NA,0,NA,NA,0
238.839166,0.815,-37.888695,0.494,16.347,0.194,4,17.526,0.092,4,NA,NA,0,17.017,0.036,5,16.03,0.128,5,15.768,0.125,4,NA,NA,0,NA,NA,0
238.839861,0.311,-37.906101,0.209,15.918,0.089,5,17.132,0.052,5,NA,NA,0,16.569,0.047,5,15.33,0.167,5,14.983,0.142,5,NA,NA,0,NA,NA,0
238.840269,0.285,-37.729887,0.249,16.3,0.074,5,17.312,0.134,5,NA,NA,0,16.78,0.032,5,15.858,0.183,5,15.578,0.239,4,NA,NA,0,NA,NA,0
238.841105,0.165,-37.936861,0.175,16.852,0.131,1,18.29,0.243,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
238.841118,0.275,-37.92956,0.319,NA,NA,0,NA,NA,0,NA,NA,0,17.96,0.159,3,16.817,0.143,3,NA,NA,0,NA,NA,0,NA,NA,0
238.842486,0.497,-37.93454,0.849,16.315,0.203,3,17.844,0.08,3,NA,NA,0,17.034,0.06,4,15.525,0.246,3,15.232,0.148,4,NA,NA,0,NA,NA,0
238.844772,0.105,-37.727481,0.215,15.109,0.042,5,16.089,0.014,5,NA,NA,0,15.588,0.032,5,14.692,0.151,5,14.424,0.104,5,NA,NA,0,NA,NA,0
238.847191,0.49,-37.867009,0.218,NA,NA,0,NA,NA,0,NA,NA,0,18.006,0.203,4,16.759,0.212,4,16.299,0.033,2,NA,NA,0,NA,NA,0
238.847518,0.276,-37.872898,0.183,16.084,0.04,5,17.102,0.082,5,NA,NA,0,16.607,0.062,5,15.575,0.173,5,15.255,0.07,5,NA,NA,0,NA,NA,0
