radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
84.629407,0.553,-2.508781,0.374,16.538,0.121,5,17.731,0.137,5,NA,NA,0,17.053,0.076,5,16.061,0.058,5,15.67,0.087,5,NA,NA,0,NA,NA,0
84.636188,0.293,-2.521079,0.222,14.294,0.022,5,15.196,0.052,5,NA,NA,0,14.726,0.023,5,14.014,0.013,5,13.744,0.017,5,13.936,0.245,1,NA,NA,0
84.639052,0.266,-2.510302,0.506,15.446,0.043,5,16.537,0.089,5,NA,NA,0,15.939,0.029,5,15.054,0.041,5,14.719,0.076,5,NA,NA,0,NA,NA,0
84.643505,0.146,-2.479887,0.156,11.268,0.012,5,11.466,0.016,5,NA,NA,0,11.317,0.02,5,11.256,0.012,5,11.328,0.008,5,11.313,0.07,3,NA,NA,0
84.643946,0.306,-2.571046,0.178,8.011,0.071,3,8.016,0.108,3,NA,NA,0,7.972,0.063,2,8.204,0.016,2,8.464,0.043,2,8.512,0.081,3,NA,NA,0
84.64447,0.95,-2.450179,0.251,17.774,0.229,1,18.451,0.311,1,NA,NA,0,18.143,0.061,4,17.438,0.219,4,NA,NA,0,NA,NA,0,NA,NA,0
84.646014,0.51,-2.498816,0.388,14.064,0.029,5,14.951,0.036,5,NA,NA,0,14.451,0.023,5,13.746,0.028,5,13.471,0.023,5,13.28,0.205,1,NA,NA,0
84.64691,0.496,-2.46836,0.604,NA,NA,0,NA,NA,0,NA,NA,0,18.14,0.101,2,17.75,0.276,2,NA,NA,0,NA,NA,0,NA,NA,0
84.647285,0.206,-2.525702,0.735,16.851,0.198,2,18.082,0.215,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
84.647367,0.356,-2.50132,0.356,14.008,0.024,5,14.852,0.037,5,NA,NA,0,14.396,0.011,5,13.701,0.015,5,13.406,0.011,5,13.083,0.123,1,NA,NA,0
84.648764,0.645,-2.437491,0.342,17.1,0.151,5,18.018,0.207,5,NA,NA,0,17.572,0.16,5,16.786,0.068,5,16.458,0.233,5,NA,NA,0,NA,NA,0
84.649501,0.337,-2.512027,0.195,13.947,0.031,5,15.156,0.029,5,NA,NA,0,14.545,0.033,5,13.453,0.034,5,12.935,0.029,5,12.545,0.055,2,NA,NA,0
84.65214,0.776,-2.553439,0.456,7.88,0.012,4,7.788,0.04,4,NA,NA,0,7.761,0.032,3,8.064,0.04,3,8.361,0.054,3,8.49,0.058,4,NA,NA,0
84.653348,0.303,-2.412304,0.167,15.875,0.06,5,16.664,0.072,5,NA,NA,0,16.239,0.016,5,15.585,0.051,5,15.319,0.045,5,NA,NA,0,NA,NA,0
84.65475,0.526,-2.450488,0.264,NA,NA,0,NA,NA,0,NA,NA,0,18.449,0.141,4,17.269,0.09,4,NA,NA,0,NA,NA,0,NA,NA,0
84.658146,0.614,-2.522293,0.275,NA,NA,0,NA,NA,0,NA,NA,0,18.74,0.407,1,17.674,0.257,1,NA,NA,0,NA,NA,0,NA,NA,0
84.660669,0.259,-2.445776,0.203,14.663,0.012,5,15.852,0.071,5,NA,NA,0,15.26,0.012,5,14.223,0.009,5,13.787,0.016,5,13.608,0.189,1,NA,NA,0
84.665241,0.26,-2.447227,0.263,13.149,0.008,5,14.143,0.018,5,NA,NA,0,13.636,0.015,5,12.772,0.003,5,12.468,0.018,5,12.293,0.064,3,NA,NA,0
84.665296,0.457,-2.517132,0.689,17.474,0.195,3,18.046,0.071,3,NA,NA,0,17.694,0.083,5,17.355,0.094,5,NA,NA,0,NA,NA,0,NA,NA,0
84.66772,0.735,-2.505161,0.504,15.073,0.397,5,16.576,0.507,5,NA,NA,0,15.742,0.436,5,14.478,0.374,5,13.75,0.327,5,13.64,0.474,2,NA,NA,0
84.672577,0.415,-2.475553,0.354,NA,NA,0,NA,NA,0,NA,NA,0,18.327,0.078,2,17.359,0.018,2,NA,NA,0,NA,NA,0,NA,NA,0
84.67305,0.321,-2.49145,0.209,NA,NA,0,NA,NA,0,NA,NA,0,18.191,0.025,2,17.238,0.068,2,16.996,0.311,1,NA,NA,0,NA,NA,0
84.673209,0.736,-2.409833,0.344,17.506,0.21,1,17.948,0.223,1,NA,NA,0,17.757,0.074,5,17.104,0.135,5,NA,NA,0,NA,NA,0,NA,NA,0
84.673344,0.566,-2.508053,0.246,NA,NA,0,NA,NA,0,NA,NA,0,17.745,0.145,5,16.39,0.072,5,15.133,0.07,5,NA,NA,0,NA,NA,0
84.675981,0.541,-2.413703,0.326,17.059,0.072,5,18.006,0.266,5,NA,NA,0,17.455,0.071,5,16.484,0.088,5,16.063,0.11,5,NA,NA,0,NA,NA,0
84.676636,0.199,-2.452776,0.153,15.331,0.041,5,16.295,0.043,5,NA,NA,0,15.834,0.019,5,14.977,0.021,5,14.665,0.061,5,NA,NA,0,NA,NA,0
84.677033,0.605,-2.376062,0.361,NA,NA,0,NA,NA,0,NA,NA,0,17.662,0.098,5,16.954,0.174,5,NA,NA,0,NA,NA,0,NA,NA,0
84.682815,0.634,-2.675716,0.488,15.388,0.044,4,16.584,0.094,4,NA,NA,0,15.918,0.042,3,14.954,0.03,3,14.322,0.048,3,NA,NA,0,NA,NA,0
84.684349,0.379,-2.672145,0.507,13.909,0.064,4,15.176,0.088,4,NA,NA,0,14.617,0.008,2,13.457,0.004,2,12.907,0.008,2,12.39,0.125,2,NA,NA,0
84.686847,0.503,-2.599973,0.415,5.677,0.042,2,5.719,0.083,2,NA,NA,0,6.436,0.122,2,5.707,0.001,2,4.75,0.085,2,4.613,0.095,2,NA,NA,0
84.688352,0.65,-2.448498,0.271,NA,NA,0,NA,NA,0,NA,NA,0,18.318,0.206,3,17.587,0.213,3,NA,NA,0,NA,NA,0,NA,NA,0
84.688652,0.674,-2.474412,0.293,17.126,0.151,3,18.251,0.035,3,NA,NA,0,17.832,0.124,5,16.677,0.037,5,16.257,0.157,5,NA,NA,0,NA,NA,0
84.688656,0.836,-2.381999,0.423,17.474,0.158,1,18.122,0.229,1,NA,NA,0,17.858,0.111,4,17.277,0.252,4,16.514,0.187,1,NA,NA,0,NA,NA,0
84.689081,0.237,-2.699812,0.16,15.455,0.072,6,16.748,0.142,6,NA,NA,0,16.159,0.112,7,14.866,0.094,7,13.974,0.06,7,NA,NA,0,NA,NA,0
84.689183,0.353,-2.491698,0.696,NA,NA,0,NA,NA,0,NA,NA,0,18.09,0.087,2,17.649,0.088,2,NA,NA,0,NA,NA,0,NA,NA,0
84.690219,0.402,-2.343259,0.287,NA,NA,0,NA,NA,0,NA,NA,0,17.951,0.125,5,16.554,0.072,5,15.973,0.104,5,NA,NA,0,NA,NA,0
84.693252,0.436,-2.705463,0.462,NA,NA,0,NA,NA,0,NA,NA,0,18.446,0.222,1,17.833,0.246,1,NA,NA,0,NA,NA,0,NA,NA,0
84.694315,0.297,-2.33813,0.536,NA,NA,0,NA,NA,0,NA,NA,0,18.021,0.122,3,17.266,0.262,3,17.113,0.33,1,NA,NA,0,NA,NA,0
84.694838,0.412,-2.390866,0.314,17.122,0.063,4,17.956,0.218,4,NA,NA,0,17.736,0.033,5,16.757,0.074,5,16.453,0.119,3,NA,NA,0,NA,NA,0
84.695085,0.656,-2.520423,0.343,16.78,0.128,4,17.627,0.067,4,NA,NA,0,17.186,0.048,5,16.4,0.072,5,15.929,0.093,5,NA,NA,0,NA,NA,0
84.695163,0.311,-2.410945,0.24,NA,NA,0,NA,NA,0,NA,NA,0,18.247,0.158,1,17.357,0.157,1,NA,NA,0,NA,NA,0,NA,NA,0
84.696515,0.364,-2.59454,0.157,6.715,0.022,2,6.565,0.012,2,NA,NA,0,6.813,0.065,2,6.88,0.028,2,7.126,0.067,2,7.319,0.094,2,NA,NA,0
84.699358,0.275,-2.415302,0.188,13.421,0.008,5,14.054,0.022,5,NA,NA,0,13.71,0.019,5,13.217,0.015,5,13.017,0.014,5,13.046,0.059,2,NA,NA,0
84.699967,0.617,-2.423325,0.381,NA,NA,0,NA,NA,0,NA,NA,0,18.143,0.093,4,17.07,0.1,4,16.234,0.154,1,NA,NA,0,NA,NA,0
84.700108,0.239,-2.453911,0.236,13.291,0.189,5,14.526,0.207,5,NA,NA,0,13.868,0.204,5,12.797,0.178,5,12.143,0.162,5,11.547,0.073,3,NA,NA,0
84.70033,0.395,-2.70203,0.171,15.482,0.107,7,16.516,0.063,7,NA,NA,0,15.926,0.097,7,14.98,0.106,7,14.555,0.112,7,NA,NA,0,NA,NA,0
84.702599,0.696,-2.707583,0.401,18.109,0.451,1,18.025,0.289,1,NA,NA,0,18.111,0.17,5,17.42,0.165,5,NA,NA,0,NA,NA,0,NA,NA,0
84.703135,0.216,-2.49519,0.137,16.02,0.081,5,16.974,0.059,5,NA,NA,0,16.457,0.041,5,15.698,0.057,5,15.386,0.082,5,NA,NA,0,NA,NA,0
84.704114,0.312,-2.486591,0.171,15.34,0.026,5,16.16,0.041,5,NA,NA,0,15.746,0.014,5,15.041,0.019,5,14.755,0.054,5,NA,NA,0,NA,NA,0
84.70528,1.262,-2.690281,0.378,15.912,0.043,4,17.532,0.085,4,NA,NA,0,16.565,0.102,5,15.271,0.096,5,13.837,0.105,4,NA,NA,0,NA,NA,0
84.705968,0.243,-2.667473,0.243,15.289,0.055,5,16.156,0.015,5,NA,NA,0,15.723,0.016,4,15.035,0.045,4,14.653,0.049,4,NA,NA,0,NA,NA,0
84.707758,0.37,-2.349654,0.201,16.605,0.066,5,17.526,0.053,5,NA,NA,0,17.079,0.063,5,16.277,0.047,5,16.025,0.155,5,NA,NA,0,NA,NA,0
84.707971,0.618,-2.341573,0.287,17.24,0.004,2,18.029,0.022,2,NA,NA,0,17.707,0.115,5,16.807,0.07,5,16.328,0.088,4,NA,NA,0,NA,NA,0
84.708084,0.426,-2.689714,0.382,NA,NA,0,NA,NA,0,NA,NA,0,17.283,0.175,4,15.938,0.14,4,14.512,0.108,2,NA,NA,0,NA,NA,0
84.70989,0.325,-2.446575,0.174,NA,NA,0,NA,NA,0,NA,NA,0,17.507,0.058,5,16.185,0.063,5,14.835,0.073,5,NA,NA,0,NA,NA,0
84.709974,0.429,-2.403132,0.012,NA,NA,0,NA,NA,0,NA,NA,0,18.769,0.248,1,17.787,0.225,1,NA,NA,0,NA,NA,0,NA,NA,0
84.712564,0.592,-2.462668,0.436,NA,NA,0,NA,NA,0,NA,NA,0,18.957,0.036,2,16.896,0.006,2,15.958,0.046,2,NA,NA,0,NA,NA,0
84.713338,0.229,-2.520322,0.097,NA,NA,0,NA,NA,0,NA,NA,0,18.081,0.035,2,17.02,0.131,2,NA,NA,0,NA,NA,0,NA,NA,0
84.71404,0.589,-2.540708,0.283,16.402,0.11,2,17.497,0.282,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
84.714725,0.711,-2.404,0.419,NA,NA,0,NA,NA,0,NA,NA,0,18.546,0.223,4,17.071,0.064,4,16.538,0.062,2,NA,NA,0,NA,NA,0
84.71536,0.343,-2.488874,0.343,17.055,0.107,3,17.951,0.11,3,NA,NA,0,17.52,0.082,5,16.663,0.093,5,16.321,0.193,5,NA,NA,0,NA,NA,0
84.717698,0.344,-2.440098,0.191,15.72,0.097,5,16.779,0.1,5,NA,NA,0,16.271,0.04,5,15.436,0.037,5,15.06,0.097,5,NA,NA,0,NA,NA,0
84.71826,0.354,-2.310954,0.303,16.33,0.061,5,17.689,0.13,5,NA,NA,0,17.088,0.062,5,15.685,0.026,5,15.064,0.067,5,NA,NA,0,NA,NA,0
84.719197,0.442,-2.701671,0.4,16.601,0.105,6,17.642,0.122,6,NA,NA,0,17.119,0.174,7,15.932,0.126,7,15.479,0.16,7,NA,NA,0,NA,NA,0
84.719539,0.171,-2.332481,0.117,15.197,0.023,5,16.011,0.031,5,NA,NA,0,15.566,0.021,5,14.875,0.007,5,14.562,0.034,5,NA,NA,0,NA,NA,0
84.719719,0.214,-2.32397,0.222,15.519,0.031,5,16.528,0.063,5,NA,NA,0,16.036,0.047,5,15.226,0.044,5,14.912,0.057,5,NA,NA,0,NA,NA,0
84.720298,0.206,-2.720641,0.194,15.588,0.094,7,16.522,0.065,7,NA,NA,0,15.964,0.116,7,15.122,0.099,7,14.812,0.088,7,NA,NA,0,NA,NA,0
84.721549,0.268,-2.731361,0.244,15.784,0.129,7,17.334,0.159,7,NA,NA,0,16.452,0.192,7,15.1,0.163,7,14.184,0.157,7,NA,NA,0,NA,NA,0
84.722532,0.374,-2.341898,0.217,17.066,0.16,1,18.226,0.314,1,NA,NA,0,17.806,0.122,5,16.424,0.082,5,15.618,0.099,5,NA,NA,0,NA,NA,0
84.724102,0.362,-2.371614,0.255,16.498,0.057,5,17.458,0.143,5,NA,NA,0,17.005,0.081,5,16.195,0.046,5,15.73,0.122,5,NA,NA,0,NA,NA,0
84.724133,0.277,-2.696984,0.506,NA,NA,0,NA,NA,0,NA,NA,0,18.49,0.401,2,17.35,0.093,2,NA,NA,0,NA,NA,0,NA,NA,0
84.726138,0.263,-2.35917,0.175,15.553,0.023,5,16.441,0.065,5,NA,NA,0,15.991,0.025,5,15.204,0.023,5,14.821,0.018,5,NA,NA,0,NA,NA,0
84.730913,0.393,-2.396209,0.234,NA,NA,0,NA,NA,0,NA,NA,0,18.497,0.161,2,17.696,0.042,2,NA,NA,0,NA,NA,0,NA,NA,0
84.73113,0.637,-2.466858,0.37,17.137,0.142,5,18.197,0.263,5,NA,NA,0,17.597,0.082,5,16.598,0.12,5,16.211,0.233,5,NA,NA,0,NA,NA,0
84.731325,0.333,-2.691513,0.332,16.128,0.035,6,17.892,0.281,6,NA,NA,0,16.908,0.062,6,15.572,0.031,6,14.262,0.07,6,NA,NA,0,NA,NA,0
84.731841,0.37,-2.321852,0.364,16.871,0.131,5,17.957,0.246,5,NA,NA,0,17.286,0.085,5,16.534,0.063,5,16.21,0.176,5,NA,NA,0,NA,NA,0
84.73428,0.445,-2.520887,0.243,NA,NA,0,NA,NA,0,NA,NA,0,16.723,0.047,3,15.543,0.004,3,14.99,0.027,3,NA,NA,0,NA,NA,0
84.735171,0.536,-2.31281,0.315,16.63,0.107,5,17.967,0.291,5,NA,NA,0,17.377,0.044,5,16.118,0.059,5,15.584,0.058,5,NA,NA,0,NA,NA,0
84.736153,0.607,-2.305647,0.449,17.135,0.076,5,17.852,0.236,5,NA,NA,0,17.582,0.141,5,16.81,0.066,5,16.312,0.073,4,NA,NA,0,NA,NA,0
84.736469,0.237,-2.706403,0.16,NA,NA,0,NA,NA,0,NA,NA,0,18.836,0.297,1,17.539,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
84.736663,0.484,-2.300858,0.272,16.771,0.124,5,17.921,0.148,5,NA,NA,0,17.352,0.042,5,16.364,0.086,5,15.834,0.121,5,NA,NA,0,NA,NA,0
84.736926,0.666,-2.444907,0.573,NA,NA,0,NA,NA,0,NA,NA,0,17.83,0.087,5,17.029,0.062,5,16.638,0.277,1,NA,NA,0,NA,NA,0
84.737512,0.22,-2.523811,0.18,12.908,0.008,5,13.607,0.014,5,NA,NA,0,13.237,0.026,5,12.691,0.012,5,12.516,0.018,5,12.39,0.167,3,NA,NA,0
84.737606,0.312,-2.715878,0.38,16.651,0.161,7,17.579,0.113,7,NA,NA,0,17.129,0.051,7,16.256,0.113,7,15.78,0.106,7,NA,NA,0,NA,NA,0
84.740494,0.358,-2.495374,0.2,16.646,0.013,2,17.894,0.124,2,NA,NA,0,17.271,0.061,5,16.382,0.061,5,15.887,0.106,5,NA,NA,0,NA,NA,0
84.741651,0.551,-2.736046,0.517,NA,NA,0,NA,NA,0,NA,NA,0,18.783,0.034,2,17.359,0.263,1,16.37,0.303,1,NA,NA,0,NA,NA,0
84.742734,0.352,-2.690507,0.203,15.996,0.069,6,17.035,0.1,6,NA,NA,0,16.558,0.056,6,15.579,0.063,6,15.208,0.063,6,NA,NA,0,NA,NA,0
84.742934,0.663,-2.536149,0.192,NA,NA,0,NA,NA,0,NA,NA,0,18.031,0.239,1,17.073,0.202,1,NA,NA,0,NA,NA,0,NA,NA,0
84.744085,0.326,-2.48419,0.263,16.673,0.056,3,17.811,0.196,3,NA,NA,0,17.29,0.095,5,16.084,0.066,5,15.494,0.11,5,NA,NA,0,NA,NA,0
84.746264,0.432,-2.669414,0.471,16.77,0.055,3,17.381,0.068,3,NA,NA,0,17.073,0.065,2,16.446,0.01,2,16.263,0.15,2,NA,NA,0,NA,NA,0
84.746353,0.287,-2.429154,0.23,15.409,0.019,5,16.495,0.039,5,NA,NA,0,15.929,0.023,5,15,0.017,5,14.612,0.047,5,NA,NA,0,NA,NA,0
84.746778,0.409,-2.500546,0.331,16.911,0.193,2,18.234,0.17,2,NA,NA,0,17.446,0.039,5,16.244,0.043,5,15.725,0.21,5,NA,NA,0,NA,NA,0
84.747729,0.154,-2.7054,0.186,14.013,0.079,7,14.843,0.067,7,NA,NA,0,14.325,0.113,7,13.615,0.112,7,13.314,0.096,7,13.543,0.089,2,NA,NA,0
84.748141,0.167,-2.75223,0.2,12.444,0.089,7,13.047,0.055,7,NA,NA,0,12.62,0.115,7,12.174,0.132,7,12.064,0.101,7,12.111,0.14,3,NA,NA,0
84.750361,0.254,-2.310621,0.205,13.761,0.021,5,14.678,0.016,5,NA,NA,0,14.227,0.018,5,13.43,0.012,5,13.083,0.016,5,12.753,0.074,2,NA,NA,0
84.750905,0.057,-2.315715,0.163,NA,NA,0,NA,NA,0,NA,NA,0,18.47,0.193,1,17.313,0.156,1,NA,NA,0,NA,NA,0,NA,NA,0
84.752276,0.375,-2.741551,0.359,16.876,0.135,7,17.77,0.14,7,NA,NA,0,17.242,0.113,7,16.322,0.125,7,16.032,0.165,7,NA,NA,0,NA,NA,0
84.75338,0.56,-2.625559,0.302,16.561,0.059,5,18.14,0.268,5,NA,NA,0,17.241,0.121,1,15.937,0.076,1,15.428,0.115,1,NA,NA,0,NA,NA,0
84.754611,0.652,-2.435842,0.3,16.904,0.142,1,18.033,0.255,1,NA,NA,0,17.813,0.179,5,16.471,0.03,5,16.164,0.146,5,NA,NA,0,NA,NA,0
84.755122,0.282,-2.727713,0.229,14.233,0.075,7,15.37,0.098,7,NA,NA,0,14.69,0.107,7,13.72,0.116,7,13.423,0.098,7,13.243,0.081,2,NA,NA,0
84.755721,0.183,-2.307626,0.203,15.08,0.069,5,16.555,0.108,5,NA,NA,0,15.854,0.06,5,14.419,0.037,5,13.633,0.048,5,13.01,0.116,1,NA,NA,0
84.756037,0.283,-2.298795,0.183,15.88,0.051,5,16.859,0.048,5,NA,NA,0,16.397,0.039,5,15.54,0.026,5,15.171,0.014,5,NA,NA,0,NA,NA,0
84.756156,0.388,-2.648967,0.204,8.047,0.01,3,7.974,0.03,3,NA,NA,0,7.915,0.053,3,8.2,0.046,3,8.473,0.056,3,8.597,0.062,3,NA,NA,0
84.761557,0.296,-2.49883,0.236,17.18,0.129,1,18.272,0.266,1,NA,NA,0,17.864,0.127,5,16.454,0.085,5,14.955,0.084,5,NA,NA,0,NA,NA,0
84.761641,0.534,-2.689627,0.67,15.439,0.037,6,16.689,0.117,6,NA,NA,0,16.04,0.051,6,14.935,0.03,6,14.32,0.152,6,NA,NA,0,NA,NA,0
84.76203,0.511,-2.391068,0.398,NA,NA,0,NA,NA,0,NA,NA,0,18.076,0.063,5,17.117,0.159,5,16.377,0.083,3,NA,NA,0,NA,NA,0
84.762597,0.206,-2.357589,0.229,14.001,0.013,5,14.947,0.031,5,NA,NA,0,14.464,0.023,5,13.653,0.013,5,13.286,0.011,5,13.037,0.084,2,NA,NA,0
84.763327,0.264,-2.759091,0.297,15.021,0.111,7,15.837,0.074,7,NA,NA,0,15.318,0.114,7,14.598,0.121,7,14.291,0.114,7,NA,NA,0,NA,NA,0
84.763407,0.293,-2.695662,0.214,15.964,0.08,6,16.908,0.058,6,NA,NA,0,16.414,0.068,6,15.588,0.054,6,15.248,0.071,6,NA,NA,0,NA,NA,0
84.76425,0.268,-2.62453,0.282,15.306,0.033,5,16.305,0.073,5,NA,NA,0,15.766,0.029,5,14.973,0.029,5,14.62,0.025,5,NA,NA,0,NA,NA,0
84.766824,0.475,-2.425832,0.759,NA,NA,0,NA,NA,0,NA,NA,0,18.513,0.144,3,17.484,0.085,3,16.418,0.198,1,NA,NA,0,NA,NA,0
84.767722,0.437,-2.720596,0.384,16.686,0.166,7,17.593,0.154,7,NA,NA,0,17.087,0.11,7,16.283,0.152,7,16.007,0.221,7,NA,NA,0,NA,NA,0
84.767876,0.671,-2.697079,0.193,15.664,0.052,6,16.73,0.089,6,NA,NA,0,16.226,0.046,6,15.307,0.105,6,14.813,0.076,6,NA,NA,0,NA,NA,0
84.769805,0.326,-2.285625,0.321,13.903,0.016,5,14.794,0.018,5,NA,NA,0,14.36,0.024,5,13.602,0.012,5,13.295,0.02,5,13.151,0.119,2,NA,NA,0
84.770085,0.455,-2.280908,0.359,16.759,0.088,3,17.667,0.126,3,NA,NA,0,17.242,0.049,5,16.379,0.105,5,15.976,0.18,5,NA,NA,0,NA,NA,0
84.771066,0.337,-2.492788,0.253,16.458,0.027,5,17.407,0.077,5,NA,NA,0,16.901,0.089,5,16.061,0.04,5,15.603,0.052,5,NA,NA,0,NA,NA,0
84.77141,0.537,-2.414972,0.414,NA,NA,0,NA,NA,0,NA,NA,0,18.12,0.137,5,16.94,0.125,5,16.73,0.232,1,NA,NA,0,NA,NA,0
