;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
ogg0m404-kb82-20200828-0182-e91.fits.fz  59090.587290926  59090.587637489  5450  1.2803e-15  8.5107e-17
ogg0m406-kb27-20200829-0205-e91.fits.fz  59091.619524468  59091.619870984  5450  1.4552e-15  1.0272e-16
ogg0m404-kb82-20200831-0160-e91.fits.fz  59093.578978230  59093.579324758  5450  1.4629e-15  9.0045e-17
ogg0m404-kb82-20200901-0241-e91.fits.fz  59094.581508126  59094.581854653  5450  1.4339e-15  9.3404e-17
ogg0m404-kb82-20200916-0357-e91.fits.fz  59109.617102917  59109.617449422  5450  1.4955e-15  7.4616e-17
ogg0m404-kb82-20200920-0184-e91.fits.fz  59113.523255348  59113.523601910  5450  1.4841e-15  1.1825e-16
ogg0m404-kb82-20200921-0171-e91.fits.fz  59114.520114723  59114.520461169  5450  1.3002e-15  8.7617e-17
lsc0m409-kb29-20201118-0202-e91.fits.fz  59172.185604723  59172.185955163  5450  1.4004e-15  1.2252e-16
tfn0m410-kb98-20201119-0243-e91.fits.fz  59173.176584804  59173.176935336  5450  1.4172e-15  2.6741e-16
tfn0m410-kb98-20201120-0549-e91.fits.fz  59174.176567257  59174.176917813  5450  1.7321e-15  3.2897e-16
lsc0m409-kb29-20201121-0104-e91.fits.fz  59175.176592061  59175.176942512  5450  1.3159e-15  1.2131e-16
lsc0m412-kb26-20201124-0076-e91.fits.fz  59178.176741309  59178.177091795  5450  1.4272e-15  2.8284e-16
lsc0m412-kb26-20201125-0080-e91.fits.fz  59179.176558160  59179.176908704  5450  1.9439e-15  2.3623e-16
lsc0m412-kb26-20201127-0111-e91.fits.fz  59181.176872199  59181.177222697  5450  1.5196e-15  2.1823e-16
tfn0m414-kb81-20201128-0107-e91.fits.fz  59181.957382859  59181.957733403  5450  1.4761e-15  2.4975e-16
lsc0m409-kb29-20201129-0160-e91.fits.fz  59183.171616054  59183.171966551  5450  1.6302e-15  2.2798e-16
ogg0m406-kb27-20201130-0111-e91.fits.fz  59184.438344155  59184.438690718  5450  1.1544e-15  1.3754e-16
ogg0m406-kb27-20201202-0159-e91.fits.fz  59186.489058276  59186.489404769  5450  1.3897e-15  9.0076e-17
ogg0m404-kb82-20201202-0165-e91.fits.fz  59186.495305545  59186.495652292  5450  1.3602e-15  8.9693e-17
ogg0m404-kb82-20201202-0170-e91.fits.fz  59186.505846123  59186.506192663  5450  1.2537e-15  8.4643e-17
ogg0m404-kb82-20201202-0172-e91.fits.fz  59186.516090232  59186.516436806  5450  1.2994e-15  8.4485e-17
ogg0m404-kb82-20201202-0177-e91.fits.fz  59186.526567443  59186.526914005  5450  1.3053e-15  8.3690e-17
ogg0m404-kb82-20201202-0183-e91.fits.fz  59186.536983484  59186.537329989  5450  1.3390e-15  9.7700e-17
ogg0m404-kb82-20201202-0189-e91.fits.fz  59186.552310487  59186.552657038  5450  1.2699e-15  9.1739e-17
ogg0m404-kb82-20201202-0194-e91.fits.fz  59186.558927882  59186.559274341  5450  1.2154e-15  9.1113e-17
ogg0m404-kb82-20201202-0200-e91.fits.fz  59186.568353589  59186.568700105  5450  1.2277e-15  8.6647e-17
ogg0m406-kb27-20201202-0173-e91.fits.fz  59186.578612454  59186.578958913  5450  1.3311e-15  9.4566e-17
ogg0m404-kb82-20201202-0202-e91.fits.fz  59186.589004549  59186.589351054  5450  1.3179e-15  8.7834e-17
lsc0m409-kb29-20201203-0140-e91.fits.fz  59187.132143508  59187.132494017  5450  1.2739e-15  1.2341e-16
lsc0m412-kb26-20201204-0168-e91.fits.fz  59188.238232095  59188.238582570  5450  1.4351e-15  2.1006e-16
ogg0m404-kb82-20201205-0728-e91.fits.fz  59189.514425058  59189.514771505  5450  1.2454e-15  8.7068e-17
cpt0m407-kb84-20201208-0210-e91.fits.fz  59192.038246852  59192.038597350  5450  1.4095e-15  1.3372e-16
coj0m405-kb56-20201209-0158-e91.fits.fz  59192.677270059  59192.677620626  5450  1.5414e-15  1.7923e-16
lsc0m412-kb26-20201211-0086-e91.fits.fz  59195.081297790  59195.081648287  5450  1.3310e-15  2.2478e-16
tfn0m414-kb81-20201213-0240-e91.fits.fz  59197.017535996  59197.017886563  5450  1.5254e-15  2.5012e-16
tfn0m410-kb98-20201214-0142-e91.fits.fz  59197.949117894  59197.949468427  5450  1.3871e-15  2.6918e-16
tfn0m414-kb81-20201215-0178-e91.fits.fz  59199.063523253  59199.063873751  5450  1.5505e-15  2.4838e-16
cpt0m407-kb84-20201217-0093-e91.fits.fz  59200.903897558  59200.904249584  5450  1.6206e-15  2.8440e-16
elp0m411-kb92-20210225-0072-e91.fits.fz  59271.135532072  59271.135882535  5450  1.3592e-15  2.5619e-16
lsc0m412-kb26-20210303-0059-e91.fits.fz  59277.007096470  59277.007446968  5450  1.8648e-15  2.7956e-16
