;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
lsc0m412-kb26-20220131-0097-e91.fits.fz  59611.380081181  59611.380315938  5450  7.7805e-15  5.6410e-16
lsc0m409-kb29-20220201-0187-e91.fits.fz  59612.319416262  59612.319652582  5450  9.3356e-15  4.3841e-16
lsc0m412-kb26-20220204-0348-e91.fits.fz  59615.311029271  59615.311264040  5450  9.3621e-15  5.4846e-16
cpt0m407-kb87-20220205-0181-e91.fits.fz  59616.060057593  59616.060292327  5450  1.0510e-14  2.0988e-16
cpt0m407-kb87-20220206-0157-e91.fits.fz  59617.060511366  59617.060746135  5450  9.7632e-15  2.2440e-16
lsc0m409-kb29-20220207-0166-e91.fits.fz  59618.302839225  59618.303074109  5450  8.6506e-15  3.9063e-16
cpt0m407-kb87-20220208-0161-e91.fits.fz  59619.052313855  59619.052548612  5450  9.1636e-15  2.0176e-16
cpt0m407-kb87-20220209-0160-e91.fits.fz  59620.054499399  59620.054734167  5450  9.3374e-15  1.8560e-16
lsc0m409-kb29-20220415-0171-e91.fits.fz  59685.132364225  59685.132598924  5450  9.3969e-15  2.5320e-16
lsc0m409-kb29-20220416-0141-e91.fits.fz  59686.129640325  59686.129875105  5450  9.5976e-15  2.4732e-16
lsc0m409-kb29-20220417-0144-e91.fits.fz  59687.127157130  59687.127391910  5450  9.2626e-15  2.6025e-16
lsc0m409-kb29-20220418-0157-e91.fits.fz  59688.124293288  59688.124527987  5450  9.2521e-15  5.9127e-16
lsc0m409-kb29-20220420-0100-e91.fits.fz  59690.118730799  59690.118965660  5450  1.0290e-14  2.6360e-16
lsc0m409-kb29-20220421-0174-e91.fits.fz  59691.115997096  59691.116231841  5450  9.9667e-15  2.3256e-16
lsc0m409-kb29-20220422-0186-e91.fits.fz  59692.117763079  59692.117997906  5450  1.0628e-14  2.1620e-16
lsc0m409-kb29-20220423-0158-e91.fits.fz  59693.111492385  59693.111727188  5450  1.0433e-14  2.1423e-16
lsc0m409-kb29-20220423-0164-e91.fits.fz  59693.118248924  59693.118483693  5450  1.0548e-14  2.1140e-16
lsc0m409-kb29-20220424-0171-e91.fits.fz  59694.107895116  59694.108129908  5450  1.0169e-14  2.3027e-16
lsc0m409-kb29-20220424-0315-e91.fits.fz  59694.409274352  59694.409509144  5450  9.5940e-15  2.0805e-16
coj0m405-kb88-20220426-0084-e91.fits.fz  59695.529116251  59695.529352489  5450  8.6795e-15  1.4810e-16
lsc0m412-kb26-20220426-0080-e91.fits.fz  59696.263992778  59696.264227535  5450  7.7413e-15  3.4877e-16
cpt0m407-kb87-20220427-0187-e91.fits.fz  59697.091266459  59697.091501193  5450  8.8547e-15  1.8440e-16
cpt0m407-kb87-20220427-0189-e91.fits.fz  59697.101510498  59697.101745267  5450  8.9374e-15  1.9312e-16
cpt0m407-kb87-20220427-0194-e91.fits.fz  59697.112019619  59697.112254387  5450  8.7563e-15  1.9073e-16
cpt0m407-kb87-20220427-0196-e91.fits.fz  59697.122333600  59697.122568369  5450  8.8237e-15  1.8430e-16
cpt0m407-kb87-20220427-0199-e91.fits.fz  59697.133144110  59697.133378878  5450  9.4031e-15  1.8818e-16
cpt0m407-kb87-20220427-0202-e91.fits.fz  59697.143355776  59697.143590545  5450  9.3714e-15  1.9648e-16
cpt0m407-kb87-20220427-0204-e91.fits.fz  59697.155361656  59697.155596413  5450  9.2128e-15  1.9580e-16
cpt0m407-kb87-20220427-0207-e91.fits.fz  59697.168266366  59697.168501135  5450  9.1744e-15  1.9656e-16
cpt0m407-kb87-20220427-0209-e91.fits.fz  59697.172593438  59697.172828207  5450  9.0539e-15  1.9892e-16
lsc0m409-kb29-20220427-0159-e91.fits.fz  59697.180572188  59697.180806968  5450  8.1786e-15  2.1299e-16
lsc0m409-kb29-20220427-0165-e91.fits.fz  59697.187183218  59697.187418010  5450  8.4385e-15  2.1553e-16
lsc0m409-kb29-20220427-0176-e91.fits.fz  59697.195362813  59697.195597616  5450  8.9063e-15  2.2732e-16
lsc0m409-kb29-20220427-0193-e91.fits.fz  59697.208814572  59697.209049341  5450  9.7604e-15  2.0251e-16
lsc0m409-kb29-20220427-0204-e91.fits.fz  59697.220245765  59697.220480637  5450  9.9694e-15  2.0417e-16
lsc0m409-kb29-20220427-0210-e91.fits.fz  59697.229035313  59697.229270186  5450  9.9522e-15  2.0721e-16
lsc0m409-kb29-20220427-0230-e91.fits.fz  59697.265554445  59697.265789237  5450  9.4329e-15  2.0858e-16
lsc0m409-kb29-20220427-0232-e91.fits.fz  59697.271645764  59697.271880602  5450  9.5277e-15  1.9975e-16
lsc0m409-kb29-20220427-0248-e91.fits.fz  59697.286636065  59697.286870811  5450  9.4654e-15  2.0223e-16
lsc0m409-kb29-20220427-0256-e91.fits.fz  59697.296766250  59697.297000996  5450  9.3905e-15  1.9941e-16
lsc0m409-kb29-20220427-0264-e91.fits.fz  59697.302971528  59697.303206274  5450  9.4483e-15  1.9222e-16
ogg0m406-kb27-20220427-0194-e91.fits.fz  59697.527982478  59697.528213230  5450  9.8319e-15  1.6310e-16
ogg0m406-kb27-20220427-0196-e91.fits.fz  59697.534138241  59697.534369005  5450  9.4999e-15  1.5869e-16
cpt0m407-kb87-20220428-0168-e91.fits.fz  59698.121761714  59698.121996482  5450  1.0168e-14  2.0141e-16
lsc0m409-kb29-20220429-0164-e91.fits.fz  59699.128562096  59699.128796957  5450  1.0493e-14  3.3524e-16
cpt0m407-kb87-20220430-0260-e91.fits.fz  59699.936018484  59699.936253253  5450  1.0298e-14  1.9620e-16
cpt0m407-kb87-20220501-0247-e91.fits.fz  59700.879759375  59700.879994098  5450  9.7763e-15  1.7967e-16
lsc0m409-kb29-20220501-0187-e91.fits.fz  59701.428531181  59701.428765984  5450  1.0793e-14  2.6036e-16
lsc0m409-kb29-20220502-0310-e91.fits.fz  59702.342039943  59702.342274734  5450  9.4826e-15  1.9471e-16
lsc0m409-kb29-20220503-0193-e91.fits.fz  59703.343183658  59703.343418508  5450  9.1636e-15  2.0638e-16
lsc0m409-kb29-20220504-0285-e91.fits.fz  59704.341627003  59704.341861725  5450  9.6944e-15  1.9690e-16
lsc0m409-kb29-20220505-0300-e91.fits.fz  59705.369045533  59705.369280278  5450  8.6856e-15  2.3038e-16
lsc0m412-kb26-20220506-0284-e91.fits.fz  59706.339916054  59706.340150822  5450  8.5517e-15  3.0766e-16
cpt0m407-kb87-20220509-0121-e91.fits.fz  59708.809191389  59708.809426146  5450  1.0062e-14  2.1751e-16
lsc0m409-kb29-20220509-0187-e91.fits.fz  59709.338372454  59709.338607188  5450  9.6392e-15  2.0225e-16
cpt1m012-fa06-20220722-0081-e91.fits.fz  59782.741056586  59782.741114179  5450  1.0242e-14  1.9683e-16
coj1m003-fa19-20220723-0096-e91.fits.fz  59783.472616737  59783.472676517  5450  1.0318e-14  9.8510e-17
coj1m011-fa12-20220724-0136-e91.fits.fz  59784.584528982  59784.584586621  5450  9.9961e-15  8.1074e-17
coj1m011-fa12-20220725-0152-e91.fits.fz  59785.529397639  59785.529455232  5450  1.1117e-14  5.9962e-16
coj1m003-fa19-20220726-0113-e91.fits.fz  59786.415055950  59786.415114607  5450  9.7568e-15  7.2705e-17
lsc1m005-fa15-20220727-0113-e91.fits.fz  59788.090051864  59788.090109422  5450  9.5370e-15  7.1461e-17
coj1m003-fa19-20220728-0187-e91.fits.fz  59788.580250244  59788.580308913  5450  8.9553e-15  6.8117e-17
lsc1m005-fa15-20220729-0097-e91.fits.fz  59790.029161667  59790.029219260  5450  9.2133e-15  7.6033e-17
cpt1m012-fa06-20220730-0150-e91.fits.fz  59790.798783832  59790.798841378  5450  9.3953e-15  1.1036e-16
lsc1m005-fa15-20220731-0062-e91.fits.fz  59791.969012269  59791.969069816  5450  1.0237e-14  1.1657e-16
lsc0m412-kb26-20220131-0098-e91.fits.fz  59611.380463936  59611.380582952  7670  2.1940e-14  7.7596e-16
lsc0m409-kb29-20220201-0188-e91.fits.fz  59612.319860510  59612.319979549  7670  2.3596e-14  6.4724e-16
lsc0m412-kb26-20220204-0349-e91.fits.fz  59615.311416204  59615.311535220  7670  2.3878e-14  7.0619e-16
cpt0m407-kb87-20220205-0182-e91.fits.fz  59616.060438924  59616.060557952  7670  2.6672e-14  3.4111e-16
cpt0m407-kb87-20220206-0158-e91.fits.fz  59617.060893322  59617.061012339  7670  2.5022e-14  3.5971e-16
lsc0m409-kb29-20220207-0167-e91.fits.fz  59618.303285081  59618.303404040  7670  2.2836e-14  5.6871e-16
cpt0m407-kb87-20220208-0162-e91.fits.fz  59619.052696019  59619.052815035  7670  2.3300e-14  3.5251e-16
cpt0m407-kb87-20220209-0161-e91.fits.fz  59620.054880533  59620.054999561  7670  2.4322e-14  3.1326e-16
lsc0m409-kb29-20220415-0172-e91.fits.fz  59685.132849862  59685.132968878  7670  2.2664e-14  3.4451e-16
lsc0m409-kb29-20220416-0142-e91.fits.fz  59686.130077397  59686.130196413  7670  2.2865e-14  3.5503e-16
lsc0m409-kb29-20220417-0145-e91.fits.fz  59687.127596621  59687.127715660  7670  2.2609e-14  3.5624e-16
lsc0m409-kb29-20220418-0158-e91.fits.fz  59688.124735892  59688.124854977  7670  2.4939e-14  8.8754e-16
lsc0m409-kb29-20220420-0101-e91.fits.fz  59690.119176841  59690.119295857  7670  2.4938e-14  4.1513e-16
lsc0m409-kb29-20220421-0175-e91.fits.fz  59691.116440255  59691.116559283  7670  2.5123e-14  3.8001e-16
lsc0m409-kb29-20220422-0187-e91.fits.fz  59692.118215579  59692.118334630  7670  2.5802e-14  3.8111e-16
lsc0m409-kb29-20220423-0159-e91.fits.fz  59693.111934237  59693.112053276  7670  2.5744e-14  3.7021e-16
lsc0m409-kb29-20220423-0165-e91.fits.fz  59693.118704399  59693.118823461  7670  2.4607e-14  3.6445e-16
