;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
cpt0m407-kb84-20210208-0444-e91.fits.fz  59254.076588843  59254.076823612  5450  3.1599e-15  2.7726e-16
lsc0m409-kb29-20210212-0153-e91.fits.fz  59258.280374734  59258.280609584  5450  2.1471e-15  2.2644e-16
lsc0m412-kb26-20210214-0173-e91.fits.fz  59260.276029642  59260.276264399  5450  3.8360e-15  4.5928e-16
lsc0m409-kb29-20210215-0169-e91.fits.fz  59261.272101737  59261.272336575  5450  2.0158e-15  2.2279e-16
cpt0m407-kb84-20210216-0199-e91.fits.fz  59262.109197373  59262.109432165  5450  2.6171e-15  2.5121e-16
cpt0m407-kb84-20210511-0144-e91.fits.fz  59345.809202095  59345.809436841  5450  3.3053e-15  2.7454e-16
cpt0m407-kb84-20210513-0134-e91.fits.fz  59347.777576968  59347.777811748  5450  3.3119e-15  2.9224e-16
cpt0m407-kb84-20210516-0121-e91.fits.fz  59350.780326922  59350.780561690  5450  2.0110e-15  3.2247e-16
coj0m403-kb24-20210518-0144-e91.fits.fz  59352.448872755  59352.449106957  5450  2.8409e-15  1.4222e-16
coj0m403-kb24-20210519-0302-e91.fits.fz  59353.618227292  59353.618461447  5450  2.9771e-15  1.4478e-16
coj0m403-kb24-20210520-0105-e91.fits.fz  59354.413428357  59354.413662524  5450  2.7448e-15  1.3427e-16
lsc0m409-kb29-20210523-0140-e91.fits.fz  59358.152939468  59358.153174179  5450  3.2112e-15  3.2879e-16
lsc0m409-kb29-20210523-0145-e91.fits.fz  59358.159942732  59358.160177501  5450  3.4645e-15  3.3009e-16
lsc0m409-kb29-20210523-0160-e91.fits.fz  59358.184192524  59358.184427281  5450  2.2824e-15  3.0869e-16
lsc0m409-kb29-20210523-0180-e91.fits.fz  59358.214126771  59358.214361563  5450  2.3771e-15  2.8489e-16
lsc0m409-kb29-20210523-0187-e91.fits.fz  59358.221695035  59358.221929757  5450  1.1484e-14  3.2264e-16
lsc0m409-kb29-20210523-0193-e91.fits.fz  59358.235269005  59358.235503785  5450  2.6283e-15  2.9350e-16
lsc0m409-kb29-20210523-0199-e91.fits.fz  59358.246695498  59358.246930382  5450  2.2539e-15  2.8173e-16
lsc0m409-kb29-20210523-0205-e91.fits.fz  59358.253136575  59358.253371309  5450  2.0375e-15  3.0140e-16
lsc0m409-kb29-20210523-0211-e91.fits.fz  59358.267439295  59358.267674028  5450  2.2781e-15  2.7720e-16
lsc0m409-kb29-20210523-0214-e91.fits.fz  59358.273837373  59358.274072118  5450  2.6086e-15  2.9131e-16
