;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
ogg0m404-kb82-20210720-0168-e91.fits.fz  59416.598778322  59416.604564619  3560  5.8760e-15  6.9365e-16
tfn0m414-kb93-20210721-0128-e91.fits.fz  59417.204361320  59417.210151656  3560  4.5168e-14  9.0249e-16
tfn0m414-kb93-20210722-0219-e91.fits.fz  59418.201627905  59418.207418288  3560  3.6469e-14  6.1092e-16
tfn0m414-kb93-20210723-0175-e91.fits.fz  59419.198910058  59419.204700290  3560  2.4188e-14  1.0801e-15
tfn0m414-kb93-20210726-1052-e91.fits.fz  59422.190802466  59422.196592744  3560  1.8679e-14  1.9311e-15
tfn0m414-kb93-20210727-0114-e91.fits.fz  59423.187991077  59423.193781389  3560  1.6808e-14  7.4911e-16
tfn0m414-kb93-20210728-0128-e91.fits.fz  59424.185301008  59424.191091355  3560  1.7178e-14  5.9739e-16
tfn0m414-kb93-20210730-0123-e91.fits.fz  59426.180108114  59426.185899862  3560  2.4253e-14  7.8993e-16
tfn0m410-kb98-20210809-0392-e91.fits.fz  59436.188060244  59436.193850579  3560  1.8765e-14  7.4963e-16
tfn0m410-kb98-20210810-0246-e91.fits.fz  59437.211201517  59437.216991875  3560  1.0857e-14  6.4348e-16
tfn0m410-kb98-20210811-0249-e91.fits.fz  59438.204281875  59438.210072315  3560  1.0113e-14  5.9500e-16
tfn0m410-kb98-20210812-0213-e91.fits.fz  59439.170941598  59439.176731945  3560  1.1069e-14  8.3396e-16
tfn0m410-kb98-20210813-0202-e91.fits.fz  59440.168155232  59440.173945602  3560  1.2439e-14  1.0405e-15
tfn0m410-kb98-20210814-0186-e91.fits.fz  59441.182398345  59441.188188715  3560  1.6665e-14  1.8804e-15
ogg0m406-kb27-20210815-0304-e91.fits.fz  59442.562245834  59442.568032199  3560  1.3639e-14  2.8420e-16
tfn0m410-kb98-20210816-0223-e91.fits.fz  59443.179955417  59443.185745857  3560  1.4662e-14  1.1797e-15
tfn0m410-kb98-20210817-0537-e91.fits.fz  59444.158338866  59444.164129248  3560  9.7709e-15  9.8771e-16
