;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
lsc0m409-kb29-20210514-0215-e91.fits.fz  59349.228283728  59349.234073993  3560  2.3339e-13  1.7390e-15
cpt0m407-kb84-20210516-0130-e91.fits.fz  59350.809261817  59350.815052142  3560  2.5737e-13  2.6108e-15
lsc0m409-kb29-20210516-0223-e91.fits.fz  59351.220331216  59351.226121598  3560  3.5424e-13  1.8383e-15
lsc0m409-kb29-20210517-0169-e91.fits.fz  59352.162766355  59352.168556702  3560  4.2460e-13  3.0982e-15
lsc0m409-kb29-20210518-0201-e91.fits.fz  59353.196035047  59353.201825325  3560  5.8264e-13  3.1552e-15
lsc0m409-kb29-20210521-0266-e91.fits.fz  59356.269922894  59356.275713149  3560  2.5451e-13  2.2046e-15
lsc0m409-kb29-20210522-0172-e91.fits.fz  59357.149473033  59357.155263380  3560  2.7615e-13  3.8369e-15
lsc0m409-kb29-20210523-0153-e91.fits.fz  59358.172457998  59358.178248264  3560  4.2708e-13  3.0552e-15
coj0m403-kb24-20210527-0227-e91.fits.fz  59361.634588114  59361.640377895  3560  3.2042e-13  3.4486e-15
lsc0m412-kb26-20210731-0089-e91.fits.fz  59427.057152929  59427.062943287  3560  3.1975e-13  1.8645e-15
lsc0m409-kb29-20210802-0078-e91.fits.fz  59428.983643577  59428.989433878  3560  3.5272e-13  2.0330e-15
lsc0m412-kb26-20210803-0153-e91.fits.fz  59430.149384028  59430.155174387  3560  3.2273e-13  2.9262e-15
lsc0m409-kb29-20210804-0082-e91.fits.fz  59430.978539422  59430.984329757  3560  3.4100e-13  2.7100e-15
lsc0m412-kb26-20210805-0080-e91.fits.fz  59431.984219769  59431.990010139  3560  1.7053e-13  1.7459e-15
lsc0m412-kb26-20210806-0077-e91.fits.fz  59432.975854827  59432.981645152  3560  3.9551e-13  2.5720e-15
lsc0m412-kb26-20210807-0091-e91.fits.fz  59433.988527848  59433.994318126  3560  4.2256e-13  2.6753e-15
lsc0m412-kb26-20210808-0073-e91.fits.fz  59434.972022662  59434.977812987  3560  2.1730e-13  2.0697e-15
lsc0m412-kb26-20210809-0075-e91.fits.fz  59435.974305672  59435.980096019  3560  2.6828e-13  2.5920e-15
lsc0m409-kb29-20210810-0072-e91.fits.fz  59436.971689908  59436.977480266  3560  3.3926e-13  2.4243e-15
lsc0m409-kb29-20210810-0106-e91.fits.fz  59437.071033149  59437.076823484  3560  3.3908e-13  2.2928e-15
lsc0m412-kb26-20210811-0073-e91.fits.fz  59437.973077871  59437.978868229  3560  3.7508e-13  2.3616e-15
lsc0m409-kb29-20210812-0057-e91.fits.fz  59438.978210464  59438.984000799  3560  2.8042e-13  2.8370e-15
lsc0m409-kb29-20210813-0071-e91.fits.fz  59439.973729179  59439.979519457  3560  2.3928e-13  2.0019e-15
lsc0m409-kb29-20210814-0070-e91.fits.fz  59440.971340753  59440.977131077  3560  3.0221e-13  2.4881e-15
lsc0m409-kb29-20210815-0069-e91.fits.fz  59441.987611123  59441.993401448  3560  3.3432e-13  3.3233e-15
coj0m403-kb24-20210816-0047-e91.fits.fz  59442.417536633  59442.423326389  3560  3.0703e-13  1.4517e-15
coj0m403-kb24-20210816-0050-e91.fits.fz  59442.427928507  59442.433718160  3560  2.8822e-13  1.4798e-15
coj0m403-kb24-20210816-0053-e91.fits.fz  59442.438336725  59442.444126435  3560  3.0258e-13  1.5250e-15
coj0m403-kb24-20210816-0056-e91.fits.fz  59442.448755371  59442.454545035  3560  2.9406e-13  1.4962e-15
coj0m403-kb24-20210816-0061-e91.fits.fz  59442.482360707  59442.488150498  3560  3.9756e-13  2.3887e-15
lsc0m412-kb26-20210816-0067-e91.fits.fz  59442.973011644  59442.978801969  3560  2.4615e-13  2.1761e-15
coj0m403-kb24-20210817-0064-e91.fits.fz  59443.355889526  59443.361679156  3560  2.9338e-13  1.8924e-15
coj0m403-kb24-20210817-0077-e91.fits.fz  59443.409894202  59443.415683924  3560  3.0722e-13  1.4250e-15
coj0m403-kb24-20210817-0082-e91.fits.fz  59443.420308577  59443.426098218  3560  2.8623e-13  1.4317e-15
coj0m403-kb24-20210817-0085-e91.fits.fz  59443.430704422  59443.436494063  3560  2.7664e-13  1.4743e-15
coj0m403-kb24-20210817-0088-e91.fits.fz  59443.441116413  59443.446906089  3560  2.7711e-13  1.4535e-15
lsc0m409-kb29-20210817-0064-e91.fits.fz  59443.973589723  59443.979379966  3560  3.6062e-13  2.4355e-15
coj0m405-kb88-20210818-0064-e91.fits.fz  59444.356260313  59444.362050625  3560  3.8943e-13  1.4394e-15
coj0m403-kb24-20210819-0072-e91.fits.fz  59445.370373716  59445.376163472  3560  3.2053e-13  1.2514e-15
coj0m403-kb24-20210820-0156-e91.fits.fz  59446.453538577  59446.459328345  3560  4.3465e-13  1.3843e-15
lsc0m409-kb29-20210820-0088-e91.fits.fz  59446.989924653  59446.995715023  3560  5.0139e-13  2.6511e-15
lsc0m412-kb26-20210821-0075-e91.fits.fz  59447.979392894  59447.985183264  3560  3.5127e-13  2.3316e-15
lsc0m412-kb26-20210822-0071-e91.fits.fz  59448.981202778  59448.986993148  3560  4.1475e-13  3.0334e-15
lsc0m409-kb29-20210823-0096-e91.fits.fz  59449.999279723  59450.005069931  3560  4.0572e-13  3.4456e-15
