Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
LBP504080,SK-68129,84.1115333,-68.9588611,2,11/2/12 19:39,11/2/12 21:47,4731.68,COS   ,PSA,G160M,1577,12581,11/3/13 2:26,LBP504080
LBP504090,SK-68129,84.1115333,-68.9588611,2,11/2/12 21:51,11/2/12 23:33,3740.768,COS   ,PSA,G160M,1589,12581,11/3/13 3:45,LBP504090
LBP5040A0,SK-68129,84.1115333,-68.9588611,2,11/3/12 0:15,11/3/12 2:15,4330.816,COS   ,PSA,G160M,1600,12581,11/3/13 5:34,LBP5040A0
LBP5040B0,SK-68129,84.1115333,-68.9588611,2,11/3/12 2:21,11/3/12 2:45,1207.584,COS   ,PSA,G130M,1327,12581,11/3/13 8:39,LBP5040B0
LD7M03010,AAOMEGA-30DOR-187,83.9660667,-69.3886361,1,4/20/17 4:11,4/20/17 4:17,160.064,COS   ,PSA,G130M,1291,14683,4/20/18 6:02,LD7M03010
LD7M03020,AAOMEGA-30DOR-187,83.9660667,-69.3886361,1,4/20/17 4:21,4/20/17 4:27,160.032,COS   ,PSA,G130M,1327,14683,4/20/18 11:13,LD7M03020
LD7M03030,AAOMEGA-30DOR-187,83.9660667,-69.3886361,1,4/20/17 4:32,4/20/17 4:44,560.064,COS   ,PSA,G160M,1577,14683,4/20/18 11:17,LD7M03030
LD7M03040,AAOMEGA-30DOR-187,83.9660667,-69.3886361,1,4/20/17 5:04,4/20/17 5:14,420.032,COS   ,PSA,G160M,1623,14683,4/20/18 11:17,LD7M03040
LD7M03VRQ,AAOMEGA-30DOR-187,83.9660667,-69.3886361,1,4/20/17 3:16,4/20/17 3:43,1605,COS   ,PSA,G130M,1291,14683,4/20/18 5:57,
LD7M03VVQ,AAOMEGA-30DOR-187,83.9660667,-69.3886361,1,4/20/17 4:09,4/20/17 4:09,0.2,COS   ,PSA,G130M,1291,14683,4/20/18 5:57,
LBP501010,HD-38029,84.2298708,-69.1937944,2,10/24/12 5:13,10/24/12 6:01,2441.6,COS   ,PSA,G160M,1577,12581,10/24/13 22:10,LBP501010
LBP501020,HD-38029,84.2298708,-69.1937944,2,10/24/12 6:34,10/24/12 7:29,2870.752,COS   ,PSA,G160M,1589,12581,10/24/13 23:03,LBP501020
LBP501030,HD-38029,84.2298708,-69.1937944,2,10/24/12 8:10,10/24/12 8:55,2300.256,COS   ,PSA,G160M,1600,12581,10/24/13 23:56,LBP501030
LBP501040,HD-38029,84.2298708,-69.1937944,2,10/24/12 9:00,10/24/12 9:05,332.032,COS   ,PSA,G130M,1327,12581,10/25/13 0:07,LBP501040
LCMA01010,VFTS352,84.6184387,-69.1886,2,5/15/15 13:58,5/15/15 14:15,900.032,COS   ,PSA,G130M,1291,13806,5/15/16 19:49,LCMA01010
LCMA01020,VFTS352,84.6184387,-69.1886,2,5/15/15 14:45,5/15/15 15:12,1500.384,COS   ,PSA,G160M,1611,13806,5/15/16 19:54,LCMA01020
LCMA02010,VFTS352,84.6184387,-69.1886,2,5/15/15 17:18,5/15/15 18:03,900.032,COS   ,PSA,G130M,1291,13806,5/16/16 0:20,LCMA02010
LCMA02020,VFTS352,84.6184387,-69.1886,2,5/15/15 18:07,5/15/15 18:34,1500.384,COS   ,PSA,G160M,1611,13806,5/16/16 0:22,LCMA02020
LCMA03010,VFTS352,84.6184387,-69.1886,2,5/15/15 21:06,5/15/15 21:23,900.032,COS   ,PSA,G130M,1291,13806,5/16/16 0:26,LCMA03010
LCMA03020,VFTS352,84.6184387,-69.1886,2,5/15/15 21:27,5/15/15 21:54,1500.352,COS   ,PSA,G160M,1611,13806,5/16/16 0:29,LCMA03020
LCMA04010,VFTS352,84.6184387,-69.1886,2,5/22/15 18:17,5/22/15 18:34,900.032,COS   ,PSA,G130M,1291,13806,5/23/16 9:45,LCMA04010
LCMA04020,VFTS352,84.6184387,-69.1886,2,5/22/15 18:38,5/22/15 19:05,1500.384,COS   ,PSA,G160M,1611,13806,5/23/16 9:47,LCMA04020
LCMA05010,VFTS352,84.6184387,-69.1886,2,5/13/15 21:34,5/13/15 21:51,900.032,COS   ,PSA,G130M,1291,13806,5/14/16 12:52,LCMA05010
LCMA05020,VFTS352,84.6184387,-69.1886,2,5/13/15 21:55,5/13/15 22:22,1500.416,COS   ,PSA,G160M,1611,13806,5/14/16 12:54,LCMA05020
