Target,Target_LINK,RA(J2000),DEC(J2000),AV,Sk,M2002,NGC346 MPG,NGC346 ELS,NGC346 W,2dFS,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,COS G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,archival UV ,Other AR Modes,VLT,ULL,
NGC346 355,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+355&submit=submit+id"" target=""_blank""> NGC346 355</a>",00h59m00.7611s,-72d10m28.1908s,,,45068,355,,3,,O2III(f*),0.1,12.56,12.74,110,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE-STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,1,
SK 183,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+183&submit=submit+id"" target=""_blank""> SK 183</a>",01h29m24.5516s,-73d33m16.3656s,,183,83235,,,,,O3 V((f*))z,0.05,13.59,13.82,100,1,2,3,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1,
AV 14,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14&submit=submit+id"" target=""_blank""> AV 14</a>",00h46m32.627s,-73d06m05.652s,14,9,7187,,,,,O3-4V,0.09,13.58,13.77,261,1,0,1,F,,p,p,ao,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/UVES,u,1,
NGC346 435,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+W+1&submit=submit+id"" target=""_blank""> NGC346 435</a>",00h59m04.4987s,-72d10m24.7663s,,,,435,,1,,O4III(n)(f),0.05,12.34,12.57,180,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE-STIS/E140M/1425,VLT/GIRAFFE,g,1,
AV 177,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+177&submit=submit+id"" target=""_blank""> AV 177</a>",00h56m44.1059s,-72d03m31.6992s,177,,38024,,,,,O4 V((f)),0.07,14.32,14.53,428,0,0,0,F,,ao,oo,,,,,,,FUSE-COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,2,
AV 435,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+435&submit=submit+id"" target=""_blank""> AV 435</a>",01h08m17.908s,-71d59m54.386s,435,,67670,,,,,O4 V,0.22,13.94,14,96,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE ,,,1,
NGC346 7,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+7&submit=submit+id"" target=""_blank""> NGC346 7</a>",00h58m57.3983s,-72d10m33.6801s,,,44908,324,7,6,,O4V((f)),0,13.79,14.07,74,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,2,
AV 388,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+388&submit=submit+id"" target=""_blank""> AV 388</a>",01h05m39.5332s,-72d29m26.9583s,388,,62400,,,,,O4 V,0.07,13.88,14.09,147,0,0,0,F,,ao,oo,,,a,a,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2,
AV 75,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+75&submit=submit+id"" target=""_blank""> AV 75</a>",00h50m32.4076s,-72d52m36.4607s,75,38,16828,,,,,O5III(f+),0.13,12.55,12.7,94,0,0,0,F,,aooooo,oo,,,a,,,,COS/G130M/1222-COS/G130M/1291-COS/G130M/1300-COS/G130M/1309-COS/G130M/1318-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE-STIS/E140M/1425,,,2,
AV 296,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+296&submit=submit+id"" target=""_blank""> AV 296</a>",01h02m08.6506s,-72d13m20.0301s,296,,52948,,,,,O5 V:,0.09,14.07,14.26,,4,0,4,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1,
