Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR,Reference
RXJ0438.6+1546,2MASSJ04383907+1546137,HD285957,04h38m39.07s,+15d46m13.61s,Taurus,140,K2,1.2,-9.52,0.3,,10.86,1,0,0,0,0,2,2,1,3,16593,,,
LkCa 15,J04391779+2221034,V1079 Tau,4h39m17.73s,+22d21m03.8s,Taurus,140,K5,1.1,-8.51,1.1,,12.03,2,0,0,0,0,0,0,0,0,9374|11616|14698,COS/G130M/G160M-STIS/G140L/G230L/G430L/G750M/E230M,3,Ingleby+2013
LkCa 19,J04553695+3017553,HD282630,4h55m36.97s,+30d17m55.0s,Taurus,140,K0,1.3,,0,,11.12,2,0,0,0,0,0,0,0,0,11608|11616,COS/G130M/G160M-STIS/G230L/G430L/G750L/E230M,3,Ingleby+2013
LkCa 4,J04162810+2807358,,4h16m28.11s,+28d07m35.73s,Taurus,140,K7,0.77,,0.69,,12.78,2,0,0,0,0,0,0,0,0,9790|11616,COS/G130M/G160M-STIS/E230M/G230L/G430L,3,Ingleby+2013
AA Tau,J04345542+2428531,HBC 63,4h34m55.42s,+24d28m52.8s,Taurus,140,K7,0.8,-7.82,1.9,13.14,12.2,2,0,0,0,0,0,0,0,0,11616|12876|15070,COS/G130M/G160M-STIS/E230M/G230L/G430L/G230M,3,Ingleby+2013
DE Tau,J04215563+2755060,,4h21m55.69s,+27d55m06.1s,Taurus,140,M2,0.4,-7.55,0.9,15.18,13.8,2,0,0,0,0,0,0,0,0,8628|11616,COS/G130M/G160M-STIS/E230M/G230L/G430L/G230M,3,Ingleby+2013
DK Tau A,,,4h30m44.25s,+26d01m24.5s,Taurus,140,K7,0.7,-7.47,1.3,,,2,0,0,0,0,0,0,0,0,11616,COS/G130M/G160M-STIS/G230L/G430L/E230M,3,Ingleby+2013
DM Tau,J04334871+1810099,HBC 62,4h33m48.74s,+18d10m09.7s,Taurus,140,M1,0.5,-8.54,0.7,14.3,14,2,0,0,0,0,0,0,0,0,9374|11608|11616,COS/G130M/G160M-STIS/E230M/G140L/G230L/G430L/G750L,3,Ingleby+2013
DN Tau,J04352737+2414589,HBC 65,4h35m27.44s,+24d14m59.1s,Taurus,140,M0,0.6,-8,0.9,13.56,11.5,2,0,0,0,0,0,0,0,0,11616,COS/G130M/G160M-STIS/G230L/G430L/E230M,3,Ingleby+2013
DR Tau,J04470620+1658428,HBC 74,4h47m06.22s,16d58m42.6s,Taurus,140,K5,0.9,-7.28,1.4,12.03,10.5,2,0,0,0,0,0,0,0,0,8206|8627|11616,COS/G130M/G160M,3,Ingleby+2013
FM Tau,J04141358+2812492,HBC 23,4h14m13.56s,+28d12m48.8s,Taurus,140,M0,0.6,-8.92,0.7,14.44,13.8,2,0,0,0,0,0,0,0,0,11616,STIS/E230M-STIS/G230L-STIS/G430L,bad data,
HN Tau A,J04333935+1751523,HBC 60,4h33m39.37s,+17d51m52.1s,Taurus,140,K5,1.1,-7.85,1.1,,13.4,2,0,0,0,0,0,0,0,0,8238|11616|11660,COS/130M-COS/G160M-STIS/E230M-STIS/G230L-STIS/G430L-STIS/G750L,5,Ingleby+2013
IP Tau,J04245708+2711565,HBC 385,4h24m57.14s,+27d11m56.4s,Taurus,140,M0,0.6,-8.14,1.7,,,2,0,0,0,0,0,0,0,0,11616,COS/130M-COS/G160M-STIS/E230M-STIS/G230L-STIS/G430L,5,Ingleby+2013
RW Aur A,,,05h07m49.51s,+30d24m04.8s,Taurus,140,K3,0.9,-7.7,0.5,,,2,0,0,0,0,0,0,0,0,8627|9435|11616,COS/130M-COS/G160M-STIS/G230L-STIS/G430L-STIS/G230M-STIS/E230M-STIS/G750M,5,Ingleby+2013
V836 Tau,J05030659+2523197,HBC 429,05h03m06.62s,+25d23m19.6s,Taurus,140,K7,0.8,-8.96,1.5,,13.49,2,0,0,0,0,0,0,0,0,8157|11616,COS/G130M-COS/G160M-STIS/E140M-STIS/E230M-STIS/G230L-STIS/G430L,5,Kraus+2008
V397 Aur,J04560201+3021037,HBC 427,04h56m02.03s,+30d21m03.67s,Taurus,140,K7+M2,0.8,,0,,11.72,2,0,0,0,0,0,0,0,0,9790|11616,COS/G130M-COS/G160M-STIS/G140L-STIS/E230M-STIS/G230L-STIS/G430L,5,Ardila+2013|ingleby+2013
UX Tau A,,HD285846,04h30m03.996s,+18d13m49.4355s,Taurus,140,K2,1.3,-7.325,,11.23,10.8,2,0,2,0,0,0,0,0,0,11616,COS/G130M-COS/G160M-STIS/E230M-STIS/G230L-STIS/G430L,,costigan+2014
2MASS J04390163+2336029,J04390163+2336029,[SCH2006b] J0439016+2336030,04h39m01.63s,+23d36m02.96s,Taurus,140,M6,0.17,-9.36,0,18.3,16,2,0,0,0,0,0,0,0,0,11616,COS/130M-COS/G160M-STIS/E230M-STIS/G230L-STIS/G430L,5,Herczeg+2008|Yang+2012
UZ Tau E,,HBC 52,04h32m43.02s,+25d52m30.90s,Taurus,140,M1,0.69,-7.02,,,,2,0,0,0,0,0,0,0,0,12161,COS/G160M-COS/G230L,5,Jensen+2007|Jones+2012
