target_name_std,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia_dr2,d_gaia_dr2_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_dr2_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended
CVSO-109,V462 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-66,83.13610739,-1.229438253,2015.5,2005AJ....129..935C,MW,Ori OB1b,125.8938463,10.61266486,M0,2005AJ....129..935C,,,3850,2005AJ....129..935C,0.17,2005AJ....129..935C,0.56,2005AJ....129..935C,,,,,,,,,,,-7.6,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,14.5,2005AJ....129..935C,,,13.97,none,,,Gaia DR2 3217630378215871232,7.9432,0.6696,none,none,TRUE,FALSE,FALSE
CVSO-90,J05312062-0049197,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+1,82.83596169,-0.822183853,2015.5,2005AJ....129..935C,MW,Ori OB1b,352.4477496,6.608472943,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,-0.26,2005AJ....129..935C,0.79,2005AJ....129..935C,,,,,,,,,,,-7.75,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,14.02,2005AJ....129..935C,,,14.61,none,,,Gaia DR2 3220661529910667904,2.8373,0.0532,none,none,TRUE,FALSE,FALSE
CVSO-146,V499 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-73,83.94168421,-0.964513733,2015.5,2005AJ....129..935C,MW,Ori OB1b,338.5584183,3.152099571,K6,2005AJ....129..935C,,,4205,2005AJ....129..935C,0.12,2005AJ....129..935C,0.92,2005AJ....129..935C,,,,,,,,,,,-8.06,2005AJ....129..935C,0.032,2005AJ....129..935C,,,,,,,15.25,2005AJ....129..935C,,,14.01,none,,,Gaia DR2 3217657011309526016,2.9537,0.0275,none,none,TRUE,FALSE,FALSE
V505-ORI,SO518,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+V505+Ori,84.61357198,-2.752699891,2015.5,2016ApJ...829...38M,MW,Sigma Ori,397.3931013,6.095761289,K6.0,2016ApJ...829...38M,,,4020,2016ApJ...829...38M,,,0.754,2016ApJ...829...38M,,,,,,,,,,,-8.54,2016ApJ...829...38M,0,2016ApJ...829...38M,,,,,,,,,,,14.16,none,,,Gaia DR2 3216107490187638784,2.5164,0.0386,none,none,TRUE,FALSE,FALSE
V-TX-ORI,SO583,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+TX+Ori,84.64037079,-2.737270662,2015.5,2016ApJ...829...38M,MW,Sigma Ori,571.8860803,84.73961078,K4.5,2016ApJ...829...38M,,,4330,2016ApJ...829...38M,,,1.087,2016ApJ...829...38M,,,,,,,,,,,-8.13,2016ApJ...829...38M,0,2016ApJ...829...38M,,,,,,,13.75,none,,,12.06,none,,,Gaia DR2 3216108997720732544,1.7486,0.2591,none,none,TRUE,FALSE,FALSE
CVSO-104,J05320638-0111000,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-64,83.02660481,-1.18336714,2015.5,2005AJ....129..935C,MW,Ori OB1b,374.2655039,9.427025119,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,-0.12,2005AJ....129..935C,0.77,2005AJ....129..935C,,,,,,,,,,,-8.12,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,14.93,2005AJ....129..935C,,,14.22,none,,,Gaia DR2 3217634157789741952,2.6719,0.0673,none,none,TRUE,FALSE,FALSE
CVSO-36,J05255035+0149370,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CVSO+36,81.45987554,1.826958601,2015.5,2005AJ....129..935C,MW,Ori OB1a,341.9154101,5.553042015,M3,2005AJ....129..935C,,,3470,2005AJ....129..935C,-0.68,2005AJ....129..935C,0.34,2005AJ....129..935C,,,,,,,,,,,-8.44,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,,,,,16.07,none,,,Gaia DR2 3222268122557250304,2.9247,0.0475,none,none,TRUE,FALSE,FALSE
V510-ORI,SO1153,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-27,84.91595007,-2.522740869,2015.5,2016ApJ...829...38M,MW,Sigma Ori,394.8199621,5.502662927,K5.5,2016ApJ...829...38M,,,4140,2016ApJ...829...38M,,,0.875,2016ApJ...829...38M,,,,,,,,,,,-8.38,2016ApJ...829...38M,0.048,2016ApJ...829...38M,,,,,,,14.59,2005AJ....129..935C,,,14.3,none,,,Gaia DR2 3216493758070824064,2.5328,0.0353,none,none,TRUE,FALSE,FALSE
CVSO-107,J05322578-0036533,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+4,83.10742889,-0.614828517,2015.5,2005AJ....129..935C,MW,Ori OB1b,338.8911482,4.593888412,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,0.0086,2005AJ....129..935C,0.77,2005AJ....129..935C,,,,,,,,,,,-7.96,2005AJ....129..935C,0.103,2005AJ....129..935C,,,,,,,15.24,2005AJ....129..935C,,,14.78,none,,,Gaia DR2 3220694442244758784,2.9508,0.04,none,none,TRUE,FALSE,FALSE
CVSO-165,J05390257-0120323,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+76,84.7607232,-1.342345987,2015.5,2005AJ....129..935C,MW,Ori OB1b,335.5479498,25.61477706,K6,2005AJ....129..935C,,,4205,2005AJ....129..935C,0.17,2005AJ....129..935C,0.91,2005AJ....129..935C,,,,,,,,,,,-8.43,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,15.25,2005AJ....129..935C,,,13.68,none,,,Gaia DR2 3217473697810695424,2.9802,0.2275,none,none,TRUE,FALSE,FALSE
