ULL_name, ULL_MAST_name,SIMBAD_name, alias0, alias1, alias2, alias3, alias4, alias5,alias6,alias7
#LMC,,,,,,,,,,
BI 237, BI237,BI 237,,,,,,,,
VFTS 72, VFTS72,VFTS 72, BI 253, BI253,,,,,,
SK -68 155, SK-68D155,SK -68 155, Sk-68155, Sk-68 155, SK-68155,,,,,
BI 184, BI184,BI 184,,,,,,,,
SK -69 279, SK-69D279,SK -69 279, Sk-69279, Sk-69 279, SK-69279,,,,,
SK -68 26, SK-68D26,SK -68 26, Sk-6826, Sk-68 26, SK-6826,,,,,
SK -68 73, SK-68D73,SK -68 73, Sk-6873, Sk-68 73, HD269445, SK-6873,,,,
LMCe055-1, LMCE055-1,[MNM2015] LMCe055-1, LMCE055-1,,,,,,,
SK -69 104, SK-69D104,SK -69 104, Sk-69104, Sk-69 104, SK-69104,,,,,
BI 173, BI173,BI 173,,,,,,,,
SK -68 52, SK-68D52,SK -68 52, Sk-6852, Sk-68 52, SK-6852,,,,,
SK -70 79, SK-70D79,SK -70 79, Sk-7079, Sk-70 79, SK-7079,,,,,
SK -69 50, SK-69D50,SK -69 50, Sk-6950, Sk-69 50, SK-6950,,,,,
SK -69 212, SK-69D212,SK -69 212, Sk-69212, Sk-69 212, ST2-53, SK-69212,,,,
SK -67 101, SK-67D101,SK -67 101, Sk-67101, Sk-67 101, SK-67.101, SK-67101,,,,
SK -67 106, SK-67D106,SK -67 106, Sk-67106, Sk-67 106, SK-67.106, SK-67106,,,,
SK -67 107, SK-67D107,SK -67 107, Sk-67107, Sk-67 107, SK-67.107, SK-67107,,,,
SK -67 111, SK-67D111,SK -67 111, Sk-67111, Sk-67 111, SK-67.111, SK-67111,,,,
SK -68 135, SK-68D135,SK -68 135, Sk-68135, Sk-68 135, SK-68135,,,,,
VFTS 244, VFTS244,VFTS 244, 2MASS-J05380840-6905446,,,,,,,
VFTS 586, VFTS586,VFTS 586, 2MASS-J05384539-6902514,,,,,,,
SK -68 140, SK-68D140,SK -68 140, Sk-68140, Sk-68 140, VFTS696, SK-68140,,,,
SK -67 168, SK-67D168,SK -67 168, Sk-67168, Sk-67 168, SK-67168,,,,,
BI 265, BI265,BI 265, FARINA82, FARINA-82,,,,,,
SK -67 105, SK-67D105,SK -67 105, Sk-67105, Sk-67 105, SK-67105,,,,,
SK -71 41, SK-71D41,SK -71 41, Sk-7141, Sk-71 41, SK-7141,,,,,
SK -71 45, SK-71D45,SK -71 45, Sk-7145, Sk-71 45, HD269676, SK-7145,,,,
SK -67 191, SK-67D191,SK -67 191, Sk-67191, Sk-67 191, SK-67191,,,,,
SK -67 211, SK-67D211,SK -67 211, Sk-67211, Sk-67 211, HD269810, SK-67211,,,,
SK -67 14, SK-67D14,SK -67 14, Sk-6714, Sk-67 14, SK-6714,,,,,
SK -67 5, SK-67D5,SK -67 5, Sk-675, Sk-67 5, SK-675,,,,,
SK -70 115, SK-70D115,SK -70 115, Sk-70115, Sk-70 115, SK-70115,,,,,
SK -71 50, SK-71D50,SK -71 50, Sk-7150, Sk-71 50, SK-7150,,,,,
SK -66 35, SK-66D35,SK -66 35, Sk-6635, Sk-66 35, SK-6635,,,,,
