Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
LB6B16050,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 20:52,6/1/11 21:04,718.144,COS,PSA,G160M,1623,11616,6/2/12 2:10,LB6B16050
LB6B16040,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 20:37,6/1/11 20:49,718.176,COS,PSA,G160M,1600,11616,6/2/12 2:08,LB6B16040
LB6B16030,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 19:41,6/1/11 19:53,718.144,COS,PSA,G160M,1577,11616,6/1/12 22:10,LB6B16030
LB6B16020,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 19:14,6/1/11 19:37,1177.984,COS,PSA,G130M,1327,11616,6/1/12 22:09,LB6B16020
LB6B16010,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 17:53,6/1/11 19:11,1177.984,COS,PSA,G130M,1291,11616,6/1/12 22:06,LB6B16010
#LB4P07ESQ,0255035-470050,43.7695532,-47.0160341,3,10/25/09 4:13,10/25/09 4:51,2270,COS,PSA,G140L,1230,11531,10/26/10 18:00,
#LB4P07010,0255035-470050,43.7695533,-47.0160341,3,10/25/09 4:51,10/25/09 11:28,13230.464,COS,PSA,G140L,1230,11531,10/26/10 19:42,LB4P07010
LB4P01010,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 6:51,12/3/09 9:17,6229.792,COS,PSA,G140L,1230,11531,12/3/10 17:45,LB4P01010
LB4P01020,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 10:02,12/3/09 10:53,3050.176,COS,PSA,G285M,2676,11531,12/3/10 17:35,LB4P01020
LB4P01RQQ,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 5:34,12/3/09 6:10,2126,COS,PSA,G160M,1600,11531,12/3/10 7:45,
LB4P01RRQ,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 6:11,12/3/09 6:16,299,COS,PSA,G160M,1600,11531,12/3/10 7:45,
LB4P02050,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 2:30,12/8/09 2:54,1410.08,COS,PSA,G160M,1600,11531,12/8/10 7:05,LB4P02050
LB4P02060,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 3:39,12/8/09 4:28,2975.072,COS,PSA,G160M,1611,11531,12/8/10 7:06,LB4P02060
LB4P02070,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 5:15,12/8/09 6:04,2975.104,COS,PSA,G160M,1623,11531,12/8/10 11:39,LB4P02070
LB4P02080,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 6:51,12/8/09 7:40,2967.168,COS,PSA,G130M,1291,11531,12/8/10 11:51,LB4P02080
LB4P02090,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 8:26,12/8/09 9:16,3000.192,COS,PSA,G130M,1300,11531,12/8/10 11:50,LB4P02090
LB4P020A0,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 10:02,12/8/09 10:52,3005.184,COS,PSA,G130M,1309,11531,12/8/10 14:55,LB4P020A0
LB4P02FGQ,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 2:06,12/8/09 2:27,1280,COS,PSA,G160M,1600,11531,12/8/10 6:56,
LB4P02FHQ,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 2:27,12/8/09 2:32,299,COS,PSA,G160M,1600,11531,12/8/10 6:56,
#LB4P04X6Q,1507476-162738,226.9483662,-16.4634994,3,9/17/09 4:46,9/17/09 5:27,2450,COS,PSA,G140L,1230,11531,9/17/10 17:36,
#LB4P05010,1507476-162738,226.9483575,-16.4635787,3,1/14/10 9:33,1/14/10 14:31,9580.256,COS,PSA,G140L,1230,11531,1/14/11 17:36,LB4P05010
#LB4P05QEQ,1507476-162738,226.9483575,-16.4635787,3,1/14/10 8:56,1/14/10 9:34,2270,COS,PSA,G140L,1230,11531,1/14/11 11:23,
LDMP24010,2MASS-J15570234-1950419,239.2597229,-19.8451305,0,8/2/18 23:50,8/3/18 0:30,2248.288,COS,PSA,G130M,1222,15310,2/3/19 2:54,LDMP24010
