dataset_name,target_name,target_name_hlsp,from where?,comments
lb4p07esq,0255035-470050,0255035-470050,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p07010,0255035-470050,0255035-470050,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p04x6q,1507476-162738,1507476-162738,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p05010,1507476-162738,1507476-162738,commented low_mass_stars_archive_CJK_JRD_COS,
lb4p05qeq,1507476-162738,1507476-162738,commented low_mass_stars_archive_CJK_JRD_COS,
lea21cjbq,2DFS-163,2DFS-163,tech team spreadsheet,"Fainter than expected, HOPR filed, visit AC pending"
lea21cjhq,2DFS-163,2DFS-163,tech team spreadsheet,"Fainter than expected, HOPR filed, visit AC pending"
lea21cjlq,2DFS-163,2DFS-163,tech team spreadsheet,
lea21cjsq,2DFS-163,2DFS-163,tech team spreadsheet,
lea21cjzq,2DFS-163,2DFS-163,tech team spreadsheet,
lea21ck5q,2DFS-163,2DFS-163,tech team spreadsheet,
lehg1crhq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crkq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crnq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crrq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crvq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1crxq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1cs0q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehg1cs4q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgaci5q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgaci7q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgaci9q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgacibq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgacidq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgacifq,2DFS-2266,2DFS-2266,tech team spreadsheet,"Shutter open, data suspect"
lehgacihq,2DFS-2266,2DFS-2266,tech team spreadsheet,"Shutter open, data suspect"
lehgacijq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgfcnyq,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgfco0q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
lehgfco2q,2DFS-2266,2DFS-2266,tech team spreadsheet,Shutter closed
letw1dnaq,2DFS-2553,2DFS-2553,tech team spreadsheet,Shutter closed; but decided not to submit HOPR
leey1czwq,2DFS-3694,2DFS-3694,tech team spreadsheet,"No exception report, but Shutter was closed for TA and flux much lower than expectations"
leey1ca1q,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1ca4q,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1ca6q,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1cabq,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1cafq,2DFS-3694,2DFS-3694,tech team spreadsheet,
leey1cahq,2DFS-3694,2DFS-3694,tech team spreadsheet,
lehg2ceeq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cegq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cejq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cepq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cevq,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cf0q,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lehg2cf3q,2DFS-3954,2DFS-3954,tech team spreadsheet,Shutter closed
lek61dl6q,AV186,AV-186,tech team spreadsheet,
lek61dl9q,AV186,AV-186,tech team spreadsheet,
lek61dlfq,AV186,AV-186,tech team spreadsheet,
lek61dliq,AV186,AV-186,tech team spreadsheet,
lek6adnoq,AV186,AV-186,tech team spreadsheet,
lek6adnqq,AV186,AV-186,tech team spreadsheet,Shutter closed
d162070100000,AV22,AV-22,Failed FUSE data check,do not know the pointing well enough to recover
of2c1s020,AV238,AV-238,tech team spreadsheet,flux ~20% low (target off-center?)
of2c1s030,AV238,AV-238,tech team spreadsheet,essentially no flux
lehg4cr5q,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4cr8q,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4crbq,AV251,AV-251,tech team spreadsheet,Shutter closed
